"feature id","feature label","shid","geoid","Total Population (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","2782"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","17046"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","4199"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","4876"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","46768"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","22152"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","21720"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","19294"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","26096"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","34456"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","60203"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","29237"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","36927"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","41475"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","34686"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","9286"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","37014"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","59114"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","30213"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","10897"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","26161"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","67081"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","58368"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","63698"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","29006"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","19711"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","69202"
