"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","7200","3360","2167","862","230","430","380","2046","648","2625","549","422","557","389","2064","390","409","5519","3356","46","568","561","791","778","280"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","916","291","129","99","0","0","133","307","142","257","33","59","0","47","102","61","293","769","347","0","92","118","22","100","82"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","1827","786","573","208","17","465","111","402","113","417","711","307","102","46","1218","412","416","1828","2657","8","1084","409","879","401","1482"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","154","87","138","0","0","116","0","227","1","10","0","3","51","0","230","11","39","143","338","140","402","272","24","117","34"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","2539","1144","442","519","83","210","394","1073","165","959","332","216","371","71","561","342","291","1463","1226","0","188","452","117","342","148"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","115","193","46","7","49","11","27","119","6","115","53","9","15","58","78","0","0","167","311","0","142","174","101","91","130"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","924","395","54","82","51","58","28","317","142","234","158","253","79","154","302","272","18","638","882","0","674","293","273","356","391"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","179","94","273","23","15","51","11","46","30","75","0","0","0","175","70","60","0","459","197","18","54","66","66","106","0"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","2471","961","337","326","287","578","289","1041","458","1003","250","383","147","167","1043","479","205","1875","1924","34","891","438","332","898","418"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","540","61","19","35","35","99","0","165","50","343","73","155","31","416","137","363","148","265","236","0","307","322","152","280","235"
