"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:47584","ZIP Code 46051","country:us/state:in/zip:46051","46051","183","122","102","33","0","6","0","34","25","85","7","63","16","20","69","47","11","187","260","0","90","101","34","31","43"
"publicpolygonfeature:5:47585","ZIP Code 46052","country:us/state:in/zip:46052","46052","1468","551","258","134","68","137","169","817","146","761","205","132","253","35","685","325","259","1083","1570","43","571","364","701","727","923"
"publicpolygonfeature:5:47587","ZIP Code 46055","country:us/state:in/zip:46055","46055","1255","1005","491","240","76","118","85","464","102","545","335","280","34","28","262","424","123","1054","864","0","159","170","318","321","64"
"publicpolygonfeature:5:47588","ZIP Code 46056","country:us/state:in/zip:46056","46056","98","65","10","15","3","1","0","28","47","7","27","42","32","35","46","75","46","76","73","0","70","67","62","59","69"
"publicpolygonfeature:5:47591","ZIP Code 46060","country:us/state:in/zip:46060","46060","3612","1730","1035","862","193","387","356","1671","835","1510","508","686","93","245","1102","708","766","2120","2889","10","1031","693","761","508","850"
"publicpolygonfeature:5:47593","ZIP Code 46062","country:us/state:in/zip:46062","46062","3437","1853","854","895","155","391","179","1607","479","1661","292","501","151","116","988","329","548","1955","2786","0","523","277","801","614","600"
"publicpolygonfeature:5:47594","ZIP Code 46063","country:us/state:in/zip:46063","46063","3","0","0","0","3","1","0","6","0","8","4","0","1","0","2","14","0","1","12","3","4","1","14","0","5"
"publicpolygonfeature:5:47595","ZIP Code 46064","country:us/state:in/zip:46064","46064","909","467","277","222","53","75","48","543","139","537","207","112","131","32","413","156","140","694","833","0","698","488","303","254","411"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","69","13","13","53","18","18","0","117","0","87","51","3","39","0","66","12","6","94","132","13","117","120","116","75","42"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","510","149","78","57","65","44","0","254","171","206","85","83","83","11","235","141","152","281","351","26","174","255","189","135","202"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","94","19","7","10","0","6","4","27","3","53","17","9","8","0","29","44","14","125","119","0","29","124","62","26","101"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","204","147","14","21","21","12","4","71","0","62","25","46","40","0","67","24","19","97","96","2","69","111","88","100","244"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","378","310","93","162","37","71","10","280","34","163","88","108","88","140","97","203","141","356","425","0","116","66","733","47","185"
"publicpolygonfeature:5:47602","ZIP Code 46074","country:us/state:in/zip:46074","46074","4073","2551","1376","807","524","250","356","1629","278","2104","549","561","94","62","1055","558","754","3565","2630","85","797","566","302","365","732"
"publicpolygonfeature:5:47603","ZIP Code 46075","country:us/state:in/zip:46075","46075","816","335","248","364","108","180","91","299","89","354","324","146","34","120","242","87","77","327","700","0","138","82","156","106","161"
"publicpolygonfeature:5:47604","ZIP Code 46076","country:us/state:in/zip:46076","46076","46","10","3","19","2","20","1","40","57","14","6","16","0","2","27","20","10","66","150","2","11","29","140","44","86"
"publicpolygonfeature:5:47605","ZIP Code 46077","country:us/state:in/zip:46077","46077","3114","1747","870","838","505","172","556","1505","470","2426","337","97","70","64","391","157","417","1996","1080","0","457","405","500","138","352"
"publicpolygonfeature:5:47606","ZIP Code 46103","country:us/state:in/zip:46103","46103","7","8","5","0","0","0","0","6","0","3","7","0","0","1","9","15","2","11","31","0","8","19","45","2","23"
"publicpolygonfeature:5:47610","ZIP Code 46106","country:us/state:in/zip:46106","46106","623","657","196","245","125","81","4","356","117","205","101","113","32","34","231","58","55","433","477","46","140","134","138","137","83"
"publicpolygonfeature:5:47611","ZIP Code 46107","country:us/state:in/zip:46107","46107","423","234","202","86","39","480","115","209","80","94","98","135","75","75","280","109","198","663","789","0","319","322","329","402","395"
"publicpolygonfeature:5:47612","ZIP Code 46110","country:us/state:in/zip:46110","46110","7","0","0","38","0","0","0","13","0","16","23","0","0","0","0","18","0","21","0","0","0","32","124","0","0"
"publicpolygonfeature:5:47613","ZIP Code 46111","country:us/state:in/zip:46111","46111","6","0","0","0","0","0","0","6","0","1","17","6","0","0","0","12","4","33","28","0","20","1","32","21","64"
"publicpolygonfeature:5:47614","ZIP Code 46118","country:us/state:in/zip:46118","46118","311","110","73","39","17","7","0","154","80","39","35","93","8","26","96","121","30","147","246","0","231","109","267","52","196"
"publicpolygonfeature:5:47615","ZIP Code 46112","country:us/state:in/zip:46112","46112","3256","1512","1037","716","232","396","557","1862","422","1883","356","606","208","300","1021","498","371","1891","2602","0","673","660","735","879","783"
"publicpolygonfeature:5:47616","ZIP Code 46113","country:us/state:in/zip:46113","46113","660","417","150","159","38","233","0","215","213","427","366","325","27","106","310","154","92","805","1343","94","412","367","700","725","776"
"publicpolygonfeature:5:47618","ZIP Code 46117","country:us/state:in/zip:46117","46117","36","16","17","0","0","0","0","45","0","24","0","0","0","0","0","0","0","0","20","0","58","0","17","0","21"
"publicpolygonfeature:5:47619","ZIP Code 46280","country:us/state:in/zip:46280","46280","531","415","388","151","61","255","153","219","162","224","64","65","51","9","206","251","93","470","354","0","187","141","74","170","32"
"publicpolygonfeature:5:47621","ZIP Code 46124","country:us/state:in/zip:46124","46124","397","202","26","166","0","90","47","122","29","114","65","94","82","0","297","90","118","321","348","7","136","79","312","109","223"
"publicpolygonfeature:5:47622","ZIP Code 46121","country:us/state:in/zip:46121","46121","404","212","56","63","43","33","10","94","13","134","109","170","55","24","46","19","20","190","179","0","149","163","357","159","125"
"publicpolygonfeature:5:47623","ZIP Code 46122","country:us/state:in/zip:46122","46122","1226","567","172","285","41","158","127","552","46","353","267","504","229","115","176","319","128","641","1092","3","410","399","719","444","275"
"publicpolygonfeature:5:47624","ZIP Code 46123","country:us/state:in/zip:46123","46123","3391","2340","1000","509","350","750","253","1698","194","968","626","486","424","246","782","398","314","1612","2795","0","696","460","961","639","1682"
"publicpolygonfeature:5:47625","ZIP Code 46125","country:us/state:in/zip:46125","46125","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47626","ZIP Code 46290","country:us/state:in/zip:46290","46290","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","16","0","0","0","10","0","0"
"publicpolygonfeature:5:47627","ZIP Code 46126","country:us/state:in/zip:46126","46126","190","77","88","57","101","66","27","152","15","57","42","63","43","0","100","64","8","115","166","0","127","59","178","59","117"
"publicpolygonfeature:5:47630","ZIP Code 46142","country:us/state:in/zip:46142","46142","1706","1231","612","654","286","379","206","1465","357","1182","419","311","384","5","812","531","189","1930","1964","0","867","739","575","595","1108"
"publicpolygonfeature:5:47631","ZIP Code 46130","country:us/state:in/zip:46130","46130","111","102","0","75","0","24","17","41","0","73","42","54","25","24","0","29","73","96","132","0","100","61","84","99","0"
"publicpolygonfeature:5:47632","ZIP Code 46131","country:us/state:in/zip:46131","46131","1842","783","496","562","107","270","199","952","516","794","477","558","112","188","809","457","345","1438","1709","26","812","677","1152","548","824"
"publicpolygonfeature:5:47634","ZIP Code 46149","country:us/state:in/zip:46149","46149","145","52","0","12","2","0","2","45","6","43","51","19","8","3","8","82","136","51","94","0","42","56","47","2","19"
"publicpolygonfeature:5:47638","ZIP Code 46140","country:us/state:in/zip:46140","46140","2201","1180","647","395","163","283","137","1784","397","1192","447","547","299","297","1246","271","593","1824","3059","16","1633","1219","1061","1206","1099"
