"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:63684","ZIP Code 94606","country:us/state:ca/zip:94606","94606","3093","1325","915","530","338","543","237","1617","964","523","340","1275","319","99","1904","715","758","1598","1930","3","761","430","731","597","855"
"publicpolygonfeature:5:63685","ZIP Code 94607","country:us/state:ca/zip:94607","94607","2400","1251","1453","609","426","402","322","1015","930","416","225","765","282","150","839","248","287","1576","1131","100","330","231","324","355","398"
"publicpolygonfeature:5:63686","ZIP Code 94608","country:us/state:ca/zip:94608","94608","3340","1873","2058","1020","1223","466","335","1751","1585","978","98","516","290","9","794","186","296","1485","1186","81","423","216","322","621","550"
"publicpolygonfeature:5:63687","ZIP Code 94609","country:us/state:ca/zip:94609","94609","2311","964","1404","374","469","322","570","1104","950","585","181","429","174","9","589","178","250","953","1044","42","638","91","270","343","351"
"publicpolygonfeature:5:63688","ZIP Code 94610","country:us/state:ca/zip:94610","94610","4099","2381","1000","911","743","560","835","1722","1424","1105","103","412","188","88","396","174","355","1108","1371","0","179","64","280","288","220"
"publicpolygonfeature:5:63689","ZIP Code 94611","country:us/state:ca/zip:94611","94611","4548","2865","1661","847","744","534","1033","1393","1425","1537","127","228","120","83","471","196","364","1692","996","0","219","77","356","299","227"
"publicpolygonfeature:5:63690","ZIP Code 94612","country:us/state:ca/zip:94612","94612","1711","832","1018","313","311","271","271","504","503","556","157","390","188","64","779","361","301","841","1035","0","52","82","56","182","300"
"publicpolygonfeature:5:63691","ZIP Code 94613","country:us/state:ca/zip:94613","94613","5","0","0","0","5","3","0","26","29","0","0","0","22","0","17","0","0","27","12","9","0","0","0","0","4"
"publicpolygonfeature:5:63692","ZIP Code 94618","country:us/state:ca/zip:94618","94618","1947","1251","594","451","477","234","840","640","407","604","40","77","13","0","145","9","189","812","384","5","6","79","48","100","26"
"publicpolygonfeature:5:63693","ZIP Code 94619","country:us/state:ca/zip:94619","94619","2145","1592","539","373","388","305","280","987","574","574","194","176","125","111","342","513","265","1238","1201","4","602","198","454","362","359"
"publicpolygonfeature:5:63694","ZIP Code 94621","country:us/state:ca/zip:94621","94621","770","590","276","58","0","243","29","496","39","45","235","1177","193","119","810","1038","348","1352","1498","118","1971","411","599","1012","1049"
"publicpolygonfeature:5:63695","ZIP Code 94702","country:us/state:ca/zip:94702","94702","1326","728","528","451","598","161","391","924","536","340","40","423","223","0","318","64","282","554","557","23","167","0","146","168","154"
"publicpolygonfeature:5:63696","ZIP Code 94703","country:us/state:ca/zip:94703","94703","1971","667","1013","625","950","295","354","1547","562","369","63","216","61","0","263","152","225","449","602","16","408","55","241","393","86"
"publicpolygonfeature:5:63697","ZIP Code 94704","country:us/state:ca/zip:94704","94704","1352","498","1057","289","589","405","197","1608","704","61","72","102","217","46","687","156","400","514","1413","35","139","63","56","44","59"
"publicpolygonfeature:5:63698","ZIP Code 94705","country:us/state:ca/zip:94705","94705","1101","683","549","195","546","98","279","886","501","545","90","103","65","11","185","97","155","439","409","0","122","28","94","63","29"
"publicpolygonfeature:5:63699","ZIP Code 94706","country:us/state:ca/zip:94706","94706","1340","874","724","519","841","319","330","1378","823","507","58","136","24","29","417","106","234","567","816","8","134","89","130","97","73"
"publicpolygonfeature:5:63700","ZIP Code 94708","country:us/state:ca/zip:94708","94708","1373","299","480","258","541","69","232","521","347","645","55","51","2","3","105","36","82","252","366","26","52","24","27","21","11"
"publicpolygonfeature:5:63701","ZIP Code 94709","country:us/state:ca/zip:94709","94709","876","357","633","144","459","125","202","1412","460","127","2","136","49","0","306","127","163","617","482","0","161","9","24","29","93"
"publicpolygonfeature:5:63702","ZIP Code 94710","country:us/state:ca/zip:94710","94710","506","288","448","233","292","55","136","477","340","115","47","56","67","0","83","33","141","256","400","85","95","70","134","140","69"
"publicpolygonfeature:5:63703","ZIP Code 94720","country:us/state:ca/zip:94720","94720","90","90","45","39","86","35","6","343","77","65","17","75","39","0","276","6","50","162","453","0","7","12","0","0","40"
"publicpolygonfeature:5:63704","ZIP Code 94801","country:us/state:ca/zip:94801","94801","1222","451","193","53","235","264","49","838","317","83","81","935","200","26","943","1650","366","1380","1166","173","2370","672","564","881","844"
"publicpolygonfeature:5:63705","ZIP Code 94803","country:us/state:ca/zip:94803","94803","1670","855","495","233","215","360","59","953","491","455","167","645","153","37","575","789","421","1148","1899","13","345","430","437","599","577"
"publicpolygonfeature:5:63706","ZIP Code 94804","country:us/state:ca/zip:94804","94804","2307","788","497","574","486","572","184","1249","577","589","196","923","346","101","1733","1811","720","1678","2321","35","1653","354","914","1325","652"
"publicpolygonfeature:5:63707","ZIP Code 94805","country:us/state:ca/zip:94805","94805","907","331","240","223","195","111","149","688","381","153","120","228","112","71","462","392","322","647","1012","41","406","294","450","248","176"
"publicpolygonfeature:5:63708","ZIP Code 94806","country:us/state:ca/zip:94806","94806","2433","1381","629","637","288","536","194","1291","390","587","641","1417","376","160","1821","2613","819","2437","2925","230","2304","1162","1115","1854","1444"
"publicpolygonfeature:5:63710","ZIP Code 94901","country:us/state:ca/zip:94901","94901","2656","1362","679","390","278","248","410","1318","699","712","88","872","110","106","1250","1409","731","1803","2075","220","2172","115","517","356","337"
"publicpolygonfeature:5:63712","ZIP Code 94903","country:us/state:ca/zip:94903","94903","2818","1372","954","287","238","217","429","1058","611","471","91","227","53","13","513","355","491","1470","1341","0","470","130","254","482","368"
"publicpolygonfeature:5:63713","ZIP Code 94904","country:us/state:ca/zip:94904","94904","1384","800","155","120","165","57","304","181","180","498","164","73","80","10","181","88","287","713","462","0","47","0","43","40","47"
"publicpolygonfeature:5:63714","ZIP Code 94920","country:us/state:ca/zip:94920","94920","1445","603","245","164","279","57","327","254","119","278","28","46","23","0","31","26","286","521","420","12","139","16","0","157","0"
"publicpolygonfeature:5:63718","ZIP Code 94924","country:us/state:ca/zip:94924","94924","61","64","0","6","0","0","31","24","48","15","0","0","0","5","34","16","39","40","64","8","96","0","35","46","0"
"publicpolygonfeature:5:63719","ZIP Code 94925","country:us/state:ca/zip:94925","94925","1375","645","146","38","142","69","401","345","252","397","44","0","18","0","59","29","97","415","193","0","0","0","68","63","51"
"publicpolygonfeature:5:63720","ZIP Code 94930","country:us/state:ca/zip:94930","94930","839","569","192","167","89","100","117","259","222","313","40","109","47","7","169","38","214","364","309","6","37","123","21","77","6"
"publicpolygonfeature:5:63722","ZIP Code 94933","country:us/state:ca/zip:94933","94933","35","47","140","0","44","7","0","84","34","44","4","15","0","0","0","51","0","0","56","0","28","0","5","0","0"
"publicpolygonfeature:5:63723","ZIP Code 94940","country:us/state:ca/zip:94940","94940","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0"
"publicpolygonfeature:5:63725","ZIP Code 94937","country:us/state:ca/zip:94937","94937","139","5","0","0","0","0","0","96","19","25","0","0","19","0","22","49","0","96","0","0","17","0","0","0","0"
"publicpolygonfeature:5:63726","ZIP Code 94938","country:us/state:ca/zip:94938","94938","9","0","59","0","0","0","22","97","49","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63727","ZIP Code 94939","country:us/state:ca/zip:94939","94939","639","327","296","45","135","50","141","168","190","232","0","32","21","0","23","88","290","485","438","0","30","13","79","56","43"
"publicpolygonfeature:5:63729","ZIP Code 94941","country:us/state:ca/zip:94941","94941","3336","1599","935","360","355","238","673","800","1018","1166","305","269","128","56","556","127","403","1670","583","7","312","156","268","223","86"
"publicpolygonfeature:5:63730","ZIP Code 94945","country:us/state:ca/zip:94945","94945","1552","591","256","129","99","312","126","444","418","451","107","225","125","68","281","489","322","951","749","13","242","166","94","132","149"
"publicpolygonfeature:5:63732","ZIP Code 94946","country:us/state:ca/zip:94946","94946","71","23","10","8","6","3","16","30","51","34","8","5","6","3","25","6","6","43","23","4","15","0","0","6","6"
"publicpolygonfeature:5:63733","ZIP Code 94947","country:us/state:ca/zip:94947","94947","1966","613","404","123","306","220","137","507","471","507","157","513","152","116","452","921","321","884","1185","62","473","197","87","467","231"
"publicpolygonfeature:5:63734","ZIP Code 94949","country:us/state:ca/zip:94949","94949","1399","481","392","94","35","126","136","576","241","363","171","223","41","34","539","477","199","856","1134","13","353","102","68","115","293"
"publicpolygonfeature:5:63735","ZIP Code 94950","country:us/state:ca/zip:94950","94950","8","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63736","ZIP Code 94952","country:us/state:ca/zip:94952","94952","2551","1267","480","383","259","362","199","1153","1156","645","247","366","266","233","717","443","438","1352","1571","344","1022","426","891","273","437"
