"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","27","0","0","0","0","0","0","0","0","24","0","0","13","21","6","0","20","0","0","0","23","45","0","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","2742","1810","1758","424","224","373","131","1397","702","1289","444","474","314","332","1073","810","1036","2375","3435","104","1059","819","1219","659","491"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","3888","2248","1860","457","242","315","334","1436","649","1758","272","526","259","191","766","533","412","2922","2128","131","718","841","648","664","426"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","179","40","39","0","26","0","42","41","0","42","89","10","0","0","45","250","38","23","178","0","104","88","142","77","180"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","180","12","0","0","0","10","0","52","4","13","0","0","0","0","21","5","0","33","46","0","0","18","14","44","0"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","1928","842","503","226","77","73","132","661","137","376","25","388","72","120","425","91","156","837","605","0","247","223","308","198","141"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","3706","1490","1735","1053","305","379","127","1612","409","754","297","467","161","400","1145","507","548","3001","3756","0","831","1047","825","961","389"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","300","50","34","51","14","116","29","91","24","28","107","0","13","70","80","33","0","30","137","0","72","28","80","11","0"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","4383","2913","1545","744","287","319","187","3161","754","1073","911","1018","710","623","2263","1108","947","4065","5044","29","3730","1330","2062","1278","1412"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","5428","3028","3583","1079","456","403","241","2431","833","1597","990","718","183","584","1351","494","801","3569","4215","5","894","672","910","757","1009"
