"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:58168","ZIP Code 80214","country:us/state:co/zip:80214","80214","1828","1525","715","579","293","260","119","840","484","818","164","554","272","36","1271","310","416","1672","1110","58","1016","316","801","544","380"
"publicpolygonfeature:5:58185","ZIP Code 80215","country:us/state:co/zip:80215","80215","1563","844","687","309","309","113","212","552","487","388","259","170","263","59","418","337","120","763","688","16","437","444","405","289","295"
"publicpolygonfeature:5:59760","ZIP Code 80247","country:us/state:co/zip:80247","80247","1715","934","742","543","92","551","193","808","394","632","440","806","190","58","1139","387","674","1354","1891","37","731","380","490","829","663"
"publicpolygonfeature:5:59764","ZIP Code 80249","country:us/state:co/zip:80249","80249","2235","781","888","304","67","600","209","1033","176","790","421","1245","585","204","1212","792","467","1902","3147","0","1360","910","631","1588","1013"
"publicpolygonfeature:5:59775","ZIP Code 80260","country:us/state:co/zip:80260","80260","1160","468","406","130","56","146","51","386","70","166","109","969","369","22","1180","1164","393","1408","2059","21","1976","822","560","1224","1186"
"publicpolygonfeature:5:59781","ZIP Code 80264","country:us/state:co/zip:80264","80264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59782","ZIP Code 80290","country:us/state:co/zip:80290","80290","48","45","0","28","0","0","50","0","6","0","22","0","0","0","147","0","0","23","33","0","61","0","0","0","0"
"publicpolygonfeature:5:59783","ZIP Code 80293","country:us/state:co/zip:80293","80293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59792","ZIP Code 80294","country:us/state:co/zip:80294","80294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:60389","ZIP Code 80002","country:us/state:co/zip:80002","80002","2148","1042","758","621","175","200","113","483","230","573","209","248","239","47","567","343","552","1158","1405","70","623","261","372","294","139"
"publicpolygonfeature:5:60390","ZIP Code 80003","country:us/state:co/zip:80003","80003","2218","1909","1201","609","263","473","163","834","258","512","332","518","112","127","1080","708","478","1680","1691","172","1325","908","429","938","711"
"publicpolygonfeature:5:60391","ZIP Code 80004","country:us/state:co/zip:80004","80004","3009","1777","1217","713","333","253","113","1074","413","746","248","429","273","128","931","393","535","1466","2049","96","814","428","543","553","474"
"publicpolygonfeature:5:60392","ZIP Code 80005","country:us/state:co/zip:80005","80005","2892","1140","1105","548","284","227","285","887","531","859","113","278","298","95","353","215","538","1667","1634","0","459","308","402","317","256"
"publicpolygonfeature:5:60393","ZIP Code 80007","country:us/state:co/zip:80007","80007","2378","973","976","475","53","115","81","500","152","447","129","79","120","137","331","128","247","1114","895","27","360","60","97","26","128"
"publicpolygonfeature:5:60394","ZIP Code 80216","country:us/state:co/zip:80216","80216","1227","830","540","366","37","352","115","210","217","422","230","307","36","13","434","257","441","907","523","37","818","190","444","467","513"
"publicpolygonfeature:5:60395","ZIP Code 80010","country:us/state:co/zip:80010","80010","1553","652","309","332","183","234","166","875","383","401","392","709","246","0","1520","1869","613","1366","1573","237","3119","474","1079","816","1314"
"publicpolygonfeature:5:60396","ZIP Code 80011","country:us/state:co/zip:80011","80011","1925","1069","782","258","331","324","106","879","290","638","464","1049","432","47","2005","1964","609","2147","3212","148","3834","736","1683","1208","1622"
"publicpolygonfeature:5:60397","ZIP Code 80012","country:us/state:co/zip:80012","80012","2142","1089","1152","482","215","256","232","880","476","847","330","1309","279","155","1794","1360","531","2543","3539","75","2392","776","820","1856","1301"
"publicpolygonfeature:5:60398","ZIP Code 80013","country:us/state:co/zip:80013","80013","3858","2501","2011","1145","232","778","269","2268","879","1380","693","1382","553","305","2102","1252","1148","3330","5159","39","2548","1597","1271","2076","1188"
"publicpolygonfeature:5:60399","ZIP Code 80014","country:us/state:co/zip:80014","80014","2249","1463","1321","549","143","378","214","1221","667","676","508","915","187","149","799","498","608","1617","2501","15","791","529","599","985","748"
"publicpolygonfeature:5:60400","ZIP Code 80016","country:us/state:co/zip:80016","80016","6725","3216","2707","1017","403","299","507","2521","676","1882","481","922","566","154","1392","281","846","3829","3293","4","740","424","717","1439","1024"
"publicpolygonfeature:5:60401","ZIP Code 80017","country:us/state:co/zip:80017","80017","1890","1129","1036","198","75","172","410","878","331","327","317","1024","419","115","1287","1050","513","1806","2659","112","1472","753","1020","1069","1580"
