"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:43565","ZIP Code 33609","country:us/state:fl/zip:33609","33609","4177","4064","5","104","963","489","7272","5008","877","1606","149","0","1015","6518","3","1015","2000","37","1","611"
"publicpolygonfeature:5:43566","ZIP Code 33610","country:us/state:fl/zip:33610","33610","5711","5182","40","378","4069","1364","18602","2268","390","841","1823","0","881","5108","134","1115","2930","2076","461","4465"
"publicpolygonfeature:5:43567","ZIP Code 33611","country:us/state:fl/zip:33611","33611","1383","587","0","391","377","83","1556","1008","57","88","347","0","487","771","0","414","2080","49","0","518"
"publicpolygonfeature:5:43568","ZIP Code 33612","country:us/state:fl/zip:33612","33612","2096","969","1","2643","1233","2090","334","15118","146","422","1254","0","653","4427","905","389","4018","602","10","337"
"publicpolygonfeature:5:43569","ZIP Code 33625","country:us/state:fl/zip:33625","33625","1179","638","7","56","371","275","200","985","139","29","13","0","239","772","1","161","2924","44","0","112"
"publicpolygonfeature:5:43570","ZIP Code 33613","country:us/state:fl/zip:33613","33613","482","1113","1","146","689","536","194","8538","26","98","133","0","301","805","0","450","2015","10","0","271"
"publicpolygonfeature:5:43571","ZIP Code 33614","country:us/state:fl/zip:33614","33614","2456","3830","25","633","3209","590","9185","10132","592","453","997","0","689","3504","244","577","3951","1431","4","1665"
"publicpolygonfeature:5:43572","ZIP Code 33615","country:us/state:fl/zip:33615","33615","707","656","3","92","500","423","199","1382","11","92","20","0","270","687","1","257","1576","185","2","108"
"publicpolygonfeature:5:43573","ZIP Code 33616","country:us/state:fl/zip:33616","33616","242","99","5","81","374","10","100","114","26","0","248","0","66","635","0","107","93","160","16","102"
"publicpolygonfeature:5:43574","ZIP Code 33617","country:us/state:fl/zip:33617","33617","2016","745","0","232","444","9405","365","1254","71","186","490","0","263","655","311","354","1634","30","1","397"
"publicpolygonfeature:5:43575","ZIP Code 33618","country:us/state:fl/zip:33618","33618","2294","2551","4","257","447","245","1137","2468","383","250","49","0","629","1428","409","574","2658","33","1","350"
