"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:59783","ZIP Code 80293","country:us/state:co/zip:80293","80293","0","52","0","0","0","0","27","13","34","12","0","51","0","24","0","6","0","0","0","0"
"publicpolygonfeature:5:59792","ZIP Code 80294","country:us/state:co/zip:80294","80294","0","9","0","0","0","0","0","13","0","0","0","0","0","15","78","0","0","0","0","0"
"publicpolygonfeature:5:60389","ZIP Code 80002","country:us/state:co/zip:80002","80002","1780","899","163","90","2409","61","559","1285","116","192","1403","0","476","1527","860","204","2518","138","18","714"
"publicpolygonfeature:5:60390","ZIP Code 80003","country:us/state:co/zip:80003","80003","1018","423","5","271","794","163","484","844","31","209","574","2","219","684","0","165","1720","108","315","229"
"publicpolygonfeature:5:60391","ZIP Code 80004","country:us/state:co/zip:80004","80004","814","327","0","191","814","140","152","1038","42","59","410","3","293","679","205","252","628","39","0","170"
"publicpolygonfeature:5:60392","ZIP Code 80005","country:us/state:co/zip:80005","80005","511","145","80","781","240","103","194","467","39","15","64","2","248","706","2","75","883","37","0","174"
"publicpolygonfeature:5:60393","ZIP Code 80007","country:us/state:co/zip:80007","80007","273","104","44","30","283","42","74","319","25","25","592","15","81","457","0","34","199","135","6","100"
"publicpolygonfeature:5:60394","ZIP Code 80216","country:us/state:co/zip:80216","80216","1253","3563","981","438","4695","211","177","1378","671","372","6175","11","1792","2469","0","674","1493","4972","132","7973"
"publicpolygonfeature:5:60395","ZIP Code 80010","country:us/state:co/zip:80010","80010","726","647","0","133","846","5850","126","1111","35","0","223","0","301","204","1","176","848","108","0","263"
"publicpolygonfeature:5:60396","ZIP Code 80011","country:us/state:co/zip:80011","80011","2432","5416","425","117","3642","868","262","3543","165","259","3481","3","1612","4773","4","435","3238","7462","77","8307"
"publicpolygonfeature:5:60397","ZIP Code 80012","country:us/state:co/zip:80012","80012","2674","1594","0","252","192","304","279","6559","184","19","61","0","472","1019","3917","446","6090","51","0","261"
"publicpolygonfeature:5:60398","ZIP Code 80013","country:us/state:co/zip:80013","80013","991","289","0","32","387","214","143","670","122","248","46","0","330","530","2","82","1362","58","2","179"
"publicpolygonfeature:5:60399","ZIP Code 80014","country:us/state:co/zip:80014","80014","2053","3586","1","104","338","414","1416","9413","696","44","170","7","716","1944","28","497","1317","358","0","822"
"publicpolygonfeature:5:60400","ZIP Code 80016","country:us/state:co/zip:80016","80016","2919","451","0","869","503","509","477","1489","237","121","65","10","584","1570","0","301","3701","176","6","493"
"publicpolygonfeature:5:60401","ZIP Code 80017","country:us/state:co/zip:80017","80017","439","333","0","103","167","140","229","189","58","10","32","2","160","1232","1","48","448","88","6","70"
"publicpolygonfeature:5:60402","ZIP Code 80018","country:us/state:co/zip:80018","80018","30","130","0","18","130","12","40","198","31","12","9","0","35","245","0","28","22","240","0","37"
"publicpolygonfeature:5:60403","ZIP Code 80019","country:us/state:co/zip:80019","80019","1525","67","0","0","159","92","3","0","1","1","434","368","404","26","0","231","108","3180","49","1023"
