"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","469","375","7","229","402","804","232","1107","53","21","38","0","462","488","0","61","670","6","0","83"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","942","140","3","40","282","1211","397","5228","130","5","48","0","427","740","0","120","540","44","0","80"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","704","407","30","349","525","1087","185","1581","89","0","82","6","411","637","81","181","477","54","1","17"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","1926","164","5","173","488","19948","327","2621","122","0","92","0","364","728","0","107","860","50","0","89"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","1602","1518","28","189","2127","1059","666","1365","315","427","1183","0","880","3847","130","253","1628","385","59","735"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","0","6","2","0","18","0","0","0","0","0","0","0","4","9","0","1","11","30","0","0"
"publicpolygonfeature:5:63565","ZIP Code 94080","country:us/state:ca/zip:94080","94080","3796","2395","311","228","2857","1143","3029","5760","605","213","11043","0","1356","11550","426","685","3178","4110","34","5725"
"publicpolygonfeature:5:63570","ZIP Code 94102","country:us/state:ca/zip:94102","94102","7469","1576","0","5064","722","2933","307","5275","1778","1397","90","0","3053","2413","15329","854","1795","8798","3470","440"
"publicpolygonfeature:5:63571","ZIP Code 94103","country:us/state:ca/zip:94103","94103","6753","5345","13","934","2355","2554","1616","16213","8686","316","2916","0","3678","14757","7316","1801","5828","1650","38","1340"
"publicpolygonfeature:5:63572","ZIP Code 94104","country:us/state:ca/zip:94104","94104","1341","7116","5","403","2369","396","9608","1566","7692","1606","270","0","1821","18766","941","1573","939","74","169","1808"
"publicpolygonfeature:5:63573","ZIP Code 94105","country:us/state:ca/zip:94105","94105","4526","6039","2","1155","1038","1919","16950","962","21554","4089","1318","0","1431","42692","2271","2116","1249","6556","4182","1680"
"publicpolygonfeature:5:63574","ZIP Code 94107","country:us/state:ca/zip:94107","94107","4353","7803","48","640","4643","2021","1134","2951","9261","236","1173","0","1200","17719","269","811","2274","4619","0","1049"
"publicpolygonfeature:5:63575","ZIP Code 94108","country:us/state:ca/zip:94108","94108","3907","878","0","285","235","573","887","3404","3199","127","152","0","1138","5193","0","780","2347","81","0","205"
"publicpolygonfeature:5:63576","ZIP Code 94109","country:us/state:ca/zip:94109","94109","3621","846","19","238","185","525","413","8821","226","550","449","0","2245","1830","487","855","1488","25","0","126"
