"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","155","252","2","128","803","94","602","636","38","1","256","324","371","195","23","93","809","84","99","92"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","938","371","1","105","2206","108","101","563","130","5","832","0","578","196","188","97","1299","266","7","357"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","130","17","2","134","34","7","0","0","8","0","66","0","36","4","0","7","21","0","0","0"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","1737","417","41","225","913","197","138","1528","102","8","698","0","671","345","362","260","2414","632","95","266"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","3965","2777","18","544","1713","138","4107","3727","177","75","979","0","921","1349","2","234","2808","223","8","723"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","1798","1048","2","315","2497","7942","258","1208","362","99","826","10","615","1662","396","290","2020","223","4","566"
"publicpolygonfeature:5:59984","ZIP Code 78642","country:us/state:tx/zip:78642","78642","640","258","26","19","1089","1646","116","454","49","3","192","47","135","313","151","86","274","66","77","274"
"publicpolygonfeature:5:59987","ZIP Code 78644","country:us/state:tx/zip:78644","78644","964","231","85","22","431","1297","167","575","33","4","297","84","86","161","159","36","815","115","35","91"
"publicpolygonfeature:5:59988","ZIP Code 78645","country:us/state:tx/zip:78645","78645","280","85","3","18","441","212","216","114","27","19","161","9","84","210","157","79","149","6","19","80"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","205","11","83","35","161","0","45","618","6","0","56","152","30","41","60","14","541","18","13","97"
"publicpolygonfeature:5:59991","ZIP Code 78650","country:us/state:tx/zip:78650","78650","7","0","0","0","8","108","0","1","0","0","14","30","4","8","1","0","8","0","0","0"
"publicpolygonfeature:5:59992","ZIP Code 78652","country:us/state:tx/zip:78652","78652","31","57","64","19","470","0","4","344","9","2","74","0","85","94","0","23","92","18","0","11"
"publicpolygonfeature:5:59993","ZIP Code 78653","country:us/state:tx/zip:78653","78653","528","359","3","25","904","1403","31","372","4","1","228","30","80","142","92","64","610","291","42","558"
"publicpolygonfeature:5:59995","ZIP Code 78654","country:us/state:tx/zip:78654","78654","1160","279","69","79","895","1108","165","1413","94","14","440","215","312","357","300","171","1564","94","94","422"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","42","21","7","16","63","1","0","44","13","3","7","0","4","3","13","18","71","9","8","13"
