"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","636","32","145","166","301","88","279","217","59","47"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","1815","324","642","528","1868","967","2745","3016","2260","840"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","285","11","37","10","53","20","61","76","68","2"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","301","78","217","119","214","52","249","141","86","38"
"publicpolygonfeature:5:46407","ZIP Code 43062","country:us/state:oh/zip:43062","43062","838","194","349","931","1563","1141","1932","3311","1526","386"
"publicpolygonfeature:5:46409","ZIP Code 43054","country:us/state:oh/zip:43054","43054","254","29","41","227","384","156","1988","5535","2815","279"
"publicpolygonfeature:5:46410","ZIP Code 43071","country:us/state:oh/zip:43071","43071","203","2","2","74","100","55","94","205","4","1"
"publicpolygonfeature:5:46411","ZIP Code 43055","country:us/state:oh/zip:43055","43055","6709","1711","3110","3084","3785","2387","2939","2095","719","112"
"publicpolygonfeature:5:46413","ZIP Code 43056","country:us/state:oh/zip:43056","43056","300","139","436","1292","1037","830","1282","1452","391","105"
"publicpolygonfeature:5:46415","ZIP Code 43061","country:us/state:oh/zip:43061","43061","138","35","78","34","202","208","243","288","232","112"
"publicpolygonfeature:5:46416","ZIP Code 43064","country:us/state:oh/zip:43064","43064","632","111","236","171","546","295","949","846","2037","639"
"publicpolygonfeature:5:46417","ZIP Code 43065","country:us/state:oh/zip:43065","43065","534","108","195","239","1085","3935","4079","4650","2240","1016"
"publicpolygonfeature:5:46418","ZIP Code 43066","country:us/state:oh/zip:43066","43066","115","0","32","0","138","29","132","122","0","0"
"publicpolygonfeature:5:46419","ZIP Code 43067","country:us/state:oh/zip:43067","43067","228","7","0","9","32","78","160","118","22","15"
"publicpolygonfeature:5:46420","ZIP Code 43068","country:us/state:oh/zip:43068","43068","666","207","2008","2388","5001","4384","5807","3752","1255","183"
"publicpolygonfeature:5:46422","ZIP Code 43074","country:us/state:oh/zip:43074","43074","458","54","169","505","780","514","922","970","1677","538"
"publicpolygonfeature:5:46423","ZIP Code 43076","country:us/state:oh/zip:43076","43076","531","103","410","244","523","323","998","721","340","120"
"publicpolygonfeature:5:46424","ZIP Code 43077","country:us/state:oh/zip:43077","43077","29","4","3","2","9","5","6","6","0","0"
"publicpolygonfeature:5:46426","ZIP Code 43080","country:us/state:oh/zip:43080","43080","506","9","187","108","137","225","387","378","88","51"
"publicpolygonfeature:5:46427","ZIP Code 43081","country:us/state:oh/zip:43081","43081","1170","132","944","2804","5925","6084","3580","3877","3507","963"
"publicpolygonfeature:5:46428","ZIP Code 43082","country:us/state:oh/zip:43082","43082","202","75","381","199","438","672","4628","4540","1821","259"
"publicpolygonfeature:5:46430","ZIP Code 43085","country:us/state:oh/zip:43085","43085","499","880","1446","2231","1658","2700","752","250","570","185"
"publicpolygonfeature:5:46432","ZIP Code 43102","country:us/state:oh/zip:43102","43102","238","21","158","54","171","84","336","261","112","21"
"publicpolygonfeature:5:46433","ZIP Code 43105","country:us/state:oh/zip:43105","43105","784","47","122","312","621","394","558","483","185","59"
"publicpolygonfeature:5:46435","ZIP Code 43107","country:us/state:oh/zip:43107","43107","451","90","111","89","251","59","274","169","52","16"
"publicpolygonfeature:5:46436","ZIP Code 43109","country:us/state:oh/zip:43109","43109","29","40","0","3","0","0","1","4","0","0"
"publicpolygonfeature:5:46437","ZIP Code 43119","country:us/state:oh/zip:43119","43119","330","73","213","386","1886","1620","3789","2508","814","266"
"publicpolygonfeature:5:46438","ZIP Code 43110","country:us/state:oh/zip:43110","43110","650","217","343","396","1517","1788","4141","5720","2619","681"
"publicpolygonfeature:5:46439","ZIP Code 43111","country:us/state:oh/zip:43111","43111","45","0","0","0","0","12","55","0","51","0"
"publicpolygonfeature:5:46440","ZIP Code 43112","country:us/state:oh/zip:43112","43112","280","16","95","151","297","203","160","235","129","0"
"publicpolygonfeature:5:46442","ZIP Code 43113","country:us/state:oh/zip:43113","43113","2103","549","1156","1310","1805","917","1205","1130","353","36"
"publicpolygonfeature:5:46443","ZIP Code 43115","country:us/state:oh/zip:43115","43115","149","26","13","16","61","181","89","13","51","11"
"publicpolygonfeature:5:46444","ZIP Code 43116","country:us/state:oh/zip:43116","43116","33","0","4","0","15","22","101","262","278","23"
"publicpolygonfeature:5:46445","ZIP Code 43117","country:us/state:oh/zip:43117","43117","7","0","0","0","0","0","0","0","0","0"
