"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","0","0","38","113","914","2062","1227","1937","752","467"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","527","626","1208","690","2089","1847","1042","1597","896","27"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","158","90","260","400","628","2438","860","1509","585","197"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","126","110","216","492","635","1784","2518","1529","865","114"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","45","18","68","200","649","702","631","1345","539","89"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","26","40","133","93","752","1766","1883","3875","1604","730"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","202","9","584","759","1608","1617","1017","3488","4281","1362"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","18","15","178","82","1162","1483","957","2334","3155","1594"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","31","25","217","1446","2757","2668","3200","2960","3868","1060"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","53","83","183","462","1256","2343","4079","8294","8105","1259"
"publicpolygonfeature:5:43552","ZIP Code 33579","country:us/state:fl/zip:33579","33579","0","21","87","82","326","659","1074","4768","7061","2114"
"publicpolygonfeature:5:43553","ZIP Code 33584","country:us/state:fl/zip:33584","33584","74","89","166","932","2908","2553","1149","2232","793","227"
"publicpolygonfeature:5:43555","ZIP Code 33604","country:us/state:fl/zip:33604","33604","3167","1862","3110","1627","2653","1424","1158","1426","833","149"
"publicpolygonfeature:5:43556","ZIP Code 33592","country:us/state:fl/zip:33592","33592","85","54","138","365","732","1242","620","640","835","303"
"publicpolygonfeature:5:43557","ZIP Code 33594","country:us/state:fl/zip:33594","33594","38","58","142","461","1678","3276","2917","4216","1122","154"
"publicpolygonfeature:5:43558","ZIP Code 33596","country:us/state:fl/zip:33596","33596","0","41","86","178","620","3014","3959","2130","287","123"
"publicpolygonfeature:5:43559","ZIP Code 33605","country:us/state:fl/zip:33605","33605","2685","674","736","646","523","488","409","1493","998","291"
"publicpolygonfeature:5:43560","ZIP Code 33606","country:us/state:fl/zip:33606","33606","2121","535","965","469","683","820","1409","1893","2267","244"
"publicpolygonfeature:5:43561","ZIP Code 33597","country:us/state:fl/zip:33597","33597","85","66","186","257","582","1174","851","819","328","198"
"publicpolygonfeature:5:43562","ZIP Code 33598","country:us/state:fl/zip:33598","33598","9","9","50","296","343","361","757","1172","5585","1705"
"publicpolygonfeature:5:43563","ZIP Code 33602","country:us/state:fl/zip:33602","33602","947","275","137","267","543","561","1247","3680","4496","864"
"publicpolygonfeature:5:43564","ZIP Code 33607","country:us/state:fl/zip:33607","33607","750","735","1582","1541","1221","1619","999","1572","3046","473"
"publicpolygonfeature:5:43565","ZIP Code 33609","country:us/state:fl/zip:33609","33609","433","627","1152","1243","760","1277","432","1607","1481","417"
"publicpolygonfeature:5:43566","ZIP Code 33610","country:us/state:fl/zip:33610","33610","598","523","2768","2351","2479","2569","2190","2859","1322","628"
"publicpolygonfeature:5:43567","ZIP Code 33611","country:us/state:fl/zip:33611","33611","374","286","3288","1507","2035","3472","1351","2500","3927","594"
"publicpolygonfeature:5:43568","ZIP Code 33612","country:us/state:fl/zip:33612","33612","209","833","4478","3404","4102","3891","1469","1537","1469","97"
"publicpolygonfeature:5:43569","ZIP Code 33625","country:us/state:fl/zip:33625","33625","0","18","82","99","896","4437","1666","2365","2172","213"
"publicpolygonfeature:5:43570","ZIP Code 33613","country:us/state:fl/zip:33613","33613","36","53","773","1224","4124","5808","2413","2236","1641","91"
"publicpolygonfeature:5:43571","ZIP Code 33614","country:us/state:fl/zip:33614","33614","337","252","1919","3846","3668","4681","1958","2492","873","117"
"publicpolygonfeature:5:43572","ZIP Code 33615","country:us/state:fl/zip:33615","33615","15","113","451","3194","5035","5617","2386","2277","952","70"
"publicpolygonfeature:5:43573","ZIP Code 33616","country:us/state:fl/zip:33616","33616","78","24","773","644","541","808","521","1403","2046","587"
"publicpolygonfeature:5:43574","ZIP Code 33617","country:us/state:fl/zip:33617","33617","163","342","2353","2581","6094","5434","2677","1675","519","113"
"publicpolygonfeature:5:43575","ZIP Code 33618","country:us/state:fl/zip:33618","33618","47","47","395","1726","2798","4321","1198","1083","792","43"
"publicpolygonfeature:5:43576","ZIP Code 33619","country:us/state:fl/zip:33619","33619","285","278","1646","1988","1820","1395","1223","3803","2614","998"
"publicpolygonfeature:5:43577","ZIP Code 33620","country:us/state:fl/zip:33620","33620","0","0","0","0","0","29","0","5","0","0"
"publicpolygonfeature:5:43578","ZIP Code 33621","country:us/state:fl/zip:33621","33621","9","16","0","34","20","131","44","160","151","0"
"publicpolygonfeature:5:43579","ZIP Code 33624","country:us/state:fl/zip:33624","33624","50","64","49","228","2796","8714","2640","969","385","65"
"publicpolygonfeature:5:43580","ZIP Code 33637","country:us/state:fl/zip:33637","33637","11","0","385","488","1514","2239","1355","1166","1005","111"
"publicpolygonfeature:5:43581","ZIP Code 33647","country:us/state:fl/zip:33647","33647","101","14","18","109","629","2868","7625","10797","5462","645"
"publicpolygonfeature:5:43582","ZIP Code 33701","country:us/state:fl/zip:33701","33701","3065","515","1213","1195","1693","539","467","1559","3039","357"
"publicpolygonfeature:5:43583","ZIP Code 33702","country:us/state:fl/zip:33702","33702","353","117","2840","2663","4833","2905","1283","759","326","26"
"publicpolygonfeature:5:43584","ZIP Code 33703","country:us/state:fl/zip:33703","33703","248","391","3256","2587","2961","1093","661","481","605","63"
"publicpolygonfeature:5:43585","ZIP Code 33704","country:us/state:fl/zip:33704","33704","2420","1199","1708","937","722","528","307","316","645","97"
"publicpolygonfeature:5:43586","ZIP Code 33712","country:us/state:fl/zip:33712","33712","1000","560","2743","2191","3208","1127","621","951","520","105"
"publicpolygonfeature:5:43587","ZIP Code 33713","country:us/state:fl/zip:33713","33713","2427","2124","4741","1950","2163","803","642","361","880","394"
"publicpolygonfeature:5:43588","ZIP Code 33714","country:us/state:fl/zip:33714","33714","444","528","2080","2441","1333","842","670","664","759","67"
"publicpolygonfeature:5:43589","ZIP Code 33715","country:us/state:fl/zip:33715","33715","14","28","58","336","1645","2935","1331","449","256","17"
"publicpolygonfeature:5:43590","ZIP Code 33716","country:us/state:fl/zip:33716","33716","176","6","153","581","2301","2321","2126","1899","1706","433"
"publicpolygonfeature:5:43591","ZIP Code 33744","country:us/state:fl/zip:33744","33744","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:43592","ZIP Code 33755","country:us/state:fl/zip:33755","33755","764","590","3335","1762","2357","1175","532","640","602","144"
"publicpolygonfeature:5:43593","ZIP Code 33759","country:us/state:fl/zip:33759","33759","23","20","668","766","2384","1952","1563","596","715","44"
"publicpolygonfeature:5:43594","ZIP Code 33760","country:us/state:fl/zip:33760","33760","18","75","238","909","2243","2437","1350","748","851","113"
"publicpolygonfeature:5:43595","ZIP Code 33761","country:us/state:fl/zip:33761","33761","0","0","12","493","3433","4067","1114","462","100","0"
"publicpolygonfeature:5:43596","ZIP Code 33762","country:us/state:fl/zip:33762","33762","12","0","25","9","797","1436","646","60","29","0"
"publicpolygonfeature:5:43597","ZIP Code 33763","country:us/state:fl/zip:33763","33763","68","14","791","1293","4766","2007","1168","696","694","60"
"publicpolygonfeature:5:43599","ZIP Code 33764","country:us/state:fl/zip:33764","33764","109","67","1424","3717","4747","1609","1166","1002","925","282"
"publicpolygonfeature:5:43600","ZIP Code 33765","country:us/state:fl/zip:33765","33765","27","29","1246","1235","1591","1300","475","668","256","0"
"publicpolygonfeature:5:43601","ZIP Code 33767","country:us/state:fl/zip:33767","33767","178","90","536","806","2584","1782","1209","1255","334","68"
