"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:59723","ZIP Code 78069","country:us/state:tx/zip:78069","78069","24","41","92","154","228","192","415","287","787","19"
"publicpolygonfeature:5:59724","ZIP Code 78101","country:us/state:tx/zip:78101","78101","92","56","73","139","228","361","547","472","604","62"
"publicpolygonfeature:5:59725","ZIP Code 78070","country:us/state:tx/zip:78070","78070","48","101","2","148","106","897","1235","2188","2736","580"
"publicpolygonfeature:5:59729","ZIP Code 78112","country:us/state:tx/zip:78112","78112","25","36","49","96","192","504","1336","718","694","149"
"publicpolygonfeature:5:59730","ZIP Code 78147","country:us/state:tx/zip:78147","78147","45","55","103","21","66","73","72","125","85","14"
"publicpolygonfeature:5:59731","ZIP Code 78212","country:us/state:tx/zip:78212","78212","4376","2564","1487","1833","938","824","387","341","484","300"
"publicpolygonfeature:5:59733","ZIP Code 78073","country:us/state:tx/zip:78073","78073","58","74","145","191","260","202","548","795","581","248"
"publicpolygonfeature:5:59738","ZIP Code 78108","country:us/state:tx/zip:78108","78108","91","128","0","162","819","1317","1146","5784","6067","1126"
"publicpolygonfeature:5:59739","ZIP Code 78109","country:us/state:tx/zip:78109","78109","23","44","83","519","1148","1913","3109","5160","6240","3268"
"publicpolygonfeature:5:59740","ZIP Code 78113","country:us/state:tx/zip:78113","78113","109","31","20","87","130","98","205","206","296","22"
"publicpolygonfeature:5:59741","ZIP Code 78114","country:us/state:tx/zip:78114","78114","104","213","184","499","679","920","2167","2163","1758","600"
"publicpolygonfeature:5:59743","ZIP Code 78124","country:us/state:tx/zip:78124","78124","99","21","29","65","341","481","410","411","573","165"
"publicpolygonfeature:5:59746","ZIP Code 78130","country:us/state:tx/zip:78130","78130","1373","864","1434","1659","3825","4774","3991","9179","12723","4967"
"publicpolygonfeature:5:59747","ZIP Code 78132","country:us/state:tx/zip:78132","78132","177","135","110","149","603","1058","1183","3554","6336","2126"
"publicpolygonfeature:5:59748","ZIP Code 78133","country:us/state:tx/zip:78133","78133","215","0","151","659","1569","1749","1713","1939","2393","496"
"publicpolygonfeature:5:59749","ZIP Code 78140","country:us/state:tx/zip:78140","78140","78","77","172","120","160","286","185","109","214","9"
"publicpolygonfeature:5:59752","ZIP Code 78143","country:us/state:tx/zip:78143","78143","0","0","0","0","0","14","0","0","0","0"
"publicpolygonfeature:5:59755","ZIP Code 78244","country:us/state:tx/zip:78244","78244","0","29","285","126","831","3058","1769","2852","3023","1060"
"publicpolygonfeature:5:59756","ZIP Code 78148","country:us/state:tx/zip:78148","78148","309","38","347","1201","2052","1748","1092","1674","512","68"
"publicpolygonfeature:5:59757","ZIP Code 78150","country:us/state:tx/zip:78150","78150","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59759","ZIP Code 78152","country:us/state:tx/zip:78152","78152","32","0","35","9","82","227","176","84","496","512"
"publicpolygonfeature:5:59761","ZIP Code 78154","country:us/state:tx/zip:78154","78154","36","180","490","695","1040","1302","2962","4488","4462","677"
"publicpolygonfeature:5:59763","ZIP Code 78213","country:us/state:tx/zip:78213","78213","135","434","6118","2761","1955","4536","739","1077","351","14"
"publicpolygonfeature:5:59765","ZIP Code 78155","country:us/state:tx/zip:78155","78155","780","877","1590","1454","2556","3188","3644","3412","3543","1644"
"publicpolygonfeature:5:59766","ZIP Code 78201","country:us/state:tx/zip:78201","78201","4062","4446","3149","2164","2246","876","335","584","449","105"
"publicpolygonfeature:5:59767","ZIP Code 78202","country:us/state:tx/zip:78202","78202","1399","779","737","532","241","145","145","417","814","199"
"publicpolygonfeature:5:59768","ZIP Code 78160","country:us/state:tx/zip:78160","78160","110","45","43","137","135","182","506","434","269","45"
"publicpolygonfeature:5:59769","ZIP Code 78161","country:us/state:tx/zip:78161","78161","0","0","0","0","10","0","95","37","35","37"
"publicpolygonfeature:5:59771","ZIP Code 78203","country:us/state:tx/zip:78203","78203","894","264","151","190","167","206","144","293","61","22"
"publicpolygonfeature:5:59772","ZIP Code 78204","country:us/state:tx/zip:78204","78204","1623","1061","741","438","175","149","160","369","1289","397"
"publicpolygonfeature:5:59773","ZIP Code 78163","country:us/state:tx/zip:78163","78163","31","20","0","50","502","852","1590","994","1747","1470"
"publicpolygonfeature:5:59776","ZIP Code 78214","country:us/state:tx/zip:78214","78214","1520","1697","1933","831","667","383","630","419","365","0"
"publicpolygonfeature:5:59777","ZIP Code 78215","country:us/state:tx/zip:78215","78215","141","34","151","24","49","119","105","107","2306","223"
"publicpolygonfeature:5:59778","ZIP Code 78216","country:us/state:tx/zip:78216","78216","152","298","2496","4386","3959","5899","2465","1809","563","0"
"publicpolygonfeature:5:59779","ZIP Code 78217","country:us/state:tx/zip:78217","78217","37","189","1044","2649","4315","4476","1286","1488","774","150"
"publicpolygonfeature:5:59780","ZIP Code 78218","country:us/state:tx/zip:78218","78218","34","15","2331","3280","2449","2230","1210","2060","2004","508"
"publicpolygonfeature:5:59784","ZIP Code 78222","country:us/state:tx/zip:78222","78222","36","204","621","679","1839","1358","1033","1387","1934","877"
"publicpolygonfeature:5:59785","ZIP Code 78223","country:us/state:tx/zip:78223","78223","973","1588","4636","2442","2688","1331","1164","3594","3258","1128"
