"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","37","45","478","401","167","478","498","249","0.9311250358516726","11814.896","598","268","271","122","127","0"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","1251","599","4248","3128","2177","1918","554","3487","0.8221180531037369","7442.9552","3325","1324","1999","1179","2308","0"
"publicpolygonfeature:5:41421","ZIP Code 28036","country:us/state:nc/zip:28036","28036","266","153","1613","1710","1073","5345","4755","1116","0.8987815396709975","10375.868","6992","911","2306","369","747","0"
"publicpolygonfeature:5:41422","ZIP Code 28054","country:us/state:nc/zip:28054","28054","1966","890","8550","7088","3515","4329","1876","6057","0.8501319354653494","17702.6036","6122","3243","4430","1769","4288","46"
"publicpolygonfeature:5:41423","ZIP Code 28037","country:us/state:nc/zip:28037","28037","555","243","4031","3899","2776","7298","2633","2374","0.8626506045652756","6297.3226","7538","1652","2653","1046","1328","0"
"publicpolygonfeature:5:41424","ZIP Code 28039","country:us/state:nc/zip:28039","28039","0","0","12","5","15","0","0","0","0","6440","5","0","0","0","0","0"
"publicpolygonfeature:5:41425","ZIP Code 28072","country:us/state:nc/zip:28072","28072","12","0","151","18","102","126","59","63","0.9223496318975799","4955.791","78","114","104","18","45","0"
"publicpolygonfeature:5:41429","ZIP Code 28075","country:us/state:nc/zip:28075","28075","507","165","2077","2320","1184","4922","2816","1458","0.8664730038416911","11781.5098","6014","1212","1950","551","907","0"
"publicpolygonfeature:5:41432","ZIP Code 28052","country:us/state:nc/zip:28052","28052","2518","1528","9000","4876","2162","2658","1305","4492","0.8472335370883582","10498.3328","4204","2757","3229","1707","2785","0"
"publicpolygonfeature:5:41433","ZIP Code 28056","country:us/state:nc/zip:28056","28056","1382","1032","6461","5088","2955","5680","2803","4452","0.920885873664816","9260.7107","8249","3057","3600","1679","2773","9"
"publicpolygonfeature:5:41434","ZIP Code 28071","country:us/state:nc/zip:28071","28071","256","170","835","626","449","337","210","801","0.5460265517798999","3445.4685","688","352","257","297","504","0"
"publicpolygonfeature:5:41435","ZIP Code 28078","country:us/state:nc/zip:28078","28078","954","776","7668","8160","4460","17755","10625","4249","0.9056040910857541","14447.8889","23512","3748","8216","1458","2791","50"
"publicpolygonfeature:5:41436","ZIP Code 28107","country:us/state:nc/zip:28107","28107","146","59","1933","1356","915","1958","624","1252","0.5970802468663197","6007.7683","2258","725","1277","821","431","42"
"publicpolygonfeature:5:41437","ZIP Code 28108","country:us/state:nc/zip:28108","28108","0","0","0","34","0","0","0","18","0.4407262992686126","4663.6667","0","0","0","18","0","0"
"publicpolygonfeature:5:41439","ZIP Code 28079","country:us/state:nc/zip:28079","28079","1045","760","6556","5237","3102","7479","3701","4353","0.8294088219544391","9940.2","10578","3053","4749","1855","2498","0"
"publicpolygonfeature:5:41440","ZIP Code 28080","country:us/state:nc/zip:28080","28080","402","305","1648","1485","446","992","126","1371","0.6141468458210985","4690.2126","1186","704","746","729","642","0"
"publicpolygonfeature:5:41442","ZIP Code 28086","country:us/state:nc/zip:28086","28086","1989","1007","7008","4040","2574","2342","1187","4748","0.7256634238321599","5571.2276","3959","1691","3317","1684","3064","28"
"publicpolygonfeature:5:41443","ZIP Code 28088","country:us/state:nc/zip:28088","28088","31","17","762","651","202","425","90","482","0.7457850386518089","6410","527","176","299","123","359","0"
"publicpolygonfeature:5:41447","ZIP Code 28144","country:us/state:nc/zip:28144","28144","1252","797","5722","3865","1455","3382","2202","2806","0.9062821644077912","12210.4918","4020","2336","1939","909","1897","2"
"publicpolygonfeature:5:41448","ZIP Code 28091","country:us/state:nc/zip:28091","28091","127","55","761","258","156","158","24","490","0.3386410356957883","2453.3129","196","131","121","183","307","0"
"publicpolygonfeature:5:41449","ZIP Code 28103","country:us/state:nc/zip:28103","28103","413","489","2124","1809","854","1277","611","1606","0.680002406715305","4286.433","2143","721","945","483","1123","0"
"publicpolygonfeature:5:41451","ZIP Code 28092","country:us/state:nc/zip:28092","28092","2490","1569","8800","5753","3384","3607","2171","6042","0.9123827123092507","6355.759","6029","2745","4101","2214","3828","3"
"publicpolygonfeature:5:41453","ZIP Code 28104","country:us/state:nc/zip:28104","28104","656","410","3291","4040","1624","9271","5101","2136","0.8669735838222439","10601.3722","11111","2017","3839","1029","1107","0"
"publicpolygonfeature:5:41454","ZIP Code 28105","country:us/state:nc/zip:28105","28105","1240","578","5675","5728","1859","11446","5929","3565","0.9147526801992809","21043.8053","12109","3582","5188","1597","1968","55"
"publicpolygonfeature:5:41455","ZIP Code 28110","country:us/state:nc/zip:28110","28110","2812","2224","10755","7913","3822","6663","2797","8300","0.7130075521319942","9610.4696","10412","3790","6012","4111","4189","0"
"publicpolygonfeature:5:41456","ZIP Code 28112","country:us/state:nc/zip:28112","28112","1729","1193","6252","4037","2061","3002","1316","4446","0.8753730456854396","8254.4104","4800","2164","2513","2115","2331","0"
"publicpolygonfeature:5:41458","ZIP Code 28119","country:us/state:nc/zip:28119","28119","329","15","691","302","191","64","19","332","0.8058284120746146","1851","138","184","307","141","191","0"
"publicpolygonfeature:5:41459","ZIP Code 28115","country:us/state:nc/zip:28115","28115","1166","597","7366","6154","2686","7666","3435","4549","0.7818590981709256","9230.7299","9441","2717","4819","1938","2611","36"
"publicpolygonfeature:5:41460","ZIP Code 28117","country:us/state:nc/zip:28117","28117","575","346","5722","5892","3191","12783","6776","4108","0.8901233090319128","10945.3023","12977","3236","5839","1539","2569","0"
"publicpolygonfeature:5:41462","ZIP Code 28120","country:us/state:nc/zip:28120","28120","1309","368","4442","3668","2182","4170","1930","2847","0.7374027545608843","9298.0967","5382","1710","2731","1138","1709","0"
"publicpolygonfeature:5:41463","ZIP Code 28124","country:us/state:nc/zip:28124","28124","322","71","1385","1148","721","674","448","763","0.9283656935989001","3806.6664","1297","463","800","280","483","21"
"publicpolygonfeature:5:41464","ZIP Code 28125","country:us/state:nc/zip:28125","28125","83","12","870","317","138","505","219","433","0.8117215340993241","4978.0911","535","201","229","180","253","0"
"publicpolygonfeature:5:41467","ZIP Code 28133","country:us/state:nc/zip:28133","28133","136","163","911","227","117","105","62","418","0.5536364715936024","2975.7757","200","157","183","211","207","0"
