"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:47593","ZIP Code 46062","country:us/state:in/zip:46062","46062","488","69","4645","4151","2549","9861","5843","2815","0.844863928428374","11786.1897","11803","2633","4741","800","2015","32"
"publicpolygonfeature:5:47594","ZIP Code 46063","country:us/state:in/zip:46063","46063","14","0","57","67","6","4","3","27","0.21667439854126963","4108","25","17","13","8","19","0"
"publicpolygonfeature:5:47595","ZIP Code 46064","country:us/state:in/zip:46064","46064","718","296","4038","2625","1582","2766","1165","2154","0.8983828166427494","6720.8015","3477","984","1527","1186","968","0"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","59","79","469","398","188","336","158","483","0.5618265921152511","3600.8392","439","126","226","250","233","0"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","241","64","2086","765","634","1388","338","981","0.8801465949123722","6654.8722","1619","705","632","455","526","0"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","79","68","491","381","138","188","50","342","0.722774141381227","2668.5711","240","104","244","153","189","2"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","130","46","689","491","201","418","234","614","0.7844173403744856","3382.2791","581","196","193","182","432","0"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","435","152","2714","1294","641","951","535","1147","0.8372234887060224","5265.0087","1626","777","781","182","965","0"
"publicpolygonfeature:5:47602","ZIP Code 46074","country:us/state:in/zip:46074","46074","825","311","5415","4305","1949","11680","7621","2847","0.9188283493680691","12634.5833","14497","3084","6195","1448","1399","0"
"publicpolygonfeature:5:47603","ZIP Code 46075","country:us/state:in/zip:46075","46075","162","70","983","913","566","2625","1083","643","0.4782638922851641","9883.1916","3208","706","1027","220","423","0"
"publicpolygonfeature:5:47604","ZIP Code 46076","country:us/state:in/zip:46076","46076","97","33","437","255","85","160","80","312","0.5617386137558672","2843.0745","218","75","216","42","270","0"
"publicpolygonfeature:5:47605","ZIP Code 46077","country:us/state:in/zip:46077","46077","131","179","2146","2428","1327","9166","8601","1852","0.9164231491388426","13780.0215","12540","1196","3076","862","990","0"
"publicpolygonfeature:5:47606","ZIP Code 46103","country:us/state:in/zip:46103","46103","19","1","136","47","21","34","7","97","0.2804121295603949","3026.2804","36","27","42","27","70","0"
"publicpolygonfeature:5:47610","ZIP Code 46106","country:us/state:in/zip:46106","46106","90","38","1321","1040","718","1884","1156","678","0.8854099240805224","6837.9578","2710","523","910","320","358","9"
"publicpolygonfeature:5:47611","ZIP Code 46107","country:us/state:in/zip:46107","46107","707","125","2665","2046","751","1647","498","1767","0.8805859342803536","24773.5702","2060","872","1452","641","1126","0"
"publicpolygonfeature:5:47612","ZIP Code 46110","country:us/state:in/zip:46110","46110","90","0","306","0","94","35","24","156","0.03813309052661102","5218.2431","97","18","21","32","124","0"
"publicpolygonfeature:5:47613","ZIP Code 46111","country:us/state:in/zip:46111","46111","18","0","134","102","16","30","0","138","0.3085619668397799","3861","30","22","61","21","117","0"
"publicpolygonfeature:5:47614","ZIP Code 46118","country:us/state:in/zip:46118","46118","193","59","1273","679","377","528","115","855","0.6869733675439409","5495.7385","865","374","393","340","515","0"
"publicpolygonfeature:5:47615","ZIP Code 46112","country:us/state:in/zip:46112","46112","814","309","5847","4873","2807","9097","4931","3730","0.8603632998896845","13685.5117","12229","3004","4493","1333","2397","0"
"publicpolygonfeature:5:47616","ZIP Code 46113","country:us/state:in/zip:46113","46113","513","189","3814","2699","1246","1993","607","3074","0.7365087676652529","10348.6347","2878","1014","2148","873","2201","34"
"publicpolygonfeature:5:47618","ZIP Code 46117","country:us/state:in/zip:46117","46117","0","0","190","37","38","113","24","96","0.21770765982115836","4147.1479","138","0","20","58","38","0"
"publicpolygonfeature:5:47619","ZIP Code 46280","country:us/state:in/zip:46280","46280","70","26","811","909","377","2215","1344","604","0.744087952659351","43796.9296","2623","675","824","328","276","0"
"publicpolygonfeature:5:47621","ZIP Code 46124","country:us/state:in/zip:46124","46124","466","160","2215","1016","580","580","219","866","0.756552373743939","4869.374","1258","681","669","222","644","0"
"publicpolygonfeature:5:47622","ZIP Code 46121","country:us/state:in/zip:46121","46121","143","106","1071","1114","377","666","216","953","0.6127630289444317","3114.1892","1171","334","369","312","641","0"
"publicpolygonfeature:5:47623","ZIP Code 46122","country:us/state:in/zip:46122","46122","270","154","3486","2821","734","2593","1681","2250","0.8079280192887156","9262.7538","3794","1471","1733","812","1438","0"
"publicpolygonfeature:5:47624","ZIP Code 46123","country:us/state:in/zip:46123","46123","1271","312","7125","6047","2718","7830","3944","4438","0.92678650637126","14430.6518","12079","2650","4407","1156","3282","0"
"publicpolygonfeature:5:47625","ZIP Code 46125","country:us/state:in/zip:46125","46125","0","0","0","3","0","3","0","0","0","2793","3","0","0","0","0","0"
"publicpolygonfeature:5:47626","ZIP Code 46290","country:us/state:in/zip:46290","46290","19","0","16","0","0","12","34","10","0.6976930401541409","43589","12","0","16","0","10","0"
"publicpolygonfeature:5:47627","ZIP Code 46126","country:us/state:in/zip:46126","46126","267","34","817","673","323","563","112","540","0.563221156926563","5681.2271","872","278","281","186","354","0"
"publicpolygonfeature:5:47630","ZIP Code 46142","country:us/state:in/zip:46142","46142","834","573","7152","4443","1762","5625","4081","3884","0.8680469251114145","18483.5142","8497","2232","3894","1606","2278","0"
"publicpolygonfeature:5:47631","ZIP Code 46130","country:us/state:in/zip:46130","46130","101","22","400","316","109","411","162","344","0.6986155623667375","4770.1122","485","205","228","161","183","0"
"publicpolygonfeature:5:47632","ZIP Code 46131","country:us/state:in/zip:46131","46131","1458","652","7435","4562","2581","3972","2208","4039","0.9011096018249088","9113.6699","6998","2469","3147","1515","2524","32"
"publicpolygonfeature:5:47634","ZIP Code 46149","country:us/state:in/zip:46149","46149","0","50","546","220","88","320","31","166","0.7411698480145704","3671","358","256","145","98","68","0"
"publicpolygonfeature:5:47638","ZIP Code 46140","country:us/state:in/zip:46140","46140","1339","651","10098","7440","2690","5828","3058","6234","0.8370655449732696","11847.3223","8826","3253","4883","2868","3366","29"
"publicpolygonfeature:5:47639","ZIP Code 46143","country:us/state:in/zip:46143","46143","2042","1583","10000","7984","3520","9354","6530","6792","0.783647615879775","14964.0263","14959","3380","6439","2615","4177","23"
"publicpolygonfeature:5:47640","ZIP Code 46144","country:us/state:in/zip:46144","46144","0","0","85","30","17","28","0","53","0","4711","32","0","25","0","53","0"
"publicpolygonfeature:5:47642","ZIP Code 46147","country:us/state:in/zip:46147","46147","90","35","617","444","110","240","217","335","0.3548203284041033","5763.1152","490","254","127","136","199","0"
"publicpolygonfeature:5:47644","ZIP Code 46157","country:us/state:in/zip:46157","46157","170","13","1075","528","500","421","202","705","0.8308721463047917","3541.022","696","310","460","388","317","0"
"publicpolygonfeature:5:47645","ZIP Code 46158","country:us/state:in/zip:46158","46158","1182","338","6734","3537","1815","2954","1237","3752","0.8773436185443256","7944.0526","4004","1281","2241","1407","2345","0"
"publicpolygonfeature:5:47647","ZIP Code 46160","country:us/state:in/zip:46160","46160","317","57","1983","1026","544","459","358","1152","0.5934606090623857","3622.7074","1014","366","558","554","598","0"
"publicpolygonfeature:5:47648","ZIP Code 46161","country:us/state:in/zip:46161","46161","71","54","700","325","184","378","15","357","0.5991684841772793","4662.49","428","179","318","124","233","0"
"publicpolygonfeature:5:47649","ZIP Code 46162","country:us/state:in/zip:46162","46162","24","0","47","27","0","73","0","23","0.5073093649624542","8345.3729","96","24","0","23","0","0"
"publicpolygonfeature:5:47650","ZIP Code 46163","country:us/state:in/zip:46163","46163","246","75","2233","1821","915","2831","1690","1183","0.9577146207256073","7628.8471","3902","1030","1458","456","727","11"
"publicpolygonfeature:5:47651","ZIP Code 46164","country:us/state:in/zip:46164","46164","191","49","1027","649","290","504","259","651","0.7693307944658928","3400.5094","720","391","433","244","407","0"
