"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:41412","ZIP Code 28021","country:us/state:nc/zip:28021","28021","5017","583","62","0","62","583","21","2236","337","0","41","0","0","1","75","0","0","415","75","1","246","1","0","60","5017","2781","15"
"publicpolygonfeature:5:41413","ZIP Code 28023","country:us/state:nc/zip:28023","28023","5663","764","85","0","85","764","39","2596","436","0","46","0","0","0","50","0","0","605","50","0","328","0","0","29","5663","3067","21"
"publicpolygonfeature:5:41414","ZIP Code 28025","country:us/state:nc/zip:28025","28025","20910","2725","285","0","285","2725","57","10118","1411","26","228","0","0","26","304","32","0","3861","272","26","1314","0","0","135","20910","10792","169"
"publicpolygonfeature:5:41415","ZIP Code 28033","country:us/state:nc/zip:28033","28033","1364","175","0","0","0","175","0","436","82","0","0","0","0","0","32","0","0","35","32","0","93","0","0","0","1364","928","32"
"publicpolygonfeature:5:41417","ZIP Code 28027","country:us/state:nc/zip:28027","28027","29803","3093","454","0","454","3093","307","13447","1534","42","147","0","0","128","804","260","0","7040","544","128","1559","86","0","397","29803","16356","407"
"publicpolygonfeature:5:41418","ZIP Code 28031","country:us/state:nc/zip:28031","28031","10098","859","186","70","186","859","96","4755","425","22","90","0","70","145","114","17","70","4528","97","145","434","123","0","82","10098","5343","32"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","1101","113","16","0","16","113","1","549","80","0","15","0","0","0","0","0","0","137","0","0","33","0","0","0","1101","552","0"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","8132","813","145","0","145","813","80","3912","315","1","65","0","0","1","104","16","0","752","88","1","498","0","0","82","8132","4220","22"
"publicpolygonfeature:5:41421","ZIP Code 28036","country:us/state:nc/zip:28036","28036","6681","416","546","123","546","416","203","2893","222","88","343","0","54","154","65","0","123","3225","65","154","194","66","69","43","6681","3788","22"
"publicpolygonfeature:5:41422","ZIP Code 28054","country:us/state:nc/zip:28054","28054","15417","1761","35","0","35","1761","14","7359","1015","71","21","0","0","221","243","64","0","1917","179","221","746","150","0","141","15417","8058","102"
"publicpolygonfeature:5:41423","ZIP Code 28037","country:us/state:nc/zip:28037","28037","9372","675","88","0","88","675","78","3918","294","0","10","59","0","0","106","0","0","3401","47","0","381","0","0","56","9372","5454","50"
"publicpolygonfeature:5:41424","ZIP Code 28039","country:us/state:nc/zip:28039","28039","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0"
"publicpolygonfeature:5:41425","ZIP Code 28072","country:us/state:nc/zip:28072","28072","298","33","0","0","0","33","0","170","22","3","0","0","0","3","2","0","0","0","2","3","11","0","0","2","298","128","0"
"publicpolygonfeature:5:41429","ZIP Code 28075","country:us/state:nc/zip:28075","28075","6377","381","56","0","56","381","44","3346","52","40","12","13","0","297","149","0","0","3082","136","297","329","257","0","111","6377","3031","38"
"publicpolygonfeature:5:41432","ZIP Code 28052","country:us/state:nc/zip:28052","28052","10829","1645","220","0","220","1645","62","4996","885","46","158","2","0","111","53","28","0","1436","23","111","760","65","0","43","10829","5833","10"
"publicpolygonfeature:5:41433","ZIP Code 28056","country:us/state:nc/zip:28056","28056","14754","1544","123","0","123","1544","101","6659","662","4","22","73","0","4","143","20","0","2538","50","4","882","0","0","74","14754","8095","69"
"publicpolygonfeature:5:41434","ZIP Code 28071","country:us/state:nc/zip:28071","28071","1754","183","0","0","0","183","0","527","45","0","0","0","0","0","0","0","0","158","0","0","138","0","0","0","1754","1227","0"
"publicpolygonfeature:5:41435","ZIP Code 28078","country:us/state:nc/zip:28078","28078","25031","1799","129","0","129","1799","88","11744","1093","130","41","13","0","518","397","27","0","11017","357","518","706","388","0","269","25031","13287","128"
"publicpolygonfeature:5:41436","ZIP Code 28107","country:us/state:nc/zip:28107","28107","3756","495","30","0","30","495","30","1632","165","29","0","0","0","29","70","0","0","1023","70","29","330","0","0","70","3756","2124","0"
"publicpolygonfeature:5:41437","ZIP Code 28108","country:us/state:nc/zip:28108","28108","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","18","0"
"publicpolygonfeature:5:41439","ZIP Code 28079","country:us/state:nc/zip:28079","28079","16510","1410","53","16","53","1410","34","7644","625","18","19","8","0","92","357","75","16","3915","274","92","785","74","16","177","16510","8866","180"
"publicpolygonfeature:5:41440","ZIP Code 28080","country:us/state:nc/zip:28080","28080","2883","350","0","0","0","350","0","1474","124","0","0","0","0","0","183","0","0","584","183","0","226","0","0","161","2883","1409","22"
"publicpolygonfeature:5:41442","ZIP Code 28086","country:us/state:nc/zip:28086","28086","11035","1279","205","0","205","1279","177","5199","549","0","28","0","0","2","112","0","0","919","112","2","730","2","0","69","11035","5836","43"
"publicpolygonfeature:5:41443","ZIP Code 28088","country:us/state:nc/zip:28088","28088","1037","70","0","0","0","70","0","529","70","0","0","0","0","0","58","0","0","189","58","0","0","0","0","58","1037","508","0"
"publicpolygonfeature:5:41447","ZIP Code 28144","country:us/state:nc/zip:28144","28144","7800","1294","243","100","243","1294","152","4365","563","0","91","0","57","92","260","137","100","903","123","92","731","92","43","164","7800","3435","96"
"publicpolygonfeature:5:41448","ZIP Code 28091","country:us/state:nc/zip:28091","28091","687","133","0","2","0","133","0","323","29","0","0","0","2","0","19","0","2","77","19","0","104","0","0","19","687","364","0"
"publicpolygonfeature:5:41449","ZIP Code 28103","country:us/state:nc/zip:28103","28103","4171","699","6","0","6","699","0","1931","299","0","6","0","0","0","11","0","0","485","11","0","400","0","0","11","4171","2240","0"
"publicpolygonfeature:5:41451","ZIP Code 28092","country:us/state:nc/zip:28092","28092","14660","1828","287","0","287","1828","250","6943","669","0","37","32","0","0","257","0","0","1398","225","0","1159","0","0","189","14660","7717","68"
"publicpolygonfeature:5:41453","ZIP Code 28104","country:us/state:nc/zip:28104","28104","12330","1092","102","0","102","1092","82","5553","421","0","20","9","0","21","98","0","0","4989","89","21","671","21","0","34","12330","6777","64"
"publicpolygonfeature:5:41454","ZIP Code 28105","country:us/state:nc/zip:28105","28105","16373","2509","242","7","242","2509","54","7568","1003","51","188","18","5","107","336","32","7","4512","286","107","1506","56","2","262","16373","8805","74"
"publicpolygonfeature:5:41455","ZIP Code 28110","country:us/state:nc/zip:28110","28110","20803","2970","134","0","134","2970","78","8827","1268","0","56","76","0","1","341","0","0","3799","265","1","1702","1","0","211","20803","11976","130"
"publicpolygonfeature:5:41456","ZIP Code 28112","country:us/state:nc/zip:28112","28112","10172","1945","186","14","186","1945","30","4458","991","0","156","15","0","0","163","43","14","1268","105","0","954","0","14","119","10172","5714","44"
"publicpolygonfeature:5:41458","ZIP Code 28119","country:us/state:nc/zip:28119","28119","734","150","0","0","0","150","0","369","24","0","0","0","0","0","0","0","0","33","0","0","126","0","0","0","734","365","0"
"publicpolygonfeature:5:41459","ZIP Code 28115","country:us/state:nc/zip:28115","28115","15246","1682","116","33","116","1682","90","6757","702","22","26","30","0","41","386","40","33","3817","316","41","980","19","33","225","15246","8489","161"
"publicpolygonfeature:5:41460","ZIP Code 28117","country:us/state:nc/zip:28117","28117","17662","1343","248","0","248","1343","147","7567","648","34","101","71","0","126","410","27","0","5824","312","126","695","92","0","297","17662","10095","113"
"publicpolygonfeature:5:41462","ZIP Code 28120","country:us/state:nc/zip:28120","28120","8970","926","80","0","80","926","65","4067","638","0","15","5","0","0","242","0","0","2087","237","0","288","0","0","108","8970","4903","134"
