"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:42725","ZIP Code 33503","country:us/state:fl/zip:33503","33503","375","0","0","0","0","0","0","206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","375","169","0"
"publicpolygonfeature:5:42730","ZIP Code 33510","country:us/state:fl/zip:33510","33510","11964","706","110","49","110","706","20","5760","408","50","90","0","0","50","385","142","49","2144","243","50","298","0","49","172","11964","6204","213"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","2806","285","33","18","33","285","33","1073","184","0","0","0","18","0","57","0","18","778","57","0","101","0","0","6","2806","1733","51"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","5933","692","146","20","146","692","128","2669","286","20","18","0","20","22","113","0","20","1435","113","22","406","2","0","7","5933","3264","106"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","6391","843","61","0","61","843","21","3379","380","0","40","26","0","1","222","44","0","1054","152","1","463","1","0","71","6391","3012","151"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","11537","1936","115","8","115","1936","65","5079","951","14","50","46","8","27","410","103","8","5986","261","27","985","13","0","196","11537","6458","214"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","9852","1918","227","26","227","1918","183","4956","1151","0","44","0","26","0","127","14","26","3288","113","0","767","0","0","106","9852","4896","21"
"publicpolygonfeature:5:42833","ZIP Code 33545","country:us/state:fl/zip:33545","33545","10007","1925","131","172","131","1925","73","4076","1183","0","58","0","43","0","305","138","172","4455","167","0","742","0","129","190","10007","5931","115"
"publicpolygonfeature:5:42913","ZIP Code 33810","country:us/state:fl/zip:33810","33810","17821","2342","241","36","241","2342","179","8303","1062","136","62","0","0","179","572","88","36","2893","484","179","1280","43","36","211","17821","9518","361"
"publicpolygonfeature:5:43513","ZIP Code 33556","country:us/state:fl/zip:33556","33556","10500","1144","91","0","91","1144","56","4685","638","0","35","9","0","0","189","0","0","5486","180","0","506","0","0","48","10500","5815","141"
