"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","14838","2390","251","77","251","2390","182","7583","1086","0","69","51","48","41","406","95","77","4175","260","41","1304","41","29","340","14838","7255","66"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","15448","995","268","0","268","995","28","6282","506","0","240","0","0","0","160","0","0","4894","160","0","489","0","0","49","15448","9166","111"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","23581","1280","199","64","199","1280","94","10311","436","0","105","48","0","0","278","0","64","11157","230","0","844","0","64","148","23581","13270","130"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","2921","218","12","0","12","218","12","1535","108","0","0","0","0","0","66","0","0","1170","66","0","110","0","0","0","2921","1386","66"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","10303","3033","279","92","279","3033","45","4877","1460","41","234","27","0","209","539","0","92","2234","512","209","1573","168","92","317","10303","5426","222"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","1852","475","1","0","1","475","0","893","147","4","1","0","0","4","0","0","0","199","0","4","328","0","0","0","1852","959","0"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","9423","993","29","185","29","993","29","4333","471","2","0","0","95","10","339","157","185","3125","182","10","522","8","90","156","9423","5090","183"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","1742","19","71","0","71","19","14","780","19","0","57","49","0","0","49","0","0","136","0","0","0","0","0","49","1742","962","0"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","5456","561","42","0","42","561","33","2452","172","0","9","8","0","0","57","0","0","780","49","0","389","0","0","37","5456","3004","20"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","1318","163","59","0","59","163","38","590","61","0","21","0","0","0","19","0","0","476","19","0","102","0","0","0","1318","728","19"
