"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:47582","ZIP Code 46278","country:us/state:in/zip:46278","46278","3332","173","41","0","41","173","41","1683","88","0","0","0","0","0","0","0","0","876","0","0","85","0","0","0","3332","1649","0"
"publicpolygonfeature:5:47583","ZIP Code 46050","country:us/state:in/zip:46050","46050","770","65","2","0","2","65","2","388","40","0","0","0","0","0","4","0","0","44","4","0","25","0","0","0","770","382","4"
"publicpolygonfeature:5:47584","ZIP Code 46051","country:us/state:in/zip:46051","46051","1183","50","46","0","46","50","0","578","34","0","46","0","0","7","7","0","0","243","7","7","16","7","0","0","1183","605","7"
"publicpolygonfeature:5:47585","ZIP Code 46052","country:us/state:in/zip:46052","46052","9489","1058","33","0","33","1058","28","4442","469","10","5","0","0","10","77","0","0","1572","77","10","589","0","0","77","9489","5047","0"
"publicpolygonfeature:5:47587","ZIP Code 46055","country:us/state:in/zip:46055","46055","6095","542","202","0","202","542","0","2730","428","0","202","0","0","0","111","0","0","1791","111","0","114","0","0","32","6095","3365","79"
"publicpolygonfeature:5:47588","ZIP Code 46056","country:us/state:in/zip:46056","46056","794","125","4","0","4","125","2","319","69","0","2","0","0","0","2","0","0","96","2","0","56","0","0","0","794","475","2"
"publicpolygonfeature:5:47591","ZIP Code 46060","country:us/state:in/zip:46060","46060","17850","1836","302","0","302","1836","191","8074","901","0","111","38","0","0","90","0","0","4811","52","0","935","0","0","27","17850","9776","63"
"publicpolygonfeature:5:47593","ZIP Code 46062","country:us/state:in/zip:46062","46062","16267","1518","63","23","63","1518","24","7654","863","16","39","0","0","16","124","0","23","3828","124","16","655","0","23","85","16267","8613","39"
"publicpolygonfeature:5:47594","ZIP Code 46063","country:us/state:in/zip:46063","46063","55","17","0","0","0","17","0","25","6","0","0","0","0","0","0","0","0","7","0","0","11","0","0","0","55","30","0"
"publicpolygonfeature:5:47595","ZIP Code 46064","country:us/state:in/zip:46064","46064","5688","405","113","0","113","405","34","2557","163","7","79","0","0","7","52","0","0","1704","52","7","242","0","0","20","5688","3131","32"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","1076","131","27","0","27","131","14","420","78","0","13","0","0","2","0","0","0","31","0","2","53","2","0","0","1076","656","0"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","2836","634","41","0","41","634","41","1227","297","0","0","0","0","11","39","0","0","373","39","11","337","11","0","17","2836","1609","22"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","771","60","4","0","4","60","0","391","31","0","4","0","0","0","2","0","0","86","2","0","29","0","0","2","771","380","0"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","1057","97","33","44","33","97","15","499","74","0","18","0","0","2","7","0","44","340","7","2","23","2","44","7","1057","558","0"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","3109","444","77","93","77","444","70","1356","108","0","7","0","93","14","22","0","93","370","22","14","336","14","0","22","3109","1753","0"
"publicpolygonfeature:5:47602","ZIP Code 46074","country:us/state:in/zip:46074","46074","17250","1966","177","94","177","1966","22","7864","1004","0","155","0","17","0","303","47","94","6472","256","0","962","0","77","192","17250","9386","111"
"publicpolygonfeature:5:47603","ZIP Code 46075","country:us/state:in/zip:46075","46075","4035","355","11","0","11","355","11","1995","106","0","0","0","0","0","83","0","0","1100","83","0","249","0","0","36","4035","2040","47"
"publicpolygonfeature:5:47604","ZIP Code 46076","country:us/state:in/zip:46076","46076","698","33","16","0","16","33","2","421","18","0","14","0","0","0","13","9","0","43","4","0","15","0","0","11","698","277","2"
"publicpolygonfeature:5:47605","ZIP Code 46077","country:us/state:in/zip:46077","46077","12560","655","157","0","157","655","72","5342","455","0","85","0","0","0","182","0","0","4861","182","0","200","0","0","53","12560","7218","129"
"publicpolygonfeature:5:47606","ZIP Code 46103","country:us/state:in/zip:46103","46103","154","41","0","0","0","41","0","80","3","0","0","0","0","0","2","0","0","5","2","0","38","0","0","1","154","74","1"
"publicpolygonfeature:5:47610","ZIP Code 46106","country:us/state:in/zip:46106","46106","3333","251","0","0","0","251","0","1332","149","0","0","0","0","0","19","0","0","1179","19","0","102","0","0","0","3333","2001","19"
"publicpolygonfeature:5:47611","ZIP Code 46107","country:us/state:in/zip:46107","46107","4961","524","28","0","28","524","16","2359","294","0","12","0","0","0","77","16","0","507","61","0","230","0","0","61","4961","2602","16"
"publicpolygonfeature:5:47612","ZIP Code 46110","country:us/state:in/zip:46110","46110","201","0","0","0","0","0","0","59","0","0","0","0","0","0","0","0","0","91","0","0","0","0","0","0","201","142","0"
"publicpolygonfeature:5:47613","ZIP Code 46111","country:us/state:in/zip:46111","46111","240","0","0","0","0","0","0","109","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","240","131","0"
"publicpolygonfeature:5:47614","ZIP Code 46118","country:us/state:in/zip:46118","46118","1681","246","0","0","0","246","0","764","75","0","0","0","0","0","167","0","0","323","167","0","171","0","0","7","1681","917","160"
"publicpolygonfeature:5:47615","ZIP Code 46112","country:us/state:in/zip:46112","46112","17443","1572","104","0","104","1572","65","8497","919","0","39","0","0","0","122","0","0","3791","122","0","653","0","0","22","17443","8946","100"
"publicpolygonfeature:5:47616","ZIP Code 46113","country:us/state:in/zip:46113","46113","6877","1260","8","0","8","1260","0","2968","764","0","8","0","0","0","0","0","0","952","0","0","496","0","0","0","6877","3909","0"
"publicpolygonfeature:5:47618","ZIP Code 46117","country:us/state:in/zip:46117","46117","204","18","0","0","0","18","0","83","0","0","0","0","0","0","24","0","0","8","24","0","18","0","0","0","204","121","24"
"publicpolygonfeature:5:47619","ZIP Code 46280","country:us/state:in/zip:46280","46280","3139","173","30","0","30","173","0","1546","92","0","30","0","0","0","20","20","0","1319","0","0","81","0","0","0","3139","1593","20"
"publicpolygonfeature:5:47621","ZIP Code 46124","country:us/state:in/zip:46124","46124","2562","360","71","15","71","360","58","1181","256","0","13","0","15","0","102","0","15","313","102","0","104","0","0","78","2562","1381","24"
"publicpolygonfeature:5:47622","ZIP Code 46121","country:us/state:in/zip:46121","46121","2351","169","0","0","0","169","0","969","71","0","0","0","0","0","11","0","0","282","11","0","98","0","0","11","2351","1382","0"
"publicpolygonfeature:5:47623","ZIP Code 46122","country:us/state:in/zip:46122","46122","7319","740","29","20","29","740","29","2993","416","0","0","0","0","10","32","0","20","1115","32","10","324","10","20","18","7319","4326","14"
"publicpolygonfeature:5:47624","ZIP Code 46123","country:us/state:in/zip:46123","46123","17715","1633","223","0","223","1633","130","8366","1007","0","93","0","0","15","43","4","0","3748","39","15","626","15","0","39","17715","9349","4"
"publicpolygonfeature:5:47625","ZIP Code 46125","country:us/state:in/zip:46125","46125","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"publicpolygonfeature:5:47626","ZIP Code 46290","country:us/state:in/zip:46290","46290","38","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","10","0"
"publicpolygonfeature:5:47627","ZIP Code 46126","country:us/state:in/zip:46126","46126","1497","128","2","0","2","128","2","705","88","0","0","0","0","0","2","0","0","294","2","0","40","0","0","0","1497","792","2"
"publicpolygonfeature:5:47630","ZIP Code 46142","country:us/state:in/zip:46142","46142","14093","1365","136","0","136","1365","92","6156","748","1","44","49","0","1","313","25","0","2458","239","1","617","0","0","91","14093","7937","222"
"publicpolygonfeature:5:47631","ZIP Code 46130","country:us/state:in/zip:46130","46130","1125","42","8","0","8","42","8","488","31","0","0","0","0","0","0","0","0","78","0","0","11","0","0","0","1125","637","0"
"publicpolygonfeature:5:47632","ZIP Code 46131","country:us/state:in/zip:46131","46131","12944","1324","129","38","129","1324","36","6071","820","30","93","0","0","31","100","0","38","1956","100","31","504","1","38","58","12944","6873","42"
