"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","773","226","288","225","98","0","0","59","92","0","130","43","150","170","227","286","149","549","600","0","1624","353","818","815","433"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","6","0","13","0","0","0","0","21","0","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","1478","662","1498","347","71","24","102","333","270","363","246","49","272","249","555","614","323","1223","966","56","1035","777","1013","535","294"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","2674","1055","1345","350","99","125","79","390","277","500","116","37","212","191","351","373","24","1799","515","131","718","805","434","609","371"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","179","0","0","0","0","0","0","14","0","0","0","10","0","0","45","129","25","19","0","0","104","88","109","62","164"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","161","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","8","0","0","18","0","44","0"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","1215","443","404","195","17","33","90","143","37","117","0","81","54","110","149","80","40","439","119","0","202","212","197","136","106"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","2144","609","1186","963","164","0","0","540","318","160","52","17","96","341","321","314","76","1716","1466","0","764","932","633","898","218"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","204","34","10","51","14","35","0","17","8","3","93","0","13","58","80","25","0","15","53","0","72","28","49","0","0"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","2427","1299","1386","674","185","56","52","797","597","255","463","164","553","620","1383","559","179","2162","1463","13","3657","1269","1468","1047","1078"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","3343","1095","2918","887","332","187","37","460","717","438","290","185","124","531","838","383","227","1965","1412","4","861","632","557","607","607"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","5959","2193","3938","1819","173","179","144","680","665","366","249","169","413","222","1449","350","197","2878","1681","125","1933","1214","555","1601","813"
"publicpolygonfeature:5:59984","ZIP Code 78642","country:us/state:tx/zip:78642","78642","1463","333","676","467","18","31","6","113","53","58","22","33","78","221","210","221","47","452","335","0","963","421","339","168","416"
"publicpolygonfeature:5:59987","ZIP Code 78644","country:us/state:tx/zip:78644","78644","732","289","84","64","17","28","0","118","139","6","0","45","67","120","107","138","20","222","453","64","879","389","384","241","312"
"publicpolygonfeature:5:59988","ZIP Code 78645","country:us/state:tx/zip:78645","78645","1044","374","227","158","36","5","11","105","30","36","0","34","152","32","59","30","103","297","191","10","249","387","60","88","38"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","129","129","32","3","21","0","0","0","0","0","0","71","158","28","39","89","0","66","33","33","115","158","193","246","161"
"publicpolygonfeature:5:59991","ZIP Code 78650","country:us/state:tx/zip:78650","78650","94","12","0","8","11","13","3","0","6","0","0","0","4","0","12","26","4","34","4","7","127","85","29","28","4"
"publicpolygonfeature:5:59992","ZIP Code 78652","country:us/state:tx/zip:78652","78652","380","30","73","18","61","0","52","74","39","33","0","0","0","0","65","48","23","335","134","0","26","51","20","106","0"
"publicpolygonfeature:5:59993","ZIP Code 78653","country:us/state:tx/zip:78653","78653","1470","459","1252","505","62","63","62","187","185","55","111","38","223","252","342","104","223","719","580","130","1426","811","787","712","271"
"publicpolygonfeature:5:59995","ZIP Code 78654","country:us/state:tx/zip:78654","78654","864","201","184","125","21","73","0","40","114","124","17","13","39","109","144","284","105","525","71","35","1077","451","277","229","261"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","64","13","0","8","0","2","0","19","24","0","2","0","12","39","38","96","51","80","31","24","143","45","58","79","26"
"publicpolygonfeature:5:59997","ZIP Code 78660","country:us/state:tx/zip:78660","78660","4870","3041","4711","2399","271","278","247","427","810","359","365","258","274","331","1017","938","313","3403","2312","7","2000","1778","2222","2476","1423"
"publicpolygonfeature:5:59998","ZIP Code 78661","country:us/state:tx/zip:78661","78661","0","25","0","0","0","0","0","0","0","0","0","0","0","0","15","10","0","0","0","18","4","22","51","18","27"
"publicpolygonfeature:5:59999","ZIP Code 78662","country:us/state:tx/zip:78662","78662","123","0","0","10","0","0","0","0","68","0","0","0","18","15","99","97","0","80","60","0","172","104","25","142","11"
"publicpolygonfeature:5:60002","ZIP Code 78664","country:us/state:tx/zip:78664","78664","2401","1064","2454","891","154","313","28","294","400","211","213","231","288","228","885","493","211","1705","1232","12","1273","1078","1156","818","688"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","1566","1120","735","479","276","224","100","1230","492","182","224","126","629","381","2066","931","245","2858","1903","55","2189","1187","1292","1754","1805"
"publicpolygonfeature:5:60004","ZIP Code 78669","country:us/state:tx/zip:78669","78669","740","308","176","168","20","94","53","47","62","54","20","0","28","11","133","31","80","453","150","0","242","46","11","70","114"
"publicpolygonfeature:5:60005","ZIP Code 78676","country:us/state:tx/zip:78676","78676","468","171","140","144","45","12","97","353","128","112","0","19","124","4","105","177","54","342","434","32","286","232","169","83","275"
"publicpolygonfeature:5:60007","ZIP Code 78681","country:us/state:tx/zip:78681","78681","3155","876","2928","1130","152","92","75","420","179","282","96","17","215","147","767","103","118","2021","922","0","898","753","389","468","733"
"publicpolygonfeature:5:60008","ZIP Code 78717","country:us/state:tx/zip:78717","78717","2185","1111","2769","1083","65","53","31","315","322","258","244","20","227","42","334","75","38","1061","690","0","348","151","144","367","249"
"publicpolygonfeature:5:60009","ZIP Code 78719","country:us/state:tx/zip:78719","78719","60","0","27","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","6","0","153","92","92","70","10"
"publicpolygonfeature:5:60010","ZIP Code 78721","country:us/state:tx/zip:78721","78721","437","237","336","209","14","50","48","62","332","81","40","155","0","28","136","48","42","142","63","29","323","68","24","66","89"
"publicpolygonfeature:5:60011","ZIP Code 78722","country:us/state:tx/zip:78722","78722","502","255","506","106","32","12","38","222","197","17","0","22","4","0","49","12","7","150","97","0","29","102","20","0","0"
"publicpolygonfeature:5:60012","ZIP Code 78723","country:us/state:tx/zip:78723","78723","1576","891","1198","256","238","66","257","761","407","254","137","169","224","48","399","392","148","960","835","0","1008","246","254","434","228"
"publicpolygonfeature:5:60013","ZIP Code 78724","country:us/state:tx/zip:78724","78724","865","653","375","355","100","200","67","127","145","121","0","271","162","130","493","243","49","950","419","0","1376","199","286","272","296"
"publicpolygonfeature:5:60014","ZIP Code 78725","country:us/state:tx/zip:78725","78725","304","226","170","197","45","60","27","129","24","13","11","0","0","0","101","366","0","495","367","0","462","88","252","178","91"
"publicpolygonfeature:5:60015","ZIP Code 78726","country:us/state:tx/zip:78726","78726","766","680","420","348","60","0","6","106","217","114","83","23","182","0","315","53","9","389","350","0","47","146","52","73","209"
"publicpolygonfeature:5:60016","ZIP Code 78727","country:us/state:tx/zip:78727","78727","1114","891","2515","687","191","17","97","297","212","223","70","24","70","7","324","225","100","886","444","9","379","349","389","230","89"
"publicpolygonfeature:5:60017","ZIP Code 78728","country:us/state:tx/zip:78728","78728","1312","696","1265","669","68","40","50","152","116","65","31","49","147","60","233","63","14","738","652","0","418","270","331","707","409"
"publicpolygonfeature:5:60018","ZIP Code 78729","country:us/state:tx/zip:78729","78729","1452","839","1550","764","173","159","168","352","248","153","108","138","62","32","749","165","95","1041","643","0","142","348","237","581","241"
"publicpolygonfeature:5:60019","ZIP Code 78730","country:us/state:tx/zip:78730","78730","983","428","235","245","33","28","115","124","87","22","0","0","0","0","93","0","0","191","82","26","110","74","16","0","16"
"publicpolygonfeature:5:60020","ZIP Code 78731","country:us/state:tx/zip:78731","78731","1564","674","1388","827","162","41","506","442","327","227","41","0","65","0","319","204","19","719","238","0","133","85","137","139","73"
"publicpolygonfeature:5:60021","ZIP Code 78732","country:us/state:tx/zip:78732","78732","1777","538","635","197","14","12","26","15","310","334","0","0","187","0","171","0","57","778","340","0","116","170","73","95","36"
"publicpolygonfeature:5:60022","ZIP Code 78733","country:us/state:tx/zip:78733","78733","843","159","129","224","16","0","66","96","85","88","75","0","17","0","137","29","0","220","31","0","87","66","18","68","70"
"publicpolygonfeature:5:60023","ZIP Code 78734","country:us/state:tx/zip:78734","78734","1437","484","695","296","91","29","95","73","126","159","107","0","16","82","53","463","28","780","287","0","203","295","144","188","40"
"publicpolygonfeature:5:60024","ZIP Code 78746","country:us/state:tx/zip:78746","78746","2233","620","939","486","92","83","378","228","188","465","87","27","44","0","95","133","74","968","207","0","121","56","201","50","26"
"publicpolygonfeature:5:60025","ZIP Code 78735","country:us/state:tx/zip:78735","78735","1344","593","1154","386","128","56","129","128","164","239","139","110","47","16","125","156","28","699","318","0","80","92","114","146","20"
"publicpolygonfeature:5:60026","ZIP Code 78736","country:us/state:tx/zip:78736","78736","715","249","400","270","11","116","68","17","0","0","0","31","144","0","12","0","0","457","99","0","114","101","27","8","51"
"publicpolygonfeature:5:60027","ZIP Code 78737","country:us/state:tx/zip:78737","78737","1589","515","621","567","71","103","265","145","233","63","0","17","88","106","151","98","111","746","274","0","156","277","113","361","148"
"publicpolygonfeature:5:60028","ZIP Code 78747","country:us/state:tx/zip:78747","78747","1070","513","457","458","55","107","37","123","231","170","131","5","35","129","255","218","81","760","206","0","853","104","184","182","295"
