"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41414","ZIP Code 28025","country:us/state:nc/zip:28025","28025","1413","667","646","323","91","205","36","200","406","184","237","78","144","193","603","586","144","852","807","54","2165","909","1413","805","1212"
"publicpolygonfeature:5:41415","ZIP Code 28033","country:us/state:nc/zip:28033","28033","307","13","0","0","0","82","0","0","43","0","24","0","105","11","0","42","0","38","38","0","39","89","94","39","85"
"publicpolygonfeature:5:41417","ZIP Code 28027","country:us/state:nc/zip:28027","28027","2948","1842","2078","1149","96","72","153","499","263","635","157","8","421","254","1387","614","82","2396","1047","44","2068","1109","898","961","1298"
"publicpolygonfeature:5:41418","ZIP Code 28031","country:us/state:nc/zip:28031","28031","1768","1167","435","376","137","181","75","94","133","537","12","12","51","0","272","217","29","1145","481","0","318","220","88","342","223"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","83","50","40","18","20","0","0","13","0","46","0","0","4","0","17","39","23","93","19","0","23","88","62","6","43"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","505","86","180","115","9","88","0","59","35","144","7","25","149","45","220","57","50","304","219","0","580","591","595","633","532"
"publicpolygonfeature:5:41421","ZIP Code 28036","country:us/state:nc/zip:28036","28036","1317","853","456","314","25","79","144","341","70","372","0","0","16","27","156","143","65","588","322","7","145","198","378","99","69"
"publicpolygonfeature:5:41422","ZIP Code 28054","country:us/state:nc/zip:28054","28054","968","267","325","232","20","111","16","87","128","43","62","0","208","136","523","646","63","708","627","7","857","627","1654","840","871"
"publicpolygonfeature:5:41423","ZIP Code 28037","country:us/state:nc/zip:28037","28037","1949","636","254","285","126","97","23","185","22","121","52","11","111","75","267","170","110","968","375","0","362","664","417","428","361"
"publicpolygonfeature:5:41424","ZIP Code 28039","country:us/state:nc/zip:28039","28039","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41425","ZIP Code 28072","country:us/state:nc/zip:28072","28072","0","0","21","0","0","0","0","0","0","0","0","0","59","0","11","8","0","18","0","0","0","18","5","0","6"
"publicpolygonfeature:5:41429","ZIP Code 28075","country:us/state:nc/zip:28075","28075","1090","486","709","243","55","53","38","83","113","100","14","56","75","21","207","147","0","779","80","1","221","241","142","340","348"
"publicpolygonfeature:5:41432","ZIP Code 28052","country:us/state:nc/zip:28052","28052","571","275","260","159","82","73","0","133","76","27","16","35","109","54","356","548","42","392","510","93","940","521","958","690","402"
"publicpolygonfeature:5:41433","ZIP Code 28056","country:us/state:nc/zip:28056","28056","1365","520","421","390","149","219","102","248","107","216","55","96","222","151","325","320","166","949","385","40","1039","566","1193","503","464"
"publicpolygonfeature:5:41434","ZIP Code 28071","country:us/state:nc/zip:28071","28071","130","0","103","110","18","7","0","0","0","21","0","0","182","8","54","0","0","63","13","0","170","127","186","148","86"
"publicpolygonfeature:5:41435","ZIP Code 28078","country:us/state:nc/zip:28078","28078","4546","2347","2139","781","111","186","218","485","560","424","101","37","247","107","754","210","315","2729","1032","45","675","542","686","887","485"
"publicpolygonfeature:5:41436","ZIP Code 28107","country:us/state:nc/zip:28107","28107","469","140","229","96","0","0","0","21","11","0","47","0","49","30","110","153","11","418","264","0","642","162","173","69","53"
"publicpolygonfeature:5:41437","ZIP Code 28108","country:us/state:nc/zip:28108","28108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0"
