"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:44552","ZIP Code 37035","country:us/state:tn/zip:37035","37035","90","9","0","0","0","0","0","146","46","23","14","0","0","0","33","62","0","194","22","38","74","58","14","105","15"
"publicpolygonfeature:5:44554","ZIP Code 37036","country:us/state:tn/zip:37036","37036","280","47","9","125","0","67","0","15","6","13","19","6","4","15","41","45","30","70","97","0","210","127","146","118","87"
"publicpolygonfeature:5:44556","ZIP Code 37037","country:us/state:tn/zip:37037","37037","570","39","60","65","29","0","0","105","27","10","13","0","21","33","241","64","14","511","156","0","175","211","166","199","242"
"publicpolygonfeature:5:44557","ZIP Code 37217","country:us/state:tn/zip:37217","37217","888","333","371","64","61","59","0","194","354","161","48","0","122","0","602","374","20","763","482","69","1657","672","622","1110","527"
"publicpolygonfeature:5:44562","ZIP Code 37046","country:us/state:tn/zip:37046","37046","492","234","75","79","0","0","54","0","132","0","21","21","0","0","0","22","0","617","37","0","56","52","13","76","98"
"publicpolygonfeature:5:44563","ZIP Code 37115","country:us/state:tn/zip:37115","37115","708","427","424","30","67","50","39","75","599","159","243","25","108","92","753","673","61","991","708","0","2320","394","889","547","821"
"publicpolygonfeature:5:44564","ZIP Code 37048","country:us/state:tn/zip:37048","37048","308","74","19","51","42","24","35","40","32","7","22","0","41","15","72","70","8","220","47","0","151","168","129","99","67"
"publicpolygonfeature:5:44565","ZIP Code 37049","country:us/state:tn/zip:37049","37049","204","61","16","8","23","5","0","15","6","0","2","0","30","30","40","50","3","64","36","0","301","26","154","104","85"
"publicpolygonfeature:5:44566","ZIP Code 37118","country:us/state:tn/zip:37118","37118","28","18","24","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","33","0","10","52","0","0","0"
"publicpolygonfeature:5:44569","ZIP Code 37051","country:us/state:tn/zip:37051","37051","106","15","11","0","0","13","0","0","0","26","0","0","53","0","0","17","0","64","30","0","196","145","53","44","27"
"publicpolygonfeature:5:44571","ZIP Code 37055","country:us/state:tn/zip:37055","37055","716","173","276","183","71","108","24","138","160","36","160","60","183","68","484","105","32","464","253","13","566","811","1314","432","484"
