"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","4173","1763","1762","763","100","196","224","561","281","614","126","63","533","316","1262","293","184","3474","984","46","568","561","626","690","268"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","568","157","35","99","0","0","61","109","71","82","16","0","0","14","53","43","40","396","62","0","92","91","22","100","23"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","880","254","328","208","0","53","90","39","60","43","264","80","11","46","657","327","286","815","807","8","821","392","661","360","1124"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","37","0","0","0","0","116","0","0","0","5","0","0","0","0","148","11","0","140","0","140","402","272","24","114","34"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","1565","671","381","501","46","78","145","240","86","327","34","15","143","71","242","315","29","758","268","0","119","452","85","280","148"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","93","60","39","7","34","11","0","23","0","0","0","0","15","51","40","0","0","46","47","0","118","174","101","91","119"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","562","78","41","82","11","20","6","64","8","24","32","0","72","148","160","208","14","409","165","0","660","293","247","353","231"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","97","23","255","23","0","51","11","0","8","57","0","0","0","0","21","39","0","348","11","18","54","66","66","106","0"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","1430","459","212","306","140","383","173","293","225","185","0","28","91","121","658","353","36","996","286","34","860","438","257","762","386"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","315","9","0","35","35","0","0","65","47","0","2","11","20","211","21","238","0","94","20","0","307","299","128","248","217"
