"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","1260","767","493","409","57","126","48","424","82","504","154","30","144","189","206","66","82","869","285","0","242","251","193","283","190"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","189","2","0","102","16","0","0","86","49","0","0","0","0","0","22","0","6","75","90","15","468","276","147","135","94"
"publicpolygonfeature:5:59696","ZIP Code 78027","country:us/state:tx/zip:78027","78027","0","0","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0","9","0","0","18","0","0","0"
"publicpolygonfeature:5:59701","ZIP Code 78039","country:us/state:tx/zip:78039","78039","31","0","0","2","0","0","118","20","0","0","22","0","2","0","0","0","0","29","86","0","50","71","36","0","18"
"publicpolygonfeature:5:59703","ZIP Code 78050","country:us/state:tx/zip:78050","78050","21","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","18","0","0"
"publicpolygonfeature:5:59704","ZIP Code 78052","country:us/state:tx/zip:78052","78052","281","49","20","0","0","17","0","23","0","15","0","0","0","94","53","26","0","115","75","0","213","260","121","147","39"
"publicpolygonfeature:5:59706","ZIP Code 78055","country:us/state:tx/zip:78055","78055","60","15","5","0","0","0","0","15","0","6","0","0","0","0","5","19","28","5","0","10","7","38","8","5","0"
"publicpolygonfeature:5:59707","ZIP Code 78123","country:us/state:tx/zip:78123","78123","40","24","0","109","0","0","5","0","52","0","0","9","0","0","0","0","28","92","33","0","11","11","122","0","0"
"publicpolygonfeature:5:59708","ZIP Code 78209","country:us/state:tx/zip:78209","78209","2388","710","373","470","60","157","895","760","286","556","76","93","139","0","676","249","16","1092","569","69","405","190","188","241","318"
"publicpolygonfeature:5:59709","ZIP Code 78056","country:us/state:tx/zip:78056","78056","120","0","95","24","28","0","12","20","0","0","37","0","16","0","9","30","0","155","0","17","58","10","23","44","0"
"publicpolygonfeature:5:59710","ZIP Code 78063","country:us/state:tx/zip:78063","78063","564","169","61","66","40","0","0","48","33","12","0","0","66","36","39","103","18","209","47","0","374","122","306","198","136"
"publicpolygonfeature:5:59711","ZIP Code 78057","country:us/state:tx/zip:78057","78057","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","94","0","0","9","10"
"publicpolygonfeature:5:59713","ZIP Code 78059","country:us/state:tx/zip:78059","78059","137","25","20","27","2","23","0","97","0","33","0","23","0","18","0","0","0","38","56","0","281","177","86","138","136"
"publicpolygonfeature:5:59715","ZIP Code 78210","country:us/state:tx/zip:78210","78210","748","426","244","181","46","102","53","302","123","1","69","212","56","51","544","781","11","497","302","0","1154","711","299","636","489"
"publicpolygonfeature:5:59717","ZIP Code 78064","country:us/state:tx/zip:78064","78064","279","45","38","24","17","50","0","50","61","49","13","86","27","12","238","158","32","340","185","16","657","261","366","174","279"
"publicpolygonfeature:5:59719","ZIP Code 78065","country:us/state:tx/zip:78065","78065","158","40","0","0","0","0","0","11","11","33","2","0","0","11","73","49","9","239","184","147","364","255","257","376","107"
"publicpolygonfeature:5:59720","ZIP Code 78066","country:us/state:tx/zip:78066","78066","34","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0"
"publicpolygonfeature:5:59721","ZIP Code 78211","country:us/state:tx/zip:78211","78211","675","46","38","30","43","42","0","48","64","76","72","70","119","21","661","542","25","476","224","0","1421","623","542","427","380"
"publicpolygonfeature:5:59723","ZIP Code 78069","country:us/state:tx/zip:78069","78069","106","8","0","49","9","3","0","38","38","0","0","0","0","24","46","36","0","105","286","13","357","308","64","44","238"
"publicpolygonfeature:5:59724","ZIP Code 78101","country:us/state:tx/zip:78101","78101","333","77","99","44","0","0","0","45","11","22","8","0","42","6","28","5","0","143","76","0","236","206","87","123","32"
"publicpolygonfeature:5:59725","ZIP Code 78070","country:us/state:tx/zip:78070","78070","986","332","307","255","82","15","0","114","225","106","71","31","16","12","363","256","15","887","151","0","389","411","72","154","220"
"publicpolygonfeature:5:59729","ZIP Code 78112","country:us/state:tx/zip:78112","78112","165","103","34","77","37","44","0","16","0","0","18","0","31","19","49","168","0","61","63","26","192","217","325","361","81"
"publicpolygonfeature:5:59730","ZIP Code 78147","country:us/state:tx/zip:78147","78147","28","0","34","8","17","0","0","17","0","0","5","0","92","9","0","29","0","36","28","9","23","26","71","22","10"
"publicpolygonfeature:5:59731","ZIP Code 78212","country:us/state:tx/zip:78212","78212","765","354","354","143","51","87","166","411","150","262","128","69","78","43","544","192","108","505","385","19","865","275","176","268","387"
"publicpolygonfeature:5:59733","ZIP Code 78073","country:us/state:tx/zip:78073","78073","251","16","46","109","0","11","0","0","11","5","18","50","0","19","131","79","0","58","149","58","550","176","379","480","121"
"publicpolygonfeature:5:59738","ZIP Code 78108","country:us/state:tx/zip:78108","78108","1311","813","671","188","88","215","58","389","213","291","159","44","375","310","752","495","93","1127","584","0","706","347","443","769","848"
"publicpolygonfeature:5:59739","ZIP Code 78109","country:us/state:tx/zip:78109","78109","1467","696","1089","371","49","96","97","466","33","428","209","124","351","342","1139","562","47","1807","1114","49","622","1142","903","1056","926"
"publicpolygonfeature:5:59740","ZIP Code 78113","country:us/state:tx/zip:78113","78113","123","18","11","12","0","0","0","1","0","4","0","0","19","2","0","7","0","41","49","50","35","82","49","35","89"
"publicpolygonfeature:5:59741","ZIP Code 78114","country:us/state:tx/zip:78114","78114","477","252","292","119","23","103","11","96","45","187","11","5","180","79","150","115","147","587","304","3","662","709","677","591","362"
"publicpolygonfeature:5:59743","ZIP Code 78124","country:us/state:tx/zip:78124","78124","87","109","154","43","22","6","8","14","0","6","5","0","18","15","85","37","63","260","62","0","154","159","105","176","72"
"publicpolygonfeature:5:59746","ZIP Code 78130","country:us/state:tx/zip:78130","78130","3574","1749","1144","1236","174","388","58","1098","495","324","202","157","847","397","1613","767","260","3037","1718","34","2049","2243","1596","1619","1724"
"publicpolygonfeature:5:59747","ZIP Code 78132","country:us/state:tx/zip:78132","78132","1751","1400","341","177","195","82","82","622","384","684","9","60","212","244","397","373","66","1128","498","37","622","360","121","496","266"
"publicpolygonfeature:5:59748","ZIP Code 78133","country:us/state:tx/zip:78133","78133","545","254","376","158","7","26","131","172","152","101","91","60","43","23","180","280","45","747","191","45","698","243","191","211","360"
"publicpolygonfeature:5:59749","ZIP Code 78140","country:us/state:tx/zip:78140","78140","72","0","22","0","0","0","0","0","0","0","0","0","0","0","35","7","13","42","30","44","182","57","173","42","26"
"publicpolygonfeature:5:59752","ZIP Code 78143","country:us/state:tx/zip:78143","78143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59755","ZIP Code 78244","country:us/state:tx/zip:78244","78244","798","216","185","110","44","83","0","239","28","156","53","117","98","118","599","319","43","674","625","0","734","712","575","786","1085"
"publicpolygonfeature:5:59756","ZIP Code 78148","country:us/state:tx/zip:78148","78148","548","186","431","72","25","29","0","232","13","63","45","57","120","103","182","184","42","542","566","0","756","403","450","509","541"
"publicpolygonfeature:5:59757","ZIP Code 78150","country:us/state:tx/zip:78150","78150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59759","ZIP Code 78152","country:us/state:tx/zip:78152","78152","120","33","196","61","0","0","0","94","0","27","0","9","25","3","62","30","0","241","9","8","114","78","40","45","27"
"publicpolygonfeature:5:59761","ZIP Code 78154","country:us/state:tx/zip:78154","78154","1275","853","1076","210","37","111","196","207","209","96","65","37","221","122","366","387","275","1067","964","0","628","588","483","690","753"
"publicpolygonfeature:5:59763","ZIP Code 78213","country:us/state:tx/zip:78213","78213","1008","323","271","178","49","167","128","378","177","113","60","241","134","30","808","635","255","851","1010","0","1804","538","449","672","620"
"publicpolygonfeature:5:59765","ZIP Code 78155","country:us/state:tx/zip:78155","78155","1577","519","389","551","60","69","28","248","194","207","117","122","81","290","636","721","254","1064","679","64","1464","1203","1924","923","934"
"publicpolygonfeature:5:59766","ZIP Code 78201","country:us/state:tx/zip:78201","78201","666","316","241","141","66","44","56","290","156","59","32","160","77","83","997","671","129","846","685","0","3153","458","508","538","548"
"publicpolygonfeature:5:59767","ZIP Code 78202","country:us/state:tx/zip:78202","78202","165","74","217","0","0","19","14","44","39","41","50","0","0","0","197","99","71","368","102","0","573","63","163","190","167"
"publicpolygonfeature:5:59768","ZIP Code 78160","country:us/state:tx/zip:78160","78160","140","20","5","0","22","0","0","31","0","0","3","8","103","97","16","0","0","89","70","40","227","77","156","60","52"
"publicpolygonfeature:5:59769","ZIP Code 78161","country:us/state:tx/zip:78161","78161","37","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59771","ZIP Code 78203","country:us/state:tx/zip:78203","78203","39","115","60","0","0","0","0","11","50","0","0","23","7","5","152","43","0","34","9","7","245","165","95","102","64"
"publicpolygonfeature:5:59772","ZIP Code 78204","country:us/state:tx/zip:78204","78204","593","99","85","218","0","2","104","63","139","30","0","40","36","21","127","193","28","157","151","0","552","102","42","119","240"
"publicpolygonfeature:5:59773","ZIP Code 78163","country:us/state:tx/zip:78163","78163","1239","295","237","126","33","80","32","82","36","160","36","11","88","207","239","129","65","1000","226","0","254","232","58","108","108"
"publicpolygonfeature:5:59776","ZIP Code 78214","country:us/state:tx/zip:78214","78214","163","144","151","63","109","1","0","63","25","0","79","131","111","127","298","508","10","381","237","34","969","301","434","363","524"
"publicpolygonfeature:5:59777","ZIP Code 78215","country:us/state:tx/zip:78215","78215","291","123","81","143","0","0","45","80","4","77","0","0","10","21","6","0","2","150","102","0","30","44","31","0","16"
"publicpolygonfeature:5:59778","ZIP Code 78216","country:us/state:tx/zip:78216","78216","1220","1055","463","337","55","44","278","534","189","142","150","313","67","64","1255","589","149","926","777","36","1252","444","136","674","353"
"publicpolygonfeature:5:59779","ZIP Code 78217","country:us/state:tx/zip:78217","78217","918","316","588","443","51","69","35","166","253","31","76","315","259","82","526","383","57","909","685","61","588","552","274","753","384"
"publicpolygonfeature:5:59780","ZIP Code 78218","country:us/state:tx/zip:78218","78218","804","186","187","379","27","53","0","197","101","48","107","192","108","73","684","1048","73","615","782","0","1347","762","583","823","937"
"publicpolygonfeature:5:59784","ZIP Code 78222","country:us/state:tx/zip:78222","78222","323","65","17","53","68","89","0","151","0","0","40","263","60","176","421","233","62","343","287","0","1113","262","923","832","526"
"publicpolygonfeature:5:59785","ZIP Code 78223","country:us/state:tx/zip:78223","78223","773","379","334","295","32","55","16","290","118","66","142","310","233","89","1050","744","192","1236","853","0","2453","975","1217","1003","929"
"publicpolygonfeature:5:59787","ZIP Code 78224","country:us/state:tx/zip:78224","78224","380","93","144","113","35","1","0","129","31","13","56","57","98","51","304","302","57","687","379","0","1178","397","400","406","438"
"publicpolygonfeature:5:59788","ZIP Code 78225","country:us/state:tx/zip:78225","78225","206","15","15","28","10","0","9","7","164","0","0","29","51","15","143","107","0","169","92","0","909","244","281","176","146"
"publicpolygonfeature:5:59789","ZIP Code 78226","country:us/state:tx/zip:78226","78226","38","0","20","0","0","10","6","29","0","0","0","14","0","0","72","34","10","46","116","0","672","69","163","124","76"
"publicpolygonfeature:5:59790","ZIP Code 78227","country:us/state:tx/zip:78227","78227","552","181","171","35","151","109","0","173","109","23","79","156","209","102","822","673","199","457","654","0","2390","522","958","837","658"
"publicpolygonfeature:5:59791","ZIP Code 78228","country:us/state:tx/zip:78228","78228","597","285","222","258","70","34","10","344","313","116","356","147","475","189","892","866","127","925","763","25","2458","1067","763","703","709"
"publicpolygonfeature:5:59793","ZIP Code 78231","country:us/state:tx/zip:78231","78231","297","296","133","106","0","11","78","76","44","331","23","135","53","35","232","26","0","445","94","0","56","183","32","23","41"
"publicpolygonfeature:5:59794","ZIP Code 78232","country:us/state:tx/zip:78232","78232","1571","711","842","325","132","280","96","228","171","138","79","78","80","37","525","312","89","1022","870","3","794","544","279","163","226"
"publicpolygonfeature:5:59795","ZIP Code 78233","country:us/state:tx/zip:78233","78233","1316","660","719","163","85","51","96","336","224","141","170","161","433","36","456","463","33","1144","1113","0","1194","653","740","1131","876"
"publicpolygonfeature:5:59796","ZIP Code 78234","country:us/state:tx/zip:78234","78234","19","26","0","7","4","0","0","18","0","8","2","5","0","0","20","21","0","33","0","28","11","11","21","39","0"
"publicpolygonfeature:5:59797","ZIP Code 78235","country:us/state:tx/zip:78235","78235","81","0","97","20","52","12","6","26","0","11","61","24","0","0","146","0","11","79","19","0","72","114","86","47","59"
"publicpolygonfeature:5:59798","ZIP Code 78236","country:us/state:tx/zip:78236","78236","86","21","20","3","33","18","0","2","0","10","12","0","0","17","124","61","0","15","0","37","15","37","3","22","211"
"publicpolygonfeature:5:59799","ZIP Code 78245","country:us/state:tx/zip:78245","78245","1995","784","1747","355","293","142","70","864","244","435","259","339","381","189","917","580","383","2514","1997","9","2060","2113","1459","2061","1286"
"publicpolygonfeature:5:59800","ZIP Code 78247","country:us/state:tx/zip:78247","78247","1579","1161","929","424","39","184","107","660","163","337","95","52","536","72","437","281","181","1174","1130","11","1012","882","650","915","297"
"publicpolygonfeature:5:59801","ZIP Code 78248","country:us/state:tx/zip:78248","78248","804","234","374","59","110","50","217","196","89","185","53","52","89","61","207","60","7","627","323","0","83","290","51","79","42"
"publicpolygonfeature:5:59802","ZIP Code 78249","country:us/state:tx/zip:78249","78249","2042","938","1853","539","158","247","153","1036","304","802","315","159","347","136","1428","458","191","2320","1146","42","598","865","688","676","864"
"publicpolygonfeature:5:59803","ZIP Code 78250","country:us/state:tx/zip:78250","78250","1305","671","938","602","126","388","17","493","377","198","366","165","429","148","965","482","133","1138","1211","20","1332","1333","639","1029","923"
"publicpolygonfeature:5:59804","ZIP Code 78251","country:us/state:tx/zip:78251","78251","1717","1388","988","683","11","5","51","611","368","270","397","150","175","184","762","362","216","998","1326","0","768","1135","901","1457","857"
"publicpolygonfeature:5:59806","ZIP Code 78252","country:us/state:tx/zip:78252","78252","341","277","269","296","4","96","0","153","16","53","22","126","35","91","315","58","115","530","445","0","490","353","375","346","198"
"publicpolygonfeature:5:59807","ZIP Code 78253","country:us/state:tx/zip:78253","78253","2398","1378","1676","786","224","120","0","743","193","397","425","82","479","265","856","463","178","1644","704","0","797","787","869","1040","708"
"publicpolygonfeature:5:59808","ZIP Code 78254","country:us/state:tx/zip:78254","78254","2209","1831","2256","764","324","106","150","1016","207","360","501","106","445","428","814","161","340","2199","1753","0","1253","893","734","1133","508"
"publicpolygonfeature:5:59809","ZIP Code 78260","country:us/state:tx/zip:78260","78260","2054","552","681","430","63","101","220","447","117","688","61","121","146","105","292","42","155","1693","492","22","161","246","131","361","298"
"publicpolygonfeature:5:59812","ZIP Code 78255","country:us/state:tx/zip:78255","78255","753","546","559","171","42","0","147","157","145","643","26","11","107","30","130","86","41","497","306","24","145","80","64","80","145"
"publicpolygonfeature:5:59813","ZIP Code 78256","country:us/state:tx/zip:78256","78256","714","100","410","93","74","30","37","200","66","364","122","0","58","13","270","21","26","600","385","0","38","245","140","333","86"
"publicpolygonfeature:5:59814","ZIP Code 78257","country:us/state:tx/zip:78257","78257","605","710","208","280","38","0","77","216","39","162","0","74","0","45","249","12","0","485","83","0","31","44","0","0","183"
"publicpolygonfeature:5:59815","ZIP Code 78258","country:us/state:tx/zip:78258","78258","2371","1801","954","638","84","301","169","668","444","984","184","41","88","117","556","197","124","1611","735","0","529","423","163","861","145"
