"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","241","146","93","0","19","0","3","70","71","0","0","0","11","32","124","79","19","241","105","0","367","193","111","79","250"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","631","399","211","19","0","31","0","103","13","49","81","51","29","20","246","186","39","573","251","10","372","373","129","428","258"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","306","135","130","96","6","39","0","167","196","36","50","51","27","26","244","166","57","403","192","27","284","437","236","259","412"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","1888","913","1003","282","8","142","128","370","332","444","49","54","161","177","522","298","213","894","581","0","574","398","327","477","250"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","876","732","430","176","44","66","126","258","248","163","373","0","124","185","469","154","98","988","440","0","278","282","182","465","318"
"publicpolygonfeature:5:42833","ZIP Code 33545","country:us/state:fl/zip:33545","33545","943","437","1161","383","25","12","0","108","234","398","145","8","172","106","599","138","119","1054","635","17","375","743","316","520","340"
"publicpolygonfeature:5:42913","ZIP Code 33810","country:us/state:fl/zip:33810","33810","1274","599","707","331","85","70","7","403","64","126","118","9","358","141","542","361","213","976","1009","39","1350","881","860","990","1277"
"publicpolygonfeature:5:43513","ZIP Code 33556","country:us/state:fl/zip:33556","33556","2617","968","637","289","95","56","159","107","348","376","38","103","232","78","160","166","86","1041","540","8","429","284","333","226","91"
"publicpolygonfeature:5:43528","ZIP Code 33511","country:us/state:fl/zip:33511","33511","2112","1241","1185","487","116","32","56","403","368","256","92","76","290","219","1156","424","149","1333","1290","20","1473","867","432","1109","474"
"publicpolygonfeature:5:43532","ZIP Code 33523","country:us/state:fl/zip:33523","33523","466","61","155","49","11","74","0","95","29","15","21","0","72","97","173","263","169","357","392","174","968","264","125","441","264"
"publicpolygonfeature:5:43533","ZIP Code 33525","country:us/state:fl/zip:33525","33525","683","91","92","80","4","61","20","202","21","100","164","60","24","83","227","155","57","448","257","32","451","378","211","191","361"
"publicpolygonfeature:5:43534","ZIP Code 33527","country:us/state:fl/zip:33527","33527","835","100","235","93","10","14","23","72","67","115","16","7","59","120","231","214","97","222","186","672","692","343","78","203","343"
"publicpolygonfeature:5:43535","ZIP Code 33534","country:us/state:fl/zip:33534","33534","437","49","173","68","25","28","0","0","105","46","130","34","62","51","294","276","15","569","506","8","694","257","171","377","280"
"publicpolygonfeature:5:43537","ZIP Code 33558","country:us/state:fl/zip:33558","33558","2314","726","807","364","146","137","224","273","184","298","204","28","174","198","304","59","8","1044","412","15","370","322","248","329","280"
"publicpolygonfeature:5:43538","ZIP Code 33547","country:us/state:fl/zip:33547","33547","1398","720","599","203","129","15","118","75","137","223","119","15","78","158","132","121","32","748","575","519","202","278","218","286","291"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","501","201","178","89","0","9","125","71","45","141","8","6","30","8","64","131","12","267","29","0","166","92","14","159","34"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","758","126","181","120","49","44","27","239","21","179","20","17","390","59","337","351","0","418","313","0","276","313","84","122","180"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","409","90","279","93","22","124","33","182","42","93","164","11","55","52","217","134","72","1040","436","0","290","403","47","335","247"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","372","124","63","151","41","16","0","208","137","0","12","56","60","11","314","440","86","524","443","120","1627","875","643","477","293"
