"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:63718","ZIP Code 94924","country:us/state:ca/zip:94924","94924","18","54","0","0","0","0","14","0","22","0","0","0","0","5","0","16","18","40","26","0","96","0","35","46","0"
"publicpolygonfeature:5:63719","ZIP Code 94925","country:us/state:ca/zip:94925","94925","728","277","128","38","142","0","181","117","230","135","44","0","18","0","46","0","30","269","31","0","0","0","46","45","18"
"publicpolygonfeature:5:63720","ZIP Code 94930","country:us/state:ca/zip:94930","94930","507","265","131","135","14","6","65","71","74","97","14","86","19","7","111","27","0","199","124","6","37","113","17","77","0"
"publicpolygonfeature:5:63722","ZIP Code 94933","country:us/state:ca/zip:94933","94933","35","15","124","0","44","0","0","19","34","0","4","8","0","0","0","51","0","0","36","0","28","0","5","0","0"
"publicpolygonfeature:5:63723","ZIP Code 94940","country:us/state:ca/zip:94940","94940","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63725","ZIP Code 94937","country:us/state:ca/zip:94937","94937","95","5","0","0","0","0","0","39","19","0","0","0","0","0","22","25","0","13","0","0","17","0","0","0","0"
"publicpolygonfeature:5:63726","ZIP Code 94938","country:us/state:ca/zip:94938","94938","9","0","59","0","0","0","22","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63727","ZIP Code 94939","country:us/state:ca/zip:94939","94939","386","203","242","45","30","0","130","66","96","130","0","15","21","0","23","17","0","268","135","0","30","13","58","56","43"
"publicpolygonfeature:5:63729","ZIP Code 94941","country:us/state:ca/zip:94941","94941","1938","803","695","312","165","71","357","219","438","442","225","19","31","16","354","111","34","890","238","0","312","156","201","192","66"
"publicpolygonfeature:5:63730","ZIP Code 94945","country:us/state:ca/zip:94945","94945","920","363","213","93","37","262","64","223","136","186","24","10","104","68","120","332","158","661","108","0","237","166","38","132","89"
"publicpolygonfeature:5:63732","ZIP Code 94946","country:us/state:ca/zip:94946","94946","19","9","7","3","6","0","8","2","32","17","0","0","6","0","5","4","4","14","15","4","15","0","0","3","6"
"publicpolygonfeature:5:63733","ZIP Code 94947","country:us/state:ca/zip:94947","94947","1102","356","291","123","173","80","96","107","292","117","43","199","112","116","225","754","35","460","387","62","448","197","33","287","148"
"publicpolygonfeature:5:63734","ZIP Code 94949","country:us/state:ca/zip:94949","94949","960","199","275","87","18","27","124","177","115","103","9","15","41","26","440","304","21","443","267","0","353","102","57","90","193"
"publicpolygonfeature:5:63735","ZIP Code 94950","country:us/state:ca/zip:94950","94950","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63736","ZIP Code 94952","country:us/state:ca/zip:94952","94952","1501","472","366","278","195","42","138","320","620","179","33","52","237","169","347","218","68","790","323","266","1004","422","691","250","189"
"publicpolygonfeature:5:63739","ZIP Code 94960","country:us/state:ca/zip:94960","94960","969","459","493","112","13","104","194","289","215","152","44","33","111","0","112","35","6","512","64","11","90","52","57","50","33"
"publicpolygonfeature:5:63740","ZIP Code 94963","country:us/state:ca/zip:94963","94963","5","40","0","33","0","13","0","0","126","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63741","ZIP Code 94964","country:us/state:ca/zip:94964","94964","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","0"
"publicpolygonfeature:5:63743","ZIP Code 94956","country:us/state:ca/zip:94956","94956","41","0","0","0","20","2","0","0","49","0","0","0","0","0","0","43","0","47","11","3","48","0","10","0","15"
"publicpolygonfeature:5:63744","ZIP Code 94957","country:us/state:ca/zip:94957","94957","219","73","13","0","12","15","41","10","22","12","0","4","0","0","0","0","0","25","11","0","7","12","7","0","4"
"publicpolygonfeature:5:63745","ZIP Code 94965","country:us/state:ca/zip:94965","94965","801","134","127","81","50","16","95","58","322","135","8","59","34","12","48","13","24","421","107","4","28","47","27","82","0"
"publicpolygonfeature:5:63746","ZIP Code 94970","country:us/state:ca/zip:94970","94970","23","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","13","0","0","0","0","0","0"
"publicpolygonfeature:5:63747","ZIP Code 94971","country:us/state:ca/zip:94971","94971","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","4","0","0","0","9","0"
"publicpolygonfeature:5:63749","ZIP Code 94973","country:us/state:ca/zip:94973","94973","134","0","0","0","0","0","0","32","43","29","0","0","32","0","139","53","0","64","58","0","23","0","0","0","0"
"publicpolygonfeature:5:63826","ZIP Code 95219","country:us/state:ca/zip:95219","95219","1038","270","311","382","93","90","136","314","137","534","158","220","286","134","358","157","0","846","376","18","659","310","421","700","439"
"publicpolygonfeature:5:63933","ZIP Code 95391","country:us/state:ca/zip:95391","95391","1123","318","1485","286","130","18","0","75","118","145","113","136","154","14","379","25","281","421","366","277","246","352","256","286","127"
"publicpolygonfeature:5:6701475","ZIP Code 94188","country:us/state:ca/zip:94188","94188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6702208","ZIP Code 94018","country:us/state:ca/zip:94018","94018","262","34","108","7","0","0","0","150","54","0","0","0","0","56","75","0","0","113","31","30","62","0","0","111","103"
"publicpolygonfeature:22:928646","San Francisco-Oakland-Fremont, CA Area","country:us/state:ca/msa:san_francisco-oakland-fremont","41860","203134","88196","147583","65546","30606","12941","21109","45131","39961","29300","11316","17664","19813","10177","53575","42941","13674","97924","65346","4424","84365","41990","43168","55999","41334"
