"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","831"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","89741"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","799"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","1036"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","5137"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","51366"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","21306"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","18910"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","38651"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","11486"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","16137"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","48168"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","19722"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","20287"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","7800"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","5438"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","15581"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","5255"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","116609"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","975"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","29892"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","26677"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","33286"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","11068"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","19517"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","32552"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","11167"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","2768"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","99075"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","75"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","9108"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","1103"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","10538"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","6173"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","28318"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","20433"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","269"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","13002"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","23038"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","16543"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","273"
"publicpolygonfeature:5:43444","ZIP Code 32703","country:us/state:fl/zip:32703","32703","23517"
"publicpolygonfeature:5:43445","ZIP Code 32707","country:us/state:fl/zip:32707","32707","11267"
"publicpolygonfeature:5:43446","ZIP Code 32708","country:us/state:fl/zip:32708","32708","9560"
"publicpolygonfeature:5:43447","ZIP Code 32735","country:us/state:fl/zip:32735","32735","246"
"publicpolygonfeature:5:43448","ZIP Code 32709","country:us/state:fl/zip:32709","32709","203"
"publicpolygonfeature:5:43449","ZIP Code 32712","country:us/state:fl/zip:32712","32712","6201"
"publicpolygonfeature:5:43451","ZIP Code 32720","country:us/state:fl/zip:32720","32720","23904"
"publicpolygonfeature:5:43453","ZIP Code 32726","country:us/state:fl/zip:32726","32726","6695"
"publicpolygonfeature:5:43454","ZIP Code 32730","country:us/state:fl/zip:32730","32730","1944"
"publicpolygonfeature:5:43455","ZIP Code 32732","country:us/state:fl/zip:32732","32732","1187"
"publicpolygonfeature:5:43456","ZIP Code 32736","country:us/state:fl/zip:32736","32736","2172"
"publicpolygonfeature:5:43457","ZIP Code 32751","country:us/state:fl/zip:32751","32751","39869"
"publicpolygonfeature:5:43460","ZIP Code 32746","country:us/state:fl/zip:32746","32746","52896"
"publicpolygonfeature:5:43461","ZIP Code 32750","country:us/state:fl/zip:32750","32750","19205"
"publicpolygonfeature:5:43463","ZIP Code 32757","country:us/state:fl/zip:32757","32757","12047"
"publicpolygonfeature:5:43466","ZIP Code 32765","country:us/state:fl/zip:32765","32765","21583"
"publicpolygonfeature:5:43467","ZIP Code 32766","country:us/state:fl/zip:32766","32766","1651"
"publicpolygonfeature:5:43468","ZIP Code 32767","country:us/state:fl/zip:32767","32767","191"
"publicpolygonfeature:5:43470","ZIP Code 32771","country:us/state:fl/zip:32771","32771","33259"
"publicpolygonfeature:5:43471","ZIP Code 32773","country:us/state:fl/zip:32773","32773","19391"
"publicpolygonfeature:5:43472","ZIP Code 32776","country:us/state:fl/zip:32776","32776","2090"
"publicpolygonfeature:5:43473","ZIP Code 32778","country:us/state:fl/zip:32778","32778","19081"
"publicpolygonfeature:5:43474","ZIP Code 32779","country:us/state:fl/zip:32779","32779","6837"
"publicpolygonfeature:5:43476","ZIP Code 32784","country:us/state:fl/zip:32784","32784","2119"
"publicpolygonfeature:5:43477","ZIP Code 32789","country:us/state:fl/zip:32789","32789","33653"
"publicpolygonfeature:5:43478","ZIP Code 32792","country:us/state:fl/zip:32792","32792","22447"
"publicpolygonfeature:5:43626","ZIP Code 33848","country:us/state:fl/zip:33848","33848","696"
"publicpolygonfeature:5:43644","ZIP Code 33896","country:us/state:fl/zip:33896","33896","4430"
"publicpolygonfeature:5:43785","ZIP Code 34705","country:us/state:fl/zip:34705","34705","885"
"publicpolygonfeature:5:43786","ZIP Code 34711","country:us/state:fl/zip:34711","34711","22388"
"publicpolygonfeature:5:43787","ZIP Code 34714","country:us/state:fl/zip:34714","34714","3785"
"publicpolygonfeature:5:43788","ZIP Code 34715","country:us/state:fl/zip:34715","34715","3247"
"publicpolygonfeature:5:43789","ZIP Code 34731","country:us/state:fl/zip:34731","34731","2122"
"publicpolygonfeature:5:43790","ZIP Code 34734","country:us/state:fl/zip:34734","34734","281"
"publicpolygonfeature:5:43791","ZIP Code 34736","country:us/state:fl/zip:34736","34736","7665"
"publicpolygonfeature:5:43792","ZIP Code 34739","country:us/state:fl/zip:34739","34739","209"
"publicpolygonfeature:5:43793","ZIP Code 34741","country:us/state:fl/zip:34741","34741","26364"
"publicpolygonfeature:5:43794","ZIP Code 34743","country:us/state:fl/zip:34743","34743","2304"
"publicpolygonfeature:5:43795","ZIP Code 34744","country:us/state:fl/zip:34744","34744","24725"
"publicpolygonfeature:5:43796","ZIP Code 34746","country:us/state:fl/zip:34746","34746","14703"
"publicpolygonfeature:5:43797","ZIP Code 34747","country:us/state:fl/zip:34747","34747","26204"
"publicpolygonfeature:5:43798","ZIP Code 34748","country:us/state:fl/zip:34748","34748","17141"
"publicpolygonfeature:5:43799","ZIP Code 34753","country:us/state:fl/zip:34753","34753","643"
"publicpolygonfeature:5:43800","ZIP Code 34759","country:us/state:fl/zip:34759","34759","2398"
"publicpolygonfeature:5:43801","ZIP Code 34760","country:us/state:fl/zip:34760","34760","912"
"publicpolygonfeature:5:43802","ZIP Code 34761","country:us/state:fl/zip:34761","34761","18099"
"publicpolygonfeature:5:43803","ZIP Code 34762","country:us/state:fl/zip:34762","34762","358"
"publicpolygonfeature:5:43804","ZIP Code 34769","country:us/state:fl/zip:34769","34769","8931"
"publicpolygonfeature:5:43805","ZIP Code 34771","country:us/state:fl/zip:34771","34771","2609"
"publicpolygonfeature:5:43807","ZIP Code 34772","country:us/state:fl/zip:34772","34772","3059"
"publicpolygonfeature:5:43808","ZIP Code 34773","country:us/state:fl/zip:34773","34773","352"
"publicpolygonfeature:5:43811","ZIP Code 34786","country:us/state:fl/zip:34786","34786","7149"
"publicpolygonfeature:5:43812","ZIP Code 34787","country:us/state:fl/zip:34787","34787","30882"
"publicpolygonfeature:5:43813","ZIP Code 34788","country:us/state:fl/zip:34788","34788","6007"
"publicpolygonfeature:5:43814","ZIP Code 34797","country:us/state:fl/zip:34797","34797","135"
"publicpolygonfeature:5:6695185","ZIP Code 32816","country:us/state:fl/zip:32816","32816","9979"
"publicpolygonfeature:5:6696728","ZIP Code 32768","country:us/state:fl/zip:32768","32768","65"
"publicpolygonfeature:5:6702949","ZIP Code 34729","country:us/state:fl/zip:34729","34729","2"
"publicpolygonfeature:22:928539","Orlando-Kissimmee-Sanford, FL Area","country:us/state:fl/msa:orlando-kissimmee-sanford","36740","1482556"
