"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:44548","ZIP Code 37076","country:us/state:tn/zip:37076","37076","11807"
"publicpolygonfeature:5:44549","ZIP Code 37033","country:us/state:tn/zip:37033","37033","2303"
"publicpolygonfeature:5:44550","ZIP Code 37165","country:us/state:tn/zip:37165","37165",
"publicpolygonfeature:5:44552","ZIP Code 37035","country:us/state:tn/zip:37035","37035","86"
"publicpolygonfeature:5:44554","ZIP Code 37036","country:us/state:tn/zip:37036","37036","1215"
"publicpolygonfeature:5:44556","ZIP Code 37037","country:us/state:tn/zip:37037","37037","1160"
"publicpolygonfeature:5:44557","ZIP Code 37217","country:us/state:tn/zip:37217","37217","26390"
"publicpolygonfeature:5:44562","ZIP Code 37046","country:us/state:tn/zip:37046","37046","1087"
"publicpolygonfeature:5:44563","ZIP Code 37115","country:us/state:tn/zip:37115","37115","14844"
"publicpolygonfeature:5:44564","ZIP Code 37048","country:us/state:tn/zip:37048","37048","323"
"publicpolygonfeature:5:44565","ZIP Code 37049","country:us/state:tn/zip:37049","37049","183"
"publicpolygonfeature:5:44566","ZIP Code 37118","country:us/state:tn/zip:37118","37118","36"
"publicpolygonfeature:5:44569","ZIP Code 37051","country:us/state:tn/zip:37051","37051","407"
"publicpolygonfeature:5:44571","ZIP Code 37055","country:us/state:tn/zip:37055","37055","14953"
"publicpolygonfeature:5:44572","ZIP Code 37057","country:us/state:tn/zip:37057","37057","21"
"publicpolygonfeature:5:44575","ZIP Code 37062","country:us/state:tn/zip:37062","37062","1888"
"publicpolygonfeature:5:44576","ZIP Code 37064","country:us/state:tn/zip:37064","37064","35720"
"publicpolygonfeature:5:44577","ZIP Code 37066","country:us/state:tn/zip:37066","37066","28159"
"publicpolygonfeature:5:44579","ZIP Code 37067","country:us/state:tn/zip:37067","37067","55859"
"publicpolygonfeature:5:44580","ZIP Code 37069","country:us/state:tn/zip:37069","37069","3359"
"publicpolygonfeature:5:44581","ZIP Code 37072","country:us/state:tn/zip:37072","37072","15309"
"publicpolygonfeature:5:44582","ZIP Code 37073","country:us/state:tn/zip:37073","37073","1862"
"publicpolygonfeature:5:44583","ZIP Code 37074","country:us/state:tn/zip:37074","37074","1867"
"publicpolygonfeature:5:44584","ZIP Code 37075","country:us/state:tn/zip:37075","37075","22148"
"publicpolygonfeature:5:44585","ZIP Code 37080","country:us/state:tn/zip:37080","37080","1041"
"publicpolygonfeature:5:44586","ZIP Code 37082","country:us/state:tn/zip:37082","37082","1005"
"publicpolygonfeature:5:44587","ZIP Code 37218","country:us/state:tn/zip:37218","37218","2724"
"publicpolygonfeature:5:44588","ZIP Code 37083","country:us/state:tn/zip:37083","37083","4818"
"publicpolygonfeature:5:44589","ZIP Code 37085","country:us/state:tn/zip:37085","37085","252"
"publicpolygonfeature:5:44590","ZIP Code 37087","country:us/state:tn/zip:37087","37087","22133"
"publicpolygonfeature:5:44591","ZIP Code 37219","country:us/state:tn/zip:37219","37219","16199"
