ZIP_Code,Actual_Rent,Predicted_Rent,Rent_Difference,Population,Bachelors_Pct,Median_Income,Spatial_Mismatch_Index,Mismatch_Tier,Unemployment_Rate_Pct,Predicted_Unemployment_Pct,Job_Density_Ratio,Transit_Pct,Drive_Alone_Pct,Mean_Commute_Time,Long_Commute_Share_Pct,Short_Commute_Share_Pct,Dominant_Sector,Transport_Verdict,Skills_Predicted_Score,Skills_Actual_Score,Skills_Prediction_Error,Skills_Severity,Skills_Gap_LessThan_HS,housing_score,spatial_score,skills_score,composite_score,color_label
32091,830,967,-137,14719,18.0,62852,85.6,High,4.67,6.47,0.456,0.0,84.9,32.5813335618786,45.37,36.8,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.11200337,0.113127996,0.001124624,Low,-0.061147168,83.33333333333334,3.7037037037037095,92.5925925925926,59.87654320987655,yellow
32092,2424,2336,88,53071,51.4,131020,29.6,Low,2.02,4.05,0.246,0.0,92.5,32.7751452614706,54.92,10.55,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.24816588,0.262487029,0.014321153,Moderate,-0.102961368,5.555555555555557,62.96296296296296,46.29629629629629,38.2716049382716,yellow
32095,2676,2601,75,21399,56.4,136038,39.8,Medium,4.6,4.49,0.363,0.42,90.0,30.1288447909284,45.36,18.58,Manufacturing,MONITOR â€” moderate mismatch,0.26120752,0.28677477,0.025567249,Moderate,-0.097299265,9.259259259259252,31.48148148148148,18.51851851851852,19.753086419753085,red
32097,1892,1809,83,26700,28.1,93161,34.7,Medium,2.88,4.27,0.288,0.37,93.6,30.5222566443828,43.07,17.67,Retail,MONITOR â€” moderate mismatch,0.08990216,0.082675448,0.007226714,Low,-0.068844059,7.407407407407405,43.518518518518526,72.22222222222223,41.04938271604939,yellow
32145,1113,1090,23,5759,12.6,75557,41.3,Medium,8.58,4.56,0.112,0.04,79.6,37.1050600343053,52.66,6.65,Retail,UPGRADE TRANSIT â€” long commutes + high unemployment,0.10979352,0.085041392,0.02475213,Low,-0.03518317,18.51851851851852,27.777777777777786,22.222222222222214,22.839506172839506,red
32202,1124,1115,9,6023,17.9,34825,51.4,Medium,7.91,5.0,8.578,8.05,84.8,20.7695936139332,16.69,39.04,Prof/Tech,"INVESTIGATE â€” employment center, low transit coverage",0.15098335,0.122359908,0.028623441,Low,0.091920715,29.629629629629633,20.370370370370367,9.259259259259252,19.753086419753085,red
32204,1167,1257,-90,9151,42.4,65063,31.0,Low,4.02,4.11,2.817,0.0,89.5,21.2893658066071,26.4,35.25,Health Care,UPGRADE TRANSIT â€” no transit infrastructure,0.12574162,0.148564716,0.0228231,Low,-0.011161275,59.25925925925926,57.407407407407405,27.777777777777786,48.14814814814815,yellow
32205,1263,1359,-96,29148,37.9,64789,33.4,Medium,2.57,4.22,0.544,1.28,90.6,25.6601974933535,30.53,27.66,Retail,MONITOR â€” moderate mismatch,0.13680618,0.173373344,0.036567169,Low,-0.082164215,66.66666666666667,50.0,3.7037037037037095,40.12345679012346,yellow
32206,860,1006,-146,17105,22.6,39242,100.0,High,8.6,7.1,0.716,6.08,75.5,26.454207920792,30.63,24.9,Health Care,MONITOR â€” high unemployment despite some transit,0.09202305,0.050023667,0.041999385,Low,0.030538078,88.88888888888889,0.0,1.8518518518518476,30.24691358024691,red
32207,1266,1367,-101,36998,39.2,65234,33.5,Medium,3.05,4.22,2.505,0.47,87.0,21.7898123839405,24.66,32.65,Health Care,MONITOR â€” moderate mismatch,0.09083483,0.093662867,0.002828034,Low,-0.017792933,68.51851851851852,48.14814814814815,87.03703703703704,67.90123456790123,green
32208,1214,1266,-52,32699,15.6,41324,66.4,High,7.06,5.64,0.472,4.62,81.7,26.8663101604278,34.48,18.95,Finance,MONITOR â€” moderate mismatch,0.11307865,0.113168755,9.01e-05,Low,-0.00200408,42.592592592592595,11.111111111111114,98.14814814814815,50.617283950617285,yellow
32209,1062,1164,-102,34657,12.5,30514,94.5,High,12.87,6.86,1.015,7.66,78.0,25.6344830835925,30.61,18.56,Health Care,MONITOR â€” high unemployment despite some transit,0.09946115,0.125677236,0.026216083,Low,0.020772418,70.37037037037038,1.8518518518518476,16.666666666666657,29.62962962962963,red
32210,1293,1431,-138,65729,22.9,61050,51.0,Medium,7.62,4.98,0.264,1.4,87.8,27.5289513758543,36.28,19.99,Retail,UPGRADE TRANSIT + JOB CREATION â€” severe job deficit,0.09873231,0.071786154,0.026946153,Low,-0.0644682,85.18518518518519,22.222222222222214,14.81481481481481,40.74074074074074,yellow
32211,1185,1270,-85,36762,21.6,57021,53.2,Medium,7.58,5.07,0.239,1.72,85.0,26.0378619925176,31.95,15.8,Construction,UPGRADE TRANSIT + JOB CREATION â€” severe job deficit,0.069598526,0.045889086,0.02370944,Low,-0.036051594,57.407407407407405,18.51851851851852,24.074074074074076,33.333333333333336,yellow
32216,1364,1458,-94,42298,33.4,61821,23.0,Low,4.17,3.77,1.474,0.42,89.8,22.9638159834857,24.91,23.35,Health Care,MONITOR â€” moderate mismatch,0.09934681,0.09333067,0.006016139,Low,-0.067731781,64.81481481481481,77.77777777777777,79.62962962962963,74.07407407407408,green
32217,1261,1631,-370,20221,41.3,73832,34.7,Medium,3.08,4.27,0.556,2.52,90.7,23.5964350453172,25.92,18.97,Health Care,MONITOR â€” moderate mismatch,0.16035964,0.151402,0.008957636,Low,-0.090212205,98.14814814814815,43.518518518518526,62.96296296296296,68.20987654320989,green
32218,1503,1559,-56,72905,26.0,69638,40.3,Medium,4.65,4.51,0.479,0.51,87.6,26.1887896995708,36.61,20.1,Retail,MONITOR â€” moderate mismatch,0.10294537,0.082828447,0.020116926,Low,-0.079516089,47.22222222222222,29.629629629629633,31.48148148148148,36.11111111111111,yellow
32219,1292,1244,48,14302,21.5,72184,36.6,Medium,5.46,4.36,0.358,0.02,89.9,29.0521134393063,45.29,17.92,Retail,"UPGRADE TRANSIT â€” below-median transit, high unemployment",0.08125433,0.050928592,0.030325741,Low,-0.033386051,16.666666666666657,40.74074074074075,7.407407407407405,21.604938271604937,red
32220,1330,1320,10,12298,19.6,81792,16.9,Low,1.17,3.5,0.337,1.24,90.2,25.1978920588769,34.62,17.45,Manufacturing,MONITOR â€” moderate mismatch,0.10887411,0.075341169,0.033532943,Low,-0.075341169,26.851851851851848,88.88888888888889,5.555555555555557,40.432098765432094,yellow
32221,1708,1693,15,32833,24.4,82969,37.2,Medium,5.84,4.38,0.249,0.98,89.1,27.9351542318796,40.64,17.03,Prof/Tech,UPGRADE TRANSIT + JOB CREATION â€” severe job deficit,0.089881435,0.08034933,0.009532105,Low,-0.065738864,24.074074074074076,35.18518518518519,59.25925925925926,39.50617283950618,yellow
32222,1795,1888,-93,18258,27.9,85649,56.1,Medium,7.29,5.2,0.234,1.34,89.5,31.4542569752125,46.62,9.58,Retail,UPGRADE TRANSIT + JOB CREATION â€” severe job deficit,0.10990975,0.106545685,0.003364065,Low,-0.086383382,62.96296296296296,16.666666666666657,85.18518518518519,54.93827160493827,yellow
32223,1587,1793,-206,26160,45.0,95347,21.1,Low,2.64,3.68,0.656,0.6,90.1,27.8702230944019,38.75,15.47,Retail,MONITOR â€” moderate mismatch,0.18494801,0.187666084,0.002718072,Low,-0.108352912,92.5925925925926,79.62962962962963,90.74074074074073,87.65432098765432,green
32224,1764,1870,-106,42092,56.9,88259,26.1,Low,4.46,3.9,1.111,0.71,91.4,23.940951524013,26.25,29.99,Health Care,MONITOR â€” moderate mismatch,0.24769437,0.248457822,0.000763449,Moderate,-0.095098247,74.07407407407408,72.22222222222223,94.44444444444444,80.24691358024693,green
