geoid,city,actual_rent,actual_rent_percentile,predicted_rent,predicted_rent_percentile,rent_discrepancy_dollars,rent_discrepancy_pct,rent_discrepancy_pct_percentile,median_income,median_income_percentile,poverty_rate,poverty_rate_percentile,affluence_rate,affluence_rate_percentile,avg_housing_age,avg_housing_age_percentile,housing_cost_burden,housing_cost_burden_percentile,population_growth,population_growth_percentile,population_density,population_density_percentile,transit_usage,transit_usage_percentile,commute_time,commute_time_percentile
33004,Miami,1801.0,69.9367088607595,1557.0422,50.17261219792866,243.957763671875,15.668024795986607,93.78596087456847,52574.0,7.349537037037036,26.739580254212235,90.9090909090909,57.357375110848366,10.529344073647872,44.02865794311697,52.81933256616801,24.051043581702174,98.04372842347526,3.57973,30.09205983889528,1.8485995457986375,10.47180667433832,1.507260002733939,70.25316455696202,28.172306019839652,52.71049596309112
33009,Miami,1649.0,57.27848101265823,1695.1488,61.04718066743383,-46.1488037109375,-2.7224042874531595,36.36363636363637,52079.0,6.944444444444445,23.94201068698848,86.99654775604144,59.27896647351927,13.176064441887227,46.58652657601965,58.918296892980436,16.277405503870927,69.67779056386651,9.95447,58.68814729574223,1.447596122568473,3.1070195627157653,2.4930230961102597,79.86191024165707,30.24363233665559,68.10841983852364
33010,Miami,1394.0,40.4487917146145,1449.1353,41.88722669735328,-55.13525390625,-3.804700338193339,31.645569620253166,46553.0,3.877314814814815,28.65411741816236,93.0379746835443,49.92217520307408,5.523590333716916,54.1714036399901,74.97123130034522,26.05958613812017,99.30955120828538,-4.45005,4.545454545454546,2.599164796808776,71.2313003452244,1.766596545627284,73.30264672036823,26.95929694727105,41.46482122260669
33012,Miami,1665.0,58.97583429228999,1604.8254,54.31530494821634,60.174560546875,3.7496016119597804,71.86421173762946,51450.0,6.481481481481481,22.586943603384363,84.69505178365938,56.47018874331475,9.49367088607595,52.71971863646945,72.09436133486766,22.891705959650615,97.18066743383199,-2.95945,6.962025316455696,2.7447244337945427,83.3716915995397,1.1936318424805044,65.07479861910241,28.15581756332772,52.595155709342556
33013,Miami,1679.0,60.01150747986191,1481.7882,44.533947065592635,197.2117919921875,13.309040450344018,91.94476409666284,60658.0,14.699074074074073,22.15778026758057,83.65937859608745,58.854544256244644,12.543153049482164,59.88484720312954,84.11967779056386,24.15670931585069,98.27387802071347,-8.8261,1.4959723820483315,3.2457438934122873,98.79171461449943,0.8619754646357259,58.515535097813576,29.177849700031576,61.18800461361015
33014,Miami,1827.0,71.31760644418873,1710.5383,62.14039125431531,116.461669921875,6.8084805744490895,80.7825086306099,77338.0,38.19444444444444,17.713543670642554,72.72727272727273,67.24942285494421,25.949367088607595,45.56737402273188,56.67433831990793,21.946652650942777,95.91484464902187,-0.52226,12.83084004602992,2.732934761185205,82.16340621403913,1.199521938030887,65.18987341772153,27.5790878214459,46.77047289504037
33015,Miami,1936.0,78.16455696202532,1939.6028,78.7686996547756,-3.602783203125,-0.18574850656665087,49.48216340621404,77339.0,38.25231481481482,17.058385310916023,70.59838895281933,68.2379234286215,27.848101265822784,36.048088624061165,31.703107019562715,22.342746842348202,96.54775604142692,3.18151,27.617951668584578,2.8908144853342286,91.02416570771001,0.8953458625737752,59.72382048331415,34.60434976910472,89.56170703575548
33016,Miami,1883.0,75.51783659378596,1864.0554,74.22324510932106,18.944580078125,1.0163099163070481,56.55926352128884,58479.0,12.268518518518519,23.74820223476048,86.76639815880323,55.21407235313641,8.57307249712313,35.84203949012749,31.185270425776757,25.028117970507374,98.90678941311852,1.27517,20.080552359033373,2.8462259435141215,88.83774453394706,0.5397929663154749,51.093210586881476,30.72984584281021,71.16493656286043
33018,Miami,2269.0,89.70080552359033,1919.2787,77.44533947065592,349.7213134765625,18.221497270416954,95.16685845799769,89639.0,54.861111111111114,12.930691355888207,51.72612197928653,73.2439214328978,40.909090909090914,25.613833970205633,10.989643268124281,21.85025197984161,95.79976985040275,17.15535,76.46720368239356,3.207675693636817,98.15880322209436,0.3400777096281655,44.131185270425775,34.32806896801536,88.86966551326412
33019,Miami,2117.0,85.47180667433832,2134.806,86.93901035673187,-17.805908203125,-0.834076209678111,45.85730724971231,96497.0,62.557870370370374,10.081858252291331,36.93901035673188,79.18561533617854,58.918296892980436,47.18315571814833,59.95397008055235,13.158104024176874,42.28998849252014,16.6946,75.8342922899885,1.1367106728169238,0.805523590333717,0.6059966360213234,53.04948216340621,30.755536257056015,71.51095732410612
33020,Miami,1536.0,50.43153049482163,1509.0587,46.835443037974684,26.9412841796875,1.7853039048280124,61.219792865362486,56473.0,10.358796296296296,23.345435457766502,85.9608745684695,58.088010148287474,11.565017261219793,55.5194329122869,77.56041426927503,24.838795159438213,98.56156501726122,10.1975,59.49367088607595,2.045844006713188,20.253164556962027,3.6133180350625813,86.88147295742232,29.130062088777684,60.78431372549019
33021,Miami,1775.0,67.63521288837745,1810.6552,70.36823935558112,-35.6551513671875,-1.9691850952548888,39.52819332566168,71318.0,28.703703703703702,16.26468252309493,67.03107019562717,70.65376416001338,33.77445339470656,49.888378857428506,65.82278481012658,20.19270099531882,91.19677790563865,8.2429,52.07134637514385,2.2026087351724764,30.55235903337169,0.8563349647812734,58.28538550057537,28.460875807609476,55.65167243367936
33023,Miami,1750.0,65.65017261219793,1805.9534,69.90794016110472,-55.953369140625,-3.098273194465192,34.86766398158803,74709.0,34.11458333333333,16.39098579040853,67.49136939010357,64.50377442273535,20.94361334867664,55.24910386334477,77.33026467203682,21.781652431738728,95.56962025316456,4.98377,36.881472957422325,3.2014869230428817,97.9861910241657,2.4896118288135782,79.80437284234753,32.07992118711902,79.75778546712803
33024,Miami,1848.0,72.81357882623706,1775.4869,68.00920598388953,72.5130615234375,4.084122499130101,73.13003452243959,80061.0,42.245370370370374,17.079019787708035,70.77100115074798,68.08282007600577,27.502876869965476,46.80230137401122,59.321058688147296,20.511752905106174,92.52013808975835,17.0744,76.35212888377445,2.8988606684583065,91.25431530494822,0.5658041896019339,51.89873417721519,30.48355138552988,69.66551326412919
