"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","1296","1322","216","73","153","210","128","931","171","665","376","358","0","8","295","123","384","547","1200","0","7","45","8","65","127"
"publicpolygonfeature:5:63619","ZIP Code 94525","country:us/state:ca/zip:94525","94525","173","73","57","9","21","6","0","95","6","24","15","0","0","8","34","31","28","24","144","0","12","13","0","9","7"
"publicpolygonfeature:5:63621","ZIP Code 94526","country:us/state:ca/zip:94526","94526","1146","1114","197","44","108","131","282","682","214","693","120","116","0","0","67","39","90","950","788","0","0","0","31","0","11"
"publicpolygonfeature:5:63622","ZIP Code 94528","country:us/state:ca/zip:94528","94528","88","0","0","0","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63623","ZIP Code 94530","country:us/state:ca/zip:94530","94530","804","571","458","107","519","308","110","808","332","512","120","177","4","14","220","130","258","376","936","0","8","0","148","1","49"
"publicpolygonfeature:5:63624","ZIP Code 94531","country:us/state:ca/zip:94531","94531","1436","966","295","121","122","313","115","721","149","731","435","837","255","97","550","162","532","1278","2194","0","13","25","182","63","271"
"publicpolygonfeature:5:63628","ZIP Code 94536","country:us/state:ca/zip:94536","94536","2121","1247","1519","601","620","362","271","1623","404","1154","401","913","44","13","504","125","316","956","1927","6","0","62","387","147","233"
"publicpolygonfeature:5:63630","ZIP Code 94538","country:us/state:ca/zip:94538","94538","1714","1357","1965","585","265","295","162","968","408","1050","308","1062","147","42","728","305","378","1242","2091","0","5","23","711","93","343"
"publicpolygonfeature:5:63631","ZIP Code 94539","country:us/state:ca/zip:94539","94539","1976","1362","2244","709","512","124","187","1060","331","513","223","315","12","0","139","46","136","671","986","13","17","19","171","10","80"
"publicpolygonfeature:5:63632","ZIP Code 94541","country:us/state:ca/zip:94541","94541","1598","1181","383","97","147","365","189","1031","166","935","620","1337","174","66","746","614","358","1522","2674","107","110","37","493","198","405"
"publicpolygonfeature:5:63633","ZIP Code 94542","country:us/state:ca/zip:94542","94542","463","357","72","0","129","147","101","351","103","219","126","122","0","5","186","89","111","184","700","0","0","0","65","7","47"
"publicpolygonfeature:5:63634","ZIP Code 94544","country:us/state:ca/zip:94544","94544","1760","1229","388","214","355","364","106","885","146","666","553","1418","154","12","1667","1154","350","1793","2896","0","109","18","1412","238","676"
"publicpolygonfeature:5:63635","ZIP Code 94545","country:us/state:ca/zip:94545","94545","863","493","216","13","85","81","120","474","135","441","203","674","27","16","427","198","411","527","1247","0","86","13","562","129","184"
"publicpolygonfeature:5:63636","ZIP Code 94546","country:us/state:ca/zip:94546","94546","1221","942","442","71","238","634","185","1143","236","683","252","936","113","0","447","177","495","720","1642","25","0","65","144","145","122"
"publicpolygonfeature:5:63637","ZIP Code 94547","country:us/state:ca/zip:94547","94547","813","541","203","121","209","310","65","425","102","489","414","503","0","7","229","129","176","625","1272","0","0","0","73","30","61"
"publicpolygonfeature:5:63638","ZIP Code 94548","country:us/state:ca/zip:94548","94548","0","0","34","0","0","0","0","25","0","0","0","74","0","0","18","0","15","38","24","0","0","0","0","0","0"
"publicpolygonfeature:5:63640","ZIP Code 94549","country:us/state:ca/zip:94549","94549","1611","681","145","55","111","129","136","677","204","577","62","63","75","0","86","0","110","678","636","0","0","0","39","42","61"
"publicpolygonfeature:5:63641","ZIP Code 94551","country:us/state:ca/zip:94551","94551","1146","861","473","124","289","163","139","1109","237","422","328","280","0","54","334","346","378","790","1216","0","0","31","112","113","167"
"publicpolygonfeature:5:63642","ZIP Code 94578","country:us/state:ca/zip:94578","94578","893","749","187","102","157","230","107","406","126","499","137","1204","59","24","663","409","457","431","2022","0","86","109","505","57","419"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","2010","993","697","171","504","201","87","1355","239","904","69","406","28","70","435","90","650","1076","1313","18","20","0","176","47","144"
"publicpolygonfeature:5:63644","ZIP Code 94552","country:us/state:ca/zip:94552","94552","721","563","119","64","57","39","57","270","118","307","44","120","16","0","136","20","35","218","419","31","43","36","22","4","0"
"publicpolygonfeature:5:63645","ZIP Code 94553","country:us/state:ca/zip:94553","94553","1690","920","207","56","115","271","210","1130","190","869","214","566","53","0","628","206","633","1143","2029","0","19","0","230","66","193"
"publicpolygonfeature:5:63646","ZIP Code 94556","country:us/state:ca/zip:94556","94556","516","494","106","65","116","54","135","516","157","296","40","67","10","0","72","16","81","337","192","0","0","0","23","14","19"
"publicpolygonfeature:5:63649","ZIP Code 94560","country:us/state:ca/zip:94560","94560","1629","1189","1111","399","306","177","163","518","150","807","276","562","44","14","328","220","452","1129","1456","65","11","34","398","86","222"
"publicpolygonfeature:5:63650","ZIP Code 94561","country:us/state:ca/zip:94561","94561","1032","1084","78","270","43","241","98","1203","203","580","346","752","124","35","557","154","368","1034","2341","0","0","14","122","193","245"
"publicpolygonfeature:5:63651","ZIP Code 94563","country:us/state:ca/zip:94563","94563","684","462","197","48","219","65","235","494","211","439","37","98","27","0","50","23","152","132","185","0","5","0","0","11","11"
"publicpolygonfeature:5:63652","ZIP Code 94564","country:us/state:ca/zip:94564","94564","437","368","56","25","115","166","82","490","93","258","204","489","4","0","184","57","156","421","731","0","0","0","83","0","19"
"publicpolygonfeature:5:63653","ZIP Code 94565","country:us/state:ca/zip:94565","94565","2083","1081","532","97","149","461","407","1504","182","871","605","2554","218","59","1643","1455","1076","2730","3861","178","95","87","719","325","342"
"publicpolygonfeature:5:63655","ZIP Code 94568","country:us/state:ca/zip:94568","94568","2511","2257","2177","500","581","310","195","1478","408","1398","148","300","7","19","511","69","430","1314","1609","0","0","39","368","116","170"
"publicpolygonfeature:5:63656","ZIP Code 94569","country:us/state:ca/zip:94569","94569","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","32","0","0","11","0","0","0","0"
"publicpolygonfeature:5:63657","ZIP Code 94579","country:us/state:ca/zip:94579","94579","327","340","23","34","32","51","116","334","87","262","127","509","49","0","572","40","254","436","779","0","0","40","432","15","145"
"publicpolygonfeature:5:63659","ZIP Code 94572","country:us/state:ca/zip:94572","94572","148","86","46","85","44","31","15","126","0","78","45","95","0","38","138","50","166","191","437","0","13","0","69","0","0"
"publicpolygonfeature:5:63661","ZIP Code 94580","country:us/state:ca/zip:94580","94580","585","327","143","80","108","159","75","530","108","278","241","704","66","46","379","172","335","468","1728","18","0","19","438","97","324"
"publicpolygonfeature:5:63662","ZIP Code 94582","country:us/state:ca/zip:94582","94582","2105","1352","1531","225","194","189","124","993","187","752","158","292","63","0","301","0","230","1201","873","0","0","0","54","25","23"
"publicpolygonfeature:5:63664","ZIP Code 94575","country:us/state:ca/zip:94575","94575","0","4","0","9","0","4","0","0","31","0","0","3","0","0","16","0","13","16","64","0","0","0","0","0","27"
"publicpolygonfeature:5:63666","ZIP Code 94577","country:us/state:ca/zip:94577","94577","1132","889","409","194","254","261","221","921","323","389","197","765","183","34","706","217","394","1143","2214","38","0","28","535","98","254"
