"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","0","0","0","0","0","0","0","6","0","43","27","23","0","0","0","0","0","0","44","0","0","0","37","0","0"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","30","15","0","0","0","0","0","6","0","10","11","8","0","0","0","0","8","36","65","0","0","0","7","1","0"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","99","31","44","0","0","31","4","193","30","299","88","32","0","0","10","4","124","92","209","0","0","0","33","0","40"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","321","84","35","40","0","23","32","133","22","90","13","24","0","42","46","4","28","231","229","0","0","0","83","14","8"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","11","0","3","0","0","0","0","12","3","25","2","3","0","0","3","0","2","10","0","0","0","0","2","0","2"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","684","673","126","70","73","63","52","606","106","496","182","82","0","0","241","97","290","606","864","11","0","13","258","32","56"
"publicpolygonfeature:5:45681","ZIP Code 40019","country:us/state:ky/zip:40019","40019","60","16","11","0","8","3","0","64","40","22","29","170","0","0","13","18","14","129","68","0","10","0","41","0","18"
"publicpolygonfeature:5:45682","ZIP Code 40020","country:us/state:ky/zip:40020","40020","14","0","0","7","0","0","0","0","3","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"publicpolygonfeature:5:45683","ZIP Code 40031","country:us/state:ky/zip:40031","40031","413","546","161","6","34","201","61","527","130","447","165","406","26","15","399","204","173","264","719","13","34","0","142","21","57"
"publicpolygonfeature:5:45684","ZIP Code 40036","country:us/state:ky/zip:40036","40036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45686","ZIP Code 40228","country:us/state:ky/zip:40228","40228","405","209","134","28","48","134","63","341","71","343","175","306","0","0","166","74","127","455","1000","0","25","0","224","82","99"
"publicpolygonfeature:5:45687","ZIP Code 40046","country:us/state:ky/zip:40046","40046","22","7","0","0","0","0","0","15","0","0","8","0","0","0","42","7","54","0","33","0","0","0","0","0","0"
"publicpolygonfeature:5:45688","ZIP Code 40047","country:us/state:ky/zip:40047","40047","733","350","55","20","22","99","119","597","44","544","275","192","40","0","168","45","330","305","1299","10","12","0","230","80","301"
