"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","291","172","0","0","10","43","7","235","19","53","105","138","19","6","31","38","34","223","308","0","15","0","17","0","27"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","408","299","30","0","0","115","59","331","106","306","91","241","0","0","186","123","94","424","844","0","172","9","103","55","109"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","339","206","41","36","3","193","27","164","95","231","152","398","83","0","491","160","227","592","976","0","0","24","89","65","150"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","952","1124","413","0","117","291","163","963","228","1051","195","177","49","54","627","111","310","1144","1612","0","115","0","84","21","40"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","769","782","146","11","27","248","10","1102","96","851","263","148","0","15","511","203","274","1133","1453","0","56","44","36","60","58"
"publicpolygonfeature:5:42833","ZIP Code 33545","country:us/state:fl/zip:33545","33545","722","613","668","0","55","256","42","724","309","438","363","207","0","30","438","94","181","1414","1188","0","23","0","33","134","142"
"publicpolygonfeature:5:42913","ZIP Code 33810","country:us/state:fl/zip:33810","33810","744","845","322","56","64","140","169","839","194","601","496","974","25","14","769","201","743","1506","1959","15","56","71","401","126","331"
"publicpolygonfeature:5:43513","ZIP Code 33556","country:us/state:fl/zip:33556","33556","1588","732","190","49","143","166","272","781","150","800","271","268","21","0","220","61","207","836","1098","0","75","0","86","46","53"
"publicpolygonfeature:5:43528","ZIP Code 33511","country:us/state:fl/zip:33511","33511","1564","1130","390","170","145","326","196","996","202","907","559","716","135","15","653","346","631","1453","2937","0","83","21","320","444","231"
"publicpolygonfeature:5:43532","ZIP Code 33523","country:us/state:fl/zip:33523","33523","357","127","0","0","37","111","62","343","8","232","139","203","0","0","333","227","33","549","830","226","25","0","41","14","75"
