"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","27","0","0","0","0","0","0","0","0","24","0","0","13","0","0","0","7","0","0","0","23","24","0","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","1264","1148","260","77","153","349","29","1064","432","926","198","425","42","83","518","196","713","1152","2469","48","24","42","206","124","197"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","1214","1193","515","107","143","190","255","1046","372","1258","156","489","47","0","415","160","388","1123","1613","0","0","36","214","55","55"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","0","40","39","0","26","0","42","27","0","42","89","0","0","0","0","121","13","4","178","0","0","0","33","15","16"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","19","0","0","0","0","10","0","52","4","13","0","0","0","0","21","5","0","0","38","0","0","0","14","0","0"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","713","399","99","31","60","40","42","518","100","259","25","307","18","10","276","11","116","398","486","0","45","11","111","62","35"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","1562","881","549","90","141","379","127","1072","91","594","245","450","65","59","824","193","472","1285","2290","0","67","115","192","63","171"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","96","16","24","0","0","81","29","74","16","25","14","0","0","12","0","8","0","15","84","0","0","0","31","11","0"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","1956","1614","159","70","102","263","135","2364","157","818","448","854","157","3","880","549","768","1903","3581","16","73","61","594","231","334"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","2085","1933","665","192","124","216","204","1971","116","1159","700","533","59","53","513","111","574","1604","2803","1","33","40","353","150","402"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","3170","3289","1320","306","195","576","324","2471","1014","1446","603","762","199","156","904","192","754","2192","3427","84","69","33","210","130","321"
"publicpolygonfeature:5:59984","ZIP Code 78642","country:us/state:tx/zip:78642","78642","1353","525","170","34","36","61","57","916","146","391","78","283","11","22","286","65","142","514","676","0","0","0","164","40","116"
"publicpolygonfeature:5:59987","ZIP Code 78644","country:us/state:tx/zip:78644","78644","544","489","75","65","0","71","52","414","155","94","47","311","0","10","383","224","124","570","876","0","11","0","82","79","76"
"publicpolygonfeature:5:59988","ZIP Code 78645","country:us/state:tx/zip:78645","78645","546","371","141","3","43","36","77","336","124","220","137","114","0","0","56","131","85","143","515","14","69","0","36","10","36"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","165","59","9","0","0","74","0","207","115","34","95","141","3","0","307","151","29","162","239","0","0","19","12","8","112"
"publicpolygonfeature:5:59991","ZIP Code 78650","country:us/state:tx/zip:78650","78650","22","0","5","4","0","5","0","16","15","36","0","22","18","0","0","2","4","43","145","5","0","0","14","9","0"
"publicpolygonfeature:5:59992","ZIP Code 78652","country:us/state:tx/zip:78652","78652","178","65","158","18","111","41","21","137","0","43","15","0","0","0","38","10","42","53","229","0","0","0","20","0","11"
"publicpolygonfeature:5:59993","ZIP Code 78653","country:us/state:tx/zip:78653","78653","1394","668","157","233","61","48","171","1090","293","600","184","578","22","0","710","272","269","619","2237","0","56","2","140","19","174"
"publicpolygonfeature:5:59995","ZIP Code 78654","country:us/state:tx/zip:78654","78654","593","264","9","18","35","30","27","268","48","328","152","308","0","0","470","276","60","590","822","0","30","32","77","0","10"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","104","2","0","0","7","0","0","111","4","3","65","31","0","0","49","167","0","53","304","0","4","0","28","0","15"
"publicpolygonfeature:5:59997","ZIP Code 78660","country:us/state:tx/zip:78660","78660","3426","4196","1599","264","250","746","459","3671","815","2377","572","791","128","40","1607","864","1251","2613","4594","0","81","62","863","364","439"
"publicpolygonfeature:5:59998","ZIP Code 78661","country:us/state:tx/zip:78661","78661","7","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","6","42","115","0","0","0","0","0","0"
"publicpolygonfeature:5:59999","ZIP Code 78662","country:us/state:tx/zip:78662","78662","34","36","0","0","31","0","77","51","0","31","0","0","0","0","13","16","0","0","84","0","0","18","62","0","156"
"publicpolygonfeature:5:60002","ZIP Code 78664","country:us/state:tx/zip:78664","78664","1549","1572","647","356","291","217","177","1019","273","893","347","787","34","80","1113","550","534","1716","3280","0","59","93","996","223","394"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","1550","1346","387","151","431","477","327","2870","529","788","833","636","243","18","3978","905","1140","2732","2953","90","165","35","628","190","590"
"publicpolygonfeature:5:60004","ZIP Code 78669","country:us/state:tx/zip:78669","78669","591","376","6","16","9","81","68","223","75","217","21","89","0","0","77","34","134","351","322","0","7","0","58","17","26"
"publicpolygonfeature:5:60005","ZIP Code 78676","country:us/state:tx/zip:78676","78676","418","176","56","0","21","32","31","214","84","201","72","76","0","0","104","24","110","159","314","0","154","0","30","26","4"
"publicpolygonfeature:5:60007","ZIP Code 78681","country:us/state:tx/zip:78681","78681","1665","1403","1097","114","93","272","239","1596","230","966","206","407","18","27","521","150","637","1415","1641","0","30","32","100","177","126"
"publicpolygonfeature:5:60008","ZIP Code 78717","country:us/state:tx/zip:78717","78717","1158","958","901","391","199","232","103","882","231","629","158","120","9","0","117","88","514","1010","1601","0","0","0","73","30","0"
"publicpolygonfeature:5:60009","ZIP Code 78719","country:us/state:tx/zip:78719","78719","18","12","0","0","0","13","47","0","0","0","0","0","0","0","18","0","0","31","46","5","0","0","40","0","10"
"publicpolygonfeature:5:60010","ZIP Code 78721","country:us/state:tx/zip:78721","78721","646","381","172","45","22","64","130","232","238","155","0","59","45","0","254","154","57","409","111","0","24","12","96","14","0"
"publicpolygonfeature:5:60011","ZIP Code 78722","country:us/state:tx/zip:78722","78722","374","254","165","0","90","45","102","131","143","149","17","8","0","0","52","26","33","147","85","0","0","7","63","0","0"
"publicpolygonfeature:5:60012","ZIP Code 78723","country:us/state:tx/zip:78723","78723","1511","1509","279","172","243","287","234","748","766","700","182","287","28","16","351","272","239","627","1113","0","27","0","201","51","129"
"publicpolygonfeature:5:60013","ZIP Code 78724","country:us/state:tx/zip:78724","78724","743","684","205","27","101","295","92","309","109","314","166","254","36","0","421","520","138","831","1229","36","51","0","221","108","203"
"publicpolygonfeature:5:60014","ZIP Code 78725","country:us/state:tx/zip:78725","78725","412","730","136","89","0","22","17","97","61","84","180","148","124","0","17","172","24","233","636","0","0","0","97","132","32"
"publicpolygonfeature:5:60015","ZIP Code 78726","country:us/state:tx/zip:78726","78726","620","285","262","64","19","94","20","314","58","293","56","132","0","0","265","24","151","479","368","0","0","0","59","0","5"
"publicpolygonfeature:5:60016","ZIP Code 78727","country:us/state:tx/zip:78727","78727","1108","607","647","147","159","220","106","621","179","647","67","228","67","20","325","72","373","928","1354","0","0","61","37","55","22"
"publicpolygonfeature:5:60017","ZIP Code 78728","country:us/state:tx/zip:78728","78728","963","1008","496","52","80","138","26","782","220","570","221","146","50","12","332","352","262","977","1430","0","25","0","225","67","94"
"publicpolygonfeature:5:60018","ZIP Code 78729","country:us/state:tx/zip:78729","78729","1276","1106","274","86","195","463","156","874","302","423","246","146","0","0","351","167","137","1067","939","0","0","0","169","67","107"
