"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","3027","1597","405","99","130","234","156","1485","367","2011","423","359","24","73","802","97","225","2045","2372","0","0","0","165","88","12"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","348","134","94","0","0","0","72","198","71","175","17","59","0","33","49","18","253","373","285","0","0","27","0","0","59"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","947","532","245","0","17","412","21","363","53","374","447","227","91","0","561","85","130","1013","1850","0","263","17","218","41","358"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","117","87","138","0","0","0","0","227","1","5","0","3","51","0","82","0","39","3","338","0","0","0","0","3","0"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","974","473","61","18","37","132","249","833","79","632","298","201","228","0","319","27","262","705","958","0","69","0","32","62","0"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","22","133","7","0","15","0","27","96","6","115","53","9","0","7","38","0","0","121","264","0","24","0","0","0","11"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","362","317","13","0","40","38","22","253","134","210","126","253","7","6","142","64","4","229","717","0","14","0","26","3","160"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","82","71","18","0","15","0","0","46","22","18","0","0","0","175","49","21","0","111","186","0","0","0","0","0","0"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","1041","502","125","20","147","195","116","748","233","818","250","355","56","46","385","126","169","879","1638","0","31","0","75","136","32"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","225","52","19","0","0","99","0","100","3","343","71","144","11","205","116","125","148","171","216","0","0","23","24","32","18"
"publicpolygonfeature:5:43208","ZIP Code 32043","country:us/state:fl/zip:32043","32043","807","866","218","0","33","82","65","606","19","642","307","226","0","69","519","436","207","794","2070","21","30","0","56","21","3"
"publicpolygonfeature:5:43210","ZIP Code 32046","country:us/state:fl/zip:32046","32046","141","64","38","0","18","52","29","151","58","65","98","55","18","0","128","44","21","211","692","6","0","16","231","78","7"
"publicpolygonfeature:5:43218","ZIP Code 32063","country:us/state:fl/zip:32063","32063","163","478","6","0","0","12","20","206","25","284","88","246","29","0","86","12","255","329","632","0","0","0","5","0","140"
"publicpolygonfeature:5:43222","ZIP Code 32095","country:us/state:fl/zip:32095","32095","503","704","497","58","55","184","20","534","132","338","85","173","15","0","306","210","227","443","600","42","0","0","28","73","0"
"publicpolygonfeature:5:43223","ZIP Code 32068","country:us/state:fl/zip:32068","32068","1362","833","353","86","19","163","201","1121","144","811","648","705","23","47","1142","351","369","1622","2697","0","82","11","140","148","240"
"publicpolygonfeature:5:43225","ZIP Code 32087","country:us/state:fl/zip:32087","32087","11","35","0","0","0","0","9","81","0","62","0","47","0","28","30","0","0","30","140","0","0","0","18","0","0"
"publicpolygonfeature:5:43227","ZIP Code 32091","country:us/state:fl/zip:32091","32091","193","179","27","0","7","49","0","207","45","365","23","141","0","191","213","38","225","507","801","0","25","2","57","107","14"
"publicpolygonfeature:5:43228","ZIP Code 32092","country:us/state:fl/zip:32092","32092","1531","1547","260","76","146","180","133","1052","328","1414","265","384","47","54","474","0","869","1106","2041","0","0","0","59","13","112"
"publicpolygonfeature:5:43232","ZIP Code 32097","country:us/state:fl/zip:32097","32097","866","400","65","67","69","68","158","406","54","232","119","155","38","61","439","137","350","959","1405","0","30","0","80","64","178"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","1381","1138","345","91","23","778","237","1318","484","1077","314","1197","233","251","620","377","584","1528","4071","12","40","36","582","141","712"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","137","186","43","15","0","41","0","271","0","117","15","267","0","8","291","71","40","329","949","21","19","0","87","26","23"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","356","271","71","0","13","29","0","324","20","152","149","340","94","0","142","132","56","124","681","0","0","9","124","132","150"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","835","698","189","15","50","213","64","535","34","876","135","450","0","178","270","107","183","869","2315","0","0","0","79","161","149"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","437","431","40","0","0","0","11","355","38","378","191","123","69","33","372","100","80","387","1077","0","23","0","131","49","228"
"publicpolygonfeature:5:43267","ZIP Code 32224","country:us/state:fl/zip:32224","32224","762","961","230","8","96","187","122","642","376","1216","238","393","7","6","1216","41","429","1420","1583","0","16","32","51","139","180"
