"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:58185","ZIP Code 80215","country:us/state:co/zip:80215","80215","669","503","209","126","160","92","87","376","312","333","201","140","60","13","231","193","111","382","598","0","4","7","127","58","36"
"publicpolygonfeature:5:59760","ZIP Code 80247","country:us/state:co/zip:80247","80247","691","582","212","12","38","374","141","638","170","522","355","571","66","26","751","284","463","845","1222","16","45","0","194","159","157"
"publicpolygonfeature:5:59764","ZIP Code 80249","country:us/state:co/zip:80249","80249","1280","586","131","20","55","483","153","845","68","729","241","741","304","96","514","416","366","1095","2004","0","99","9","143","342","442"
"publicpolygonfeature:5:59775","ZIP Code 80260","country:us/state:co/zip:80260","80260","698","234","90","32","40","145","39","270","35","95","76","814","210","7","615","477","336","813","1636","0","150","24","132","145","426"
"publicpolygonfeature:5:59781","ZIP Code 80264","country:us/state:co/zip:80264","80264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59782","ZIP Code 80290","country:us/state:co/zip:80290","80290","19","0","0","0","0","0","50","0","6","0","16","0","0","0","46","0","0","0","21","0","0","0","0","0","0"
"publicpolygonfeature:5:59783","ZIP Code 80293","country:us/state:co/zip:80293","80293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59792","ZIP Code 80294","country:us/state:co/zip:80294","80294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:60389","ZIP Code 80002","country:us/state:co/zip:80002","80002","878","390","218","85","62","155","105","354","131","466","161","240","29","12","303","153","456","633","1147","0","0","0","254","158","30"
"publicpolygonfeature:5:60390","ZIP Code 80003","country:us/state:co/zip:80003","80003","994","992","315","126","184","232","120","588","132","464","260","431","29","60","737","255","436","968","1073","1","58","17","112","134","378"
"publicpolygonfeature:5:60391","ZIP Code 80004","country:us/state:co/zip:80004","80004","1045","1034","340","87","199","179","59","758","132","665","161","379","85","16","366","151","425","552","1453","0","0","53","153","62","107"
"publicpolygonfeature:5:60392","ZIP Code 80005","country:us/state:co/zip:80005","80005","1231","554","415","54","117","186","117","759","304","656","106","269","15","7","244","69","508","802","1130","0","0","17","117","66","52"
"publicpolygonfeature:5:60393","ZIP Code 80007","country:us/state:co/zip:80007","80007","899","541","269","45","40","81","26","329","121","347","128","79","8","56","125","25","146","384","728","11","0","0","30","0","69"
"publicpolygonfeature:5:60394","ZIP Code 80216","country:us/state:co/zip:80216","80216","671","370","201","103","12","297","48","140","126","322","186","262","0","0","221","157","405","360","422","0","26","0","183","51","98"
"publicpolygonfeature:5:60395","ZIP Code 80010","country:us/state:co/zip:80010","80010","783","427","76","101","116","162","62","633","184","292","293","592","63","0","775","942","486","671","929","40","255","29","469","67","430"
"publicpolygonfeature:5:60396","ZIP Code 80011","country:us/state:co/zip:80011","80011","921","696","302","20","143","193","95","699","99","423","268","979","134","0","1007","1038","343","1179","2217","77","184","13","647","122","395"
"publicpolygonfeature:5:60397","ZIP Code 80012","country:us/state:co/zip:80012","80012","944","578","208","181","103","170","155","584","191","601","223","1160","130","71","971","726","368","1293","2241","11","140","9","214","182","255"
"publicpolygonfeature:5:60398","ZIP Code 80013","country:us/state:co/zip:80013","80013","1821","1402","565","277","108","556","176","1581","443","1210","623","1330","188","110","1065","682","825","1842","3568","0","313","69","238","389","101"
