"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41963","ZIP Code 29067","country:us/state:sc/zip:29067","29067","175","491","293","478","80","17","3","0","81","196","32","241","19","7","44","748","24","43","0","2","217","11","0","49"
"publicpolygonfeature:5:41980","ZIP Code 29717","country:us/state:sc/zip:29717","29717","20","30","33","57","0","0","17","0","0","50","0","0","0","0","0","3","0","0","0","0","9","0","0","76"
"publicpolygonfeature:5:41988","ZIP Code 29726","country:us/state:sc/zip:29726","29726","11","37","22","42","20","12","5","16","13","1","0","0","0","0","22","28","1","1","0","4","12","0","0","12"
"publicpolygonfeature:5:42270","ZIP Code 29707","country:us/state:sc/zip:29707","29707","1199","2754","2859","2359","1481","387","0","128","427","586","599","639","439","1560","931","1","379","2513","0","153","1653","99","4","360"
"publicpolygonfeature:5:42272","ZIP Code 29708","country:us/state:sc/zip:29708","29708","1706","3754","3298","3228","2098","1215","11","646","352","298","599","1129","456","382","1374","1","579","1764","143","226","2179","1852","26","1219"
"publicpolygonfeature:5:42292","ZIP Code 29714","country:us/state:sc/zip:29714","29714","73","133","78","146","50","0","0","0","34","0","0","20","0","0","49","0","14","15","6","2","19","0","0","303"
"publicpolygonfeature:5:42300","ZIP Code 29704","country:us/state:sc/zip:29704","29704","48","177","138","140","8","14","0","13","90","0","1","14","0","1","436","0","14","3","0","8","9","8","0","1"
"publicpolygonfeature:5:42304","ZIP Code 29706","country:us/state:sc/zip:29706","29706","732","1486","958","1553","392","98","75","20","123","627","113","448","150","0","1825","0","94","122","700","14","722","73","123","303"
"publicpolygonfeature:5:42307","ZIP Code 29715","country:us/state:sc/zip:29715","29715","2589","5881","6343","5132","1417","1712","270","607","982","3356","2468","506","448","1846","1642","7","562","2427","334","975","808","3013","21","1305"
"publicpolygonfeature:5:42309","ZIP Code 29710","country:us/state:sc/zip:29710","29710","784","1854","1574","1734","1205","187","10","194","517","1607","177","362","74","18","958","0","274","498","74","158","1366","55","14","241"
"publicpolygonfeature:5:42310","ZIP Code 29712","country:us/state:sc/zip:29712","29712","18","28","12","35","0","10","39","0","34","0","0","7","2","0","2","0","1","1","0","2","3","14","0","2"
"publicpolygonfeature:5:42313","ZIP Code 29720","country:us/state:sc/zip:29720","29720","1624","3916","2778","3611","978","995","36","43","565","1792","684","2868","197","408","1480","2","354","379","1408","181","1745","136","146","503"
"publicpolygonfeature:5:42314","ZIP Code 29724","country:us/state:sc/zip:29724","29724",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:42318","ZIP Code 29729","country:us/state:sc/zip:29729","29729","400","649","380","802","157","25","0","0","102","10","6","43","0","2","1519","0","5","110","0","1","78","161","0","472"
"publicpolygonfeature:5:42319","ZIP Code 29730","country:us/state:sc/zip:29730","29730","3625","7792","5916","6980","3198","1710","12","1224","2212","3005","649","1682","1260","174","3281","14","950","1450","2350","198","5111","1061","148","1960"
