"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:44556","ZIP Code 37037","country:us/state:tn/zip:37037","37037","124","260","166","245","83","68","0","0","352","12","7","12","4","29","209","0","29","23","0","21","153","73","0","85"
"publicpolygonfeature:5:44557","ZIP Code 37217","country:us/state:tn/zip:37217","37217","2830","6421","5010","5919","1553","4088","0","80","2064","215","1079","3728","224","1205","806","19","553","1204","469","959","2592","4561","15","976"
"publicpolygonfeature:5:44562","ZIP Code 37046","country:us/state:tn/zip:37046","37046","86","229","181","204","46","51","23","3","171","1","8","23","25","4","102","0","21","284","0","188","94","14","0","29"
"publicpolygonfeature:5:44563","ZIP Code 37115","country:us/state:tn/zip:37115","37115","1506","3472","2354","3290","1525","344","0","203","1304","505","182","3307","50","27","670","0","465","273","21","562","4016","630","63","697"
"publicpolygonfeature:5:44564","ZIP Code 37048","country:us/state:tn/zip:37048","37048","36","68","55","78","11","36","0","3","76","0","4","24","0","0","19","0","113","18","0","0","5","8","0","6"
"publicpolygonfeature:5:44565","ZIP Code 37049","country:us/state:tn/zip:37049","37049","19","46","18","47","19","19","0","0","43","0","2","2","0","0","9","0","5","7","15","0","57","0","0","5"
"publicpolygonfeature:5:44566","ZIP Code 37118","country:us/state:tn/zip:37118","37118","4","14","7","3","3","5","0","0","6","0","0","3","0","0","0","0","0","0","0","3","0","16","0","0"
"publicpolygonfeature:5:44569","ZIP Code 37051","country:us/state:tn/zip:37051","37051","54","86","45","104","4","9","16","0","200","0","0","131","4","0","12","0","0","5","0","0","26","0","0","0"
"publicpolygonfeature:5:44571","ZIP Code 37055","country:us/state:tn/zip:37055","37055","1470","3515","2265","3768","1539","1028","3","85","708","657","572","2448","138","155","3186","17","382","244","286","135","2172","192","256","750"
"publicpolygonfeature:5:44572","ZIP Code 37057","country:us/state:tn/zip:37057","37057","1","7","3","6","0","3","0","0","1","0","0","2","0","0","4","0","0","0","8","1","2","0","0","0"
