"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","52","82","67","88","2","0","257","1","9","11","0","0","0","0","12","0","0","0","50","2","1","6","1","6"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","1647","4885","4272","4598","1629","909","147","334","1213","2219","287","3174","213","410","2561","33","766","815","1460","171","2200","1743","153","502"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","1615","5008","5480","4209","1551","1945","1","658","1173","1138","1202","4722","453","1579","728","4","495","2002","208","230","2483","273","805","815"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","3004","9290","11957","7418","3300","3574","0","921","895","1388","4881","4061","1711","2695","418","1","1134","7195","123","554","3836","856","10","3500"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","129","427","275","596","79","27","12","5","560","166","21","34","18","14","511","6","15","41","48","3","184","20","3","20"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","117","403","421","327","209","100","1","89","303","383","48","28","16","3","12","5","38","149","37","42","133","61","7","36"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","304","1017","1143","930","537","344","62","29","152","1143","84","540","39","3","41","0","150","855","113","34","193","37","0","52"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","510","1428","843","1475","208","767","15","33","137","267","25","24","2","402","1943","0","29","117","71","12","888","191","40","141"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","2530","6645","6380","5988","3655","3053","55","508","1885","1889","1502","3254","1356","1308","1971","6","1319","1337","237","484","4278","669","10","1440"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","2","15","6","5","0","2","13","0","7","0","0","0","10","0","0","0","2","0","0","2","0","0","0","0"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","8","29","42","35","19","0","0","0","0","38","0","0","0","0","0","0","0","1","72","0","7","3","0","4"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","339","804","613","859","277","146","278","46","276","299","47","281","12","0","599","7","155","70","93","26","497","219","0","182"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0","1","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","15","45","44","29","22","0","0","0","0","79","0","0","0","0","3","0","15","0","3","0","34","3","0","0"
"publicpolygonfeature:5:46400","ZIP Code 43035","country:us/state:oh/zip:43035","43035","1017","2904","3188","2477","1122","449","0","570","587","1887","118","1266","71","100","1289","1","307","1218","83","141","2801","115","36","1186"
"publicpolygonfeature:5:46401","ZIP Code 43036","country:us/state:oh/zip:43036","43036","2","5","6","2","0","0","0","0","0","0","0","17","0","0","0","0","1","2","0","0","0","0","0","0"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","52","171","127","177","91","9","10","30","26","115","11","31","9","0","30","17","50","12","103","10","76","17","0","87"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","2096","6568","5116","6216","1583","4030","69","163","302","1070","301","2229","163","433","9016","0","447","1340","1038","134","2189","1231","115","409"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","10","47","30","57","2","4","11","2","11","0","0","0","0","0","33","0","1","32","22","0","23","29","0","13"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","27","138","99","138","34","5","0","0","70","76","6","89","0","6","20","0","0","45","106","2","93","12","0","15"
"publicpolygonfeature:5:46407","ZIP Code 43062","country:us/state:oh/zip:43062","43062","1482","3682","2994","3443","647","230","27","163","739","1145","102","572","37","40","537","19","227","743","192","74","918","9507","83","699"
"publicpolygonfeature:5:46409","ZIP Code 43054","country:us/state:oh/zip:43054","43054","2194","5624","6084","4949","1379","2888","25","390","564","929","4640","1328","377","3241","3325","0","540","2415","246","124","830","1989","15","281"
"publicpolygonfeature:5:46410","ZIP Code 43071","country:us/state:oh/zip:43071","43071","31","79","42","85","50","5","6","0","136","0","0","51","0","0","5","2","4","7","18","24","17","3","0","0"
"publicpolygonfeature:5:46411","ZIP Code 43055","country:us/state:oh/zip:43055","43055","1751","6044","4555","5552","2152","954","46","272","1250","2755","2139","5219","182","190","2347","18","952","653","1034","192","1870","366","118","486"
"publicpolygonfeature:5:46413","ZIP Code 43056","country:us/state:oh/zip:43056","43056","729","1912","1333","2146","1373","503","31","248","416","239","178","588","96","185","648","4","802","439","33","76","2275","295","109","353"
"publicpolygonfeature:5:46415","ZIP Code 43061","country:us/state:oh/zip:43061","43061","36","132","98","143","6","49","41","28","40","58","15","0","0","0","19","45","55","21","25","4","37","44","27","15"
"publicpolygonfeature:5:46416","ZIP Code 43064","country:us/state:oh/zip:43064","43064","693","1802","1592","1740","539","935","435","84","1184","622","92","124","37","23","870","2","416","359","123","36","1124","478","34","543"
"publicpolygonfeature:5:46417","ZIP Code 43065","country:us/state:oh/zip:43065","43065","791","2593","3185","2172","1913","772","17","1225","307","1690","524","1729","86","81","106","0","758","1326","171","193","1324","217","14","249"
"publicpolygonfeature:5:46418","ZIP Code 43066","country:us/state:oh/zip:43066","43066","10","29","19","25","0","10","3","17","26","0","8","2","0","0","0","0","1","7","17","0","2","1","0","3"
"publicpolygonfeature:5:46419","ZIP Code 43067","country:us/state:oh/zip:43067","43067","312","762","681","747","22","34","80","2","9","28","0","0","0","7","0","0","2","2304","2","0","25","548","0","36"
"publicpolygonfeature:5:46420","ZIP Code 43068","country:us/state:oh/zip:43068","43068","1651","4223","3428","3980","2162","1773","46","92","1253","826","381","4070","76","44","1334","0","393","563","1202","543","3574","241","7","300"
"publicpolygonfeature:5:46422","ZIP Code 43074","country:us/state:oh/zip:43074","43074","351","1105","955","1112","829","99","19","110","301","471","84","503","51","10","706","0","110","158","146","42","1337","54","0","188"
"publicpolygonfeature:5:46423","ZIP Code 43076","country:us/state:oh/zip:43076","43076","119","320","264","350","230","23","2","7","279","179","21","252","3","26","15","90","49","19","17","12","123","57","0","6"
"publicpolygonfeature:5:46424","ZIP Code 43077","country:us/state:oh/zip:43077","43077",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:46426","ZIP Code 43080","country:us/state:oh/zip:43080","43080","80","209","159","217","86","45","24","3","109","172","48","65","0","0","161","6","11","10","22","2","60","12","0","35"
"publicpolygonfeature:5:46427","ZIP Code 43081","country:us/state:oh/zip:43081","43081","2122","6731","6865","5489","1841","2519","9","587","3129","1875","2725","4801","1238","1468","567","2","661","2350","258","520","2568","141","105","665"
"publicpolygonfeature:5:46428","ZIP Code 43082","country:us/state:oh/zip:43082","43082","1616","5376","6019","4287","1120","1157","177","808","765","981","4355","3411","137","2517","1513","2","575","1904","104","349","882","225","0","761"
"publicpolygonfeature:5:46430","ZIP Code 43085","country:us/state:oh/zip:43085","43085","1383","4282","4408","3443","1174","1484","0","316","1137","1258","698","3452","230","1069","1328","15","450","2492","98","242","1134","315","2","392"
"publicpolygonfeature:5:46432","ZIP Code 43102","country:us/state:oh/zip:43102","43102","72","182","131","198","24","30","11","2","23","236","9","17","0","0","230","0","34","2","32","10","39","17","0","12"
"publicpolygonfeature:5:46433","ZIP Code 43105","country:us/state:oh/zip:43105","43105","125","344","231","367","185","54","12","3","293","200","44","49","3","0","162","0","28","34","70","4","163","100","2","41"
"publicpolygonfeature:5:46435","ZIP Code 43107","country:us/state:oh/zip:43107","43107","47","159","80","156","43","0","0","0","19","67","22","9","0","0","219","4","29","22","31","44","51","0","0","26"
"publicpolygonfeature:5:46436","ZIP Code 43109","country:us/state:oh/zip:43109","43109","7","13","10","12","27","0","0","0","0","0","0","9","0","0","0","0","0","0","6","1","17","0","0","14"
"publicpolygonfeature:5:46437","ZIP Code 43119","country:us/state:oh/zip:43119","43119","239","558","425","490","181","366","1","20","259","269","23","136","11","5","5","0","84","109","130","80","480","41","0","143"
"publicpolygonfeature:5:46438","ZIP Code 43110","country:us/state:oh/zip:43110","43110","818","2086","1554","2149","1596","437","0","49","849","694","91","1039","6","36","1519","0","424","253","68","131","1846","127","0","216"
"publicpolygonfeature:5:46439","ZIP Code 43111","country:us/state:oh/zip:43111","43111","1","3","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","0","0","0"
"publicpolygonfeature:5:46440","ZIP Code 43112","country:us/state:oh/zip:43112","43112","192","579","388","536","84","175","9","32","523","382","8","174","0","0","69","0","165","68","86","27","399","12","0","113"
"publicpolygonfeature:5:46442","ZIP Code 43113","country:us/state:oh/zip:43113","43113","766","2147","1398","2324","870","275","111","21","583","677","243","1609","66","16","1780","20","237","227","331","51","1164","183","54","272"
"publicpolygonfeature:5:46443","ZIP Code 43115","country:us/state:oh/zip:43115","43115","3","8","6","19","0","0","4","5","2","0","0","21","0","0","0","0","0","5","1","0","20","4","0","0"
"publicpolygonfeature:5:46444","ZIP Code 43116","country:us/state:oh/zip:43116","43116","25","74","68","62","7","22","0","0","5","154","3","4","0","0","0","0","3","8","0","0","23","45","0","1"
"publicpolygonfeature:5:46445","ZIP Code 43117","country:us/state:oh/zip:43117","43117","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"publicpolygonfeature:5:46446","ZIP Code 43123","country:us/state:oh/zip:43123","43123","2811","7169","5105","7024","3600","1538","13","261","1656","1617","360","3714","202","500","2195","33","1177","1010","359","387","3659","6279","104","2614"
"publicpolygonfeature:5:46447","ZIP Code 43125","country:us/state:oh/zip:43125","43125","2831","5846","4332","5972","506","2447","55","15","328","801","98","362","478","200","1342","0","298","789","359","99","4421","10024","17","2780"
"publicpolygonfeature:5:46448","ZIP Code 43126","country:us/state:oh/zip:43126","43126","1","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","0","0","0","0"
"publicpolygonfeature:5:46449","ZIP Code 43127","country:us/state:oh/zip:43127","43127","7","15","7","12","0","0","0","0","6","0","0","0","0","0","47","0","3","0","0","0","0","4","0","0"
"publicpolygonfeature:5:46450","ZIP Code 43130","country:us/state:oh/zip:43130","43130","1652","5287","3617","5228","2827","804","23","133","1280","1611","336","5193","197","114","2275","8","808","696","782","218","3109","336","282","465"
"publicpolygonfeature:5:46451","ZIP Code 43145","country:us/state:oh/zip:43145","43145","12","38","22","52","5","0","9","0","29","0","0","0","0","0","11","0","3","0","13","0","56","3","0","30"
"publicpolygonfeature:5:46452","ZIP Code 43135","country:us/state:oh/zip:43135","43135","23","86","49","102","51","31","5","0","69","48","13","2","0","0","50","0","1","3","11","3","57","8","0","0"
"publicpolygonfeature:5:46453","ZIP Code 43136","country:us/state:oh/zip:43136","43136","14","57","50","49","45","13","0","21","5","38","0","28","0","0","0","0","30","14","57","6","7","10","0","0"
"publicpolygonfeature:5:46454","ZIP Code 43137","country:us/state:oh/zip:43137","43137","853","1858","1209","2024","179","144","0","169","201","0","0","43","14","15","420","69","163","585","44","131","929","3386","0","1175"
"publicpolygonfeature:5:46455","ZIP Code 43138","country:us/state:oh/zip:43138","43138","495","1472","911","1650","1128","202","19","48","235","583","99","1058","43","1","877","63","175","411","361","106","634","17","23","31"
"publicpolygonfeature:5:46456","ZIP Code 43149","country:us/state:oh/zip:43149","43149","16","53","22","54","59","30","3","0","43","0","0","1","0","0","0","0","10","2","2","16","71","1","0","0"
"publicpolygonfeature:5:46457","ZIP Code 43140","country:us/state:oh/zip:43140","43140","755","2033","1470","2149","551","328","30","58","380","448","78","902","28","0","1964","0","102","167","1302","44","965","702","5","207"
"publicpolygonfeature:5:46459","ZIP Code 43150","country:us/state:oh/zip:43150","43150","31","87","39","110","0","5","0","0","13","0","7","1","0","0","206","0","0","7","21","22","14","0","0","0"
"publicpolygonfeature:5:46460","ZIP Code 43151","country:us/state:oh/zip:43151","43151","3","6","3","13","0","0","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","15","0","0"
"publicpolygonfeature:5:46461","ZIP Code 43143","country:us/state:oh/zip:43143","43143","97","280","155","356","111","0","50","2","103","0","5","51","10","0","519","0","15","11","21","10","96","27","3","42"
"publicpolygonfeature:5:46462","ZIP Code 43144","country:us/state:oh/zip:43144","43144","1","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46463","ZIP Code 43156","country:us/state:oh/zip:43156","43156","5","9","5","8","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","15","0","0","0"
"publicpolygonfeature:5:46464","ZIP Code 43157","country:us/state:oh/zip:43157","43157","1","3","4","5","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0"
"publicpolygonfeature:5:46465","ZIP Code 43158","country:us/state:oh/zip:43158","43158","1","4","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","6"
"publicpolygonfeature:5:46466","ZIP Code 43146","country:us/state:oh/zip:43146","43146","147","451","303","398","69","77","49","12","202","0","8","12","1","6","16","0","59","5","844","12","23","224","0","3"
"publicpolygonfeature:5:46467","ZIP Code 43147","country:us/state:oh/zip:43147","43147","909","2360","2051","2286","2196","1559","6","295","426","1384","223","2132","82","74","85","0","369","496","175","73","1129","230","16","277"
"publicpolygonfeature:5:46468","ZIP Code 43148","country:us/state:oh/zip:43148","43148","14","46","59","41","0","0","18","0","10","50","0","2","1","0","0","0","20","19","10","3","12","0","32","10"
"publicpolygonfeature:5:46469","ZIP Code 43152","country:us/state:oh/zip:43152","43152","8","27","11","34","40","0","0","0","3","31","0","0","0","0","6","0","1","0","1","2","0","6","0","7"
"publicpolygonfeature:5:46470","ZIP Code 43153","country:us/state:oh/zip:43153","43153","38","23","20","60","0","0","171","0","0","0","0","0","0","0","7","0","1","1","1","0","3","4","0","0"
"publicpolygonfeature:5:46471","ZIP Code 43154","country:us/state:oh/zip:43154","43154","15","38","12","56","0","19","0","0","134","0","0","0","1","0","0","0","1","13","5","0","26","1","0","1"
"publicpolygonfeature:5:46472","ZIP Code 43155","country:us/state:oh/zip:43155","43155","32","121","76","167","38","9","0","2","51","130","0","7","0","0","20","0","68","18","36","0","1","107","0","0"
"publicpolygonfeature:5:46474","ZIP Code 43162","country:us/state:oh/zip:43162","43162","969","1882","1514","2068","185","333","0","5","129","133","27","128","16","107","960","0","245","560","110","25","368","5807","0","300"
"publicpolygonfeature:5:46475","ZIP Code 43164","country:us/state:oh/zip:43164","43164","58","141","85","148","0","175","18","7","93","211","4","5","0","0","1","17","0","1","9","0","37","12","0","0"
"publicpolygonfeature:5:46476","ZIP Code 43201","country:us/state:oh/zip:43201","43201","1221","3317","3782","2829","3143","740","6","169","183","2999","116","1564","946","390","1015","0","486","2675","34","306","866","174","0","369"
"publicpolygonfeature:5:46477","ZIP Code 43202","country:us/state:oh/zip:43202","43202","620","1914","1840","1422","1246","33","0","9","51","289","38","698","171","4062","42","0","253","187","20","140","548","34","0","51"
"publicpolygonfeature:5:46478","ZIP Code 43203","country:us/state:oh/zip:43203","43203","174","487","387","364","49","25","2","23","43","235","42","648","2","60","23","0","409","102","0","28","34","7","0","1"
"publicpolygonfeature:5:46479","ZIP Code 43221","country:us/state:oh/zip:43221","43221","643","1993","2459","1640","1637","278","4","671","140","981","453","1303","231","96","518","12","447","868","175","137","1134","109","3","186"
"publicpolygonfeature:5:46480","ZIP Code 43222","country:us/state:oh/zip:43222","43222","329","911","740","842","335","273","0","11","502","313","60","829","0","0","270","0","162","134","353","40","120","70","0","181"
