"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","958","2027","1845","1672","1512","448","20","304","897","204","437","1144","332","22","90","0","480","952","37","328","2197","254","16","211"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","223","520","424","522","748","150","0","12","138","6","107","136","37","9","7","0","116","237","90","60","615","24","0","31"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","497","848","797","818","525","272","2","39","207","845","52","737","8","104","2","0","170","118","0","93","806","26","0","3"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","115","210","115","213","21","89","214","0","72","41","5","10","3","17","7","0","42","25","11","0","103","2","0","119"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","893","1920","1563","1704","1656","498","9","268","290","352","232","1905","523","24","49","0","328","550","1","148","1835","48","13","115"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","22","44","36","64","0","62","0","0","95","0","0","1","0","0","0","0","18","6","0","0","20","8","0","0"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","233","501","338","476","362","182","68","5","271","0","80","122","29","216","188","0","106","64","10","31","369","14","3","40"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","144","318","218","327","78","67","107","0","97","0","2","13","0","1","128","0","39","109","0","17","22","23","0","528"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","1593","4069","3366","3408","3957","696","55","616","712","2560","341","1660","160","33","1074","4","428","741","385","339","1644","240","61","320"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","98","174","108","220","70","42","13","11","80","0","9","132","9","0","117","0","22","25","8","4","134","35","0","99"
"publicpolygonfeature:5:43208","ZIP Code 32043","country:us/state:fl/zip:32043","32043","1602","4088","3442","3466","343","590","29","171","1432","5821","151","879","36","23","989","1","230","373","2068","233","562","454","8","498"
"publicpolygonfeature:5:43210","ZIP Code 32046","country:us/state:fl/zip:32046","32046","159","390","321","496","106","43","154","0","266","2","0","256","11","0","6","0","55","79","28","13","140","489","15","50"
"publicpolygonfeature:5:43218","ZIP Code 32063","country:us/state:fl/zip:32063","32063","650","1550","915","1370","554","115","25","14","378","703","117","1593","54","17","19","0","172","114","469","7","830","820","0","55"
"publicpolygonfeature:5:43222","ZIP Code 32095","country:us/state:fl/zip:32095","32095","678","1712","1450","1398","528","449","1","78","490","247","184","241","146","6","1447","0","199","483","1202","235","344","288","0","226"
"publicpolygonfeature:5:43223","ZIP Code 32068","country:us/state:fl/zip:32068","32068","859","1770","1203","1630","1257","640","42","4","990","46","144","1672","104","2","38","0","375","576","9","38","1540","83","138","135"
"publicpolygonfeature:5:43225","ZIP Code 32087","country:us/state:fl/zip:32087","32087","19","26","19","26","5","23","0","0","22","0","0","10","0","0","0","0","10","0","0","0","21","22","0","1"
"publicpolygonfeature:5:43227","ZIP Code 32091","country:us/state:fl/zip:32091","32091","592","1194","792","1171","702","140","32","17","195","306","134","422","24","2","244","193","94","120","693","33","861","610","8","107"
"publicpolygonfeature:5:43228","ZIP Code 32092","country:us/state:fl/zip:32092","32092","1004","2152","1732","1994","1355","586","94","463","997","44","179","883","42","45","761","3","297","815","12","219","1568","64","7","1136"
"publicpolygonfeature:5:43232","ZIP Code 32097","country:us/state:fl/zip:32097","32097","663","1437","915","1250","897","432","33","92","484","17","125","492","26","1","385","0","421","140","825","38","1333","205","0","165"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","5435","10334","6759","9490","3691","1816","20","472","1033","122","522","1750","77","275","3737","0","767","589","9487","597","4697","10102","66","2251"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","1840","3296","1793","3364","160","591","72","3","531","13","263","69","3","9","362","0","119","127","0","90","668","8133","3","2330"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","936","1895","943","2054","62","196","2","2","657","32","31","7","12","380","678","1","233","89","0","235","529","3387","0","745"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","1028","1881","1252","1825","681","358","0","17","593","62","103","533","70","35","417","4","162","844","1","58","711","3119","0","142"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","292","511","351","450","700","166","0","88","59","20","116","251","42","0","4","0","77","44","0","5","1035","93","6","6"
