city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),rent_data_type
Miami,33025,ZIP Code 33025,publicpolygonfeature:5:39425,country:us/state:fl/zip:33025,9,146,204,792,4234,6621,6298,6401,5387,522,10874,4173,2109.0,68743.0,2.7006309334276786,0.1959247648902821,30614,27.78542,33752.0,4891,3692,2216,3100,7303,3103,51794,4.167506889829939,70.90764710553482,29.27918491715864,661,1491,76967,Available
Miami,33026,ZIP Code 33026,publicpolygonfeature:5:39437,country:us/state:fl/zip:33026,0,26,53,247,3311,5653,2802,272,116,64,1299,3146,1958.0,89306.0,1.6658733936220846,0.0,12544,7.05639,47019.0,1507,934,701,833,1097,1062,25002,3.0957656326932548,63.4675884569076,28.24500768049155,0,655,31172,Available
Miami,33027,ZIP Code 33027,publicpolygonfeature:5:39438,country:us/state:fl/zip:33027,55,0,73,764,1728,3812,8551,10037,1281,191,3843,7617,1832.0,76561.0,1.1390683441006462,0.5253338570306363,26492,10.54578,44251.0,6688,2305,1431,1266,2401,1279,49356,3.708702540930696,60.70602469663001,30.4462100456621,430,2467,65116,Available
Miami,33028,ZIP Code 33028,publicpolygonfeature:5:39439,country:us/state:fl/zip:33028,0,0,53,0,201,276,6584,1707,610,43,1320,2474,2511.0,119091.0,9.095084979329354,0.1673406777297448,9474,4.82328,48031.0,583,761,555,687,1110,174,24525,3.8342492577853577,70.70416297608503,28.524364323388177,52,194,28397,Available
Miami,33029,ZIP Code 33029,publicpolygonfeature:5:39445,country:us/state:fl/zip:33029,52,0,44,293,337,805,9325,3044,204,96,563,3079,2635.0,146237.0,3.3126293995859215,0.6842147629397086,14200,2.03823,52371.0,845,1119,1126,624,1106,277,38919,3.963317384370016,70.88000451429055,34.57918050941307,91,223,44070,Available
Miami,33030,ZIP Code 33030,publicpolygonfeature:5:41403,country:us/state:fl/zip:33030,329,389,1820,975,2089,2005,1118,1725,772,199,3966,1713,1389.0,46202.0,3.375394321766562,1.7169179229480735,11421,10.48505,19726.0,4115,7080,2550,2985,3204,1280,16235,2.270726984685795,62.69035532994924,35.09132865314613,124,1294,37678,Available
Miami,33031,ZIP Code 33031,publicpolygonfeature:5:41411,country:us/state:fl/zip:33031,66,28,234,34,293,736,696,94,87,6,81,673,1745.0,109945.0,0.0,1.513622603430878,2274,12.25454,41351.0,171,406,288,231,249,160,5818,6.691335183472094,54.62354724608388,31.338858195211785,26,43,7323,Available
Miami,33032,ZIP Code 33032,publicpolygonfeature:5:41416,country:us/state:fl/zip:33032,118,148,474,490,1149,2565,1908,4267,7542,1670,4959,4678,1658.0,73429.0,3.1360528177316676,1.7704517704517704,20331,65.08502,28435.0,3470,7496,3625,2987,4846,2079,40148,5.936262046946136,68.49154325483532,38.22084982064273,744,1262,65132,Available
Miami,33033,ZIP Code 33033,publicpolygonfeature:5:43491,country:us/state:fl/zip:33033,57,183,1701,1024,2424,1795,2769,7375,4290,445,5690,5206,1766.0,69635.0,4.106180008295313,1.1371181938911024,22063,37.25911,25749.0,5722,5321,4286,5856,5853,1852,42491,4.357196947632085,65.5015715529973,34.913080601092894,861,1257,71458,Available
Miami,33034,ZIP Code 33034,publicpolygonfeature:5:43496,country:us/state:fl/zip:33034,67,65,310,662,558,1325,1494,1575,684,575,2652,854,1380.0,47170.0,4.618473895582329,2.9268292682926833,7315,21.19084,18822.0,4156,2690,2403,1719,1275,767,8795,5.4351909830933,46.82858640573126,33.16958977407848,233,712,23823,Available
Miami,33035,ZIP Code 33035,publicpolygonfeature:5:41430,country:us/state:fl/zip:33035,29,0,33,210,380,900,675,3164,722,340,1693,1016,1958.0,68354.0,6.957928802588997,3.897805437274811,6453,34.70019,31844.0,799,1521,268,285,933,804,12467,3.352967829632986,66.79369349174326,37.76875387476751,78,166,17202,Available
Miami,33054,ZIP Code 33054,publicpolygonfeature:5:41600,country:us/state:fl/zip:33054,140,1148,3544,1332,1227,555,429,943,627,57,3323,2269,1474.0,45710.0,4.59837019790454,0.1523063533507397,10002,4.79872,19799.0,3001,4025,2915,1212,3419,2018,13662,7.298280659199544,56.03492962239323,30.737360754070263,821,1267,31055,Available
Miami,33055,ZIP Code 33055,publicpolygonfeature:5:41604,country:us/state:fl/zip:33055,77,140,3155,1200,4295,1700,1036,304,262,47,1532,3444,1793.0,62286.0,6.384408602150538,0.6130182790905038,12216,-0.29994,26973.0,2434,2857,2206,3939,2896,1437,21751,4.793608521970706,60.16663996154462,31.59315111530003,246,645,37659,Available
Miami,33056,ZIP Code 33056,publicpolygonfeature:5:41607,country:us/state:fl/zip:33056,123,328,2964,2356,2385,1251,1165,1012,516,373,2575,2636,1764.0,68583.0,2.6816608996539792,0.4143831038631199,12473,3.36419,27247.0,2215,3000,2139,2585,2993,844,23831,9.472158084089568,61.37201949677249,33.37443415985406,341,1027,37890,Available
Miami,33060,ZIP Code 33060,publicpolygonfeature:5:41608,country:us/state:fl/zip:33060,146,332,2385,4446,3855,1880,749,648,1249,288,4120,2072,1452.0,64819.0,10.151453131395826,0.873743993010048,15978,12.24092,31832.0,2536,4038,2924,2360,2442,1506,20853,7.201317753641839,67.65400375026044,26.088103812243883,482,976,37233,Available
Miami,33062,ZIP Code 33062,publicpolygonfeature:5:41613,country:us/state:fl/zip:33062,50,148,3039,6217,7756,3008,994,1443,639,226,2483,3666,1971.0,83582.0,11.793372319688109,1.380748981821794,23520,10.88436,76532.0,1434,941,722,444,1332,265,19540,5.030602833906263,50.978298017771706,25.9428391959799,12,1284,24920,Available
Miami,33063,ZIP Code 33063,publicpolygonfeature:5:41614,country:us/state:fl/zip:33063,40,13,1161,2395,9606,6343,4167,1558,918,98,3769,7839,1844.0,62918.0,6.857962697274031,0.8129628598474303,26299,10.92294,35847.0,2871,3703,1932,2625,3469,1397,39267,4.022781578344408,65.13761467889908,30.11705162777973,680,1543,55466,Available
