city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024)
Charlotte,28244,ZIP Code 28244,publicpolygonfeature:5:41500,country:us/state:nc/zip:28244,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,28274,ZIP Code 28274,publicpolygonfeature:5:6671518,country:us/state:nc/zip:28274,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,15.42924,6666.0,0,0,0,0,0,0,0,13.432835820895525,44.84605087014726,14.23404255319149,7,0,747
Charlotte,28280,ZIP Code 28280,publicpolygonfeature:5:41204,country:us/state:nc/zip:28280,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,646.0662,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,28282,ZIP Code 28282,publicpolygonfeature:5:41208,country:us/state:nc/zip:28282,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,29724,ZIP Code 29724,publicpolygonfeature:5:42314,country:us/state:sc/zip:29724,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-1.8518,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,29733,ZIP Code 29733,publicpolygonfeature:5:42321,country:us/state:sc/zip:29733,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.44041,14574.0,0,0,0,0,0,0,0,12.038303693570452,49.79564032697547,15.501022494887524,0,0,1468
Nashville,37132,ZIP Code 37132,publicpolygonfeature:5:44603,country:us/state:tn/zip:37132,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.22522,5732.0,0,0,0,0,0,0,0,12.47429746401645,53.95710059171598,16.052934407364788,20,0,2704
Nashville,37213,ZIP Code 37213,publicpolygonfeature:5:44650,country:us/state:tn/zip:37213,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,56.41278,16456.0,0,0,0,0,0,0,0,,0.0,,0,0,25
Nashville,37232,ZIP Code 37232,publicpolygonfeature:5:6677960,country:us/state:tn/zip:37232,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Nashville,37238,ZIP Code 37238,publicpolygonfeature:5:6676390,country:us/state:tn/zip:37238,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-13.88301,,0,0,0,0,0,0,0,,,,0,0,0
Louisville,40221,ZIP Code 40221,publicpolygonfeature:5:6672668,country:us/state:ky/zip:40221,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Louisville,40231,ZIP Code 40231,publicpolygonfeature:5:45745,country:us/state:ky/zip:40231,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Louisville,40280,ZIP Code 40280,publicpolygonfeature:5:45752,country:us/state:ky/zip:40280,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,9.6939,7230.0,0,0,0,0,0,0,0,5.755395683453238,76.37362637362637,15.885416666666666,7,0,182
SanAntonio,78062,ZIP Code 78062,publicpolygonfeature:5:6696879,country:us/state:tx/zip:78062,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-5.53264,,0,0,0,0,0,0,0,,,,0,0,0
SanAntonio,78074,ZIP Code 78074,publicpolygonfeature:5:6681111,country:us/state:tx/zip:78074,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.95339,,0,0,0,0,0,0,0,,,,0,0,0
SanAntonio,78150,ZIP Code 78150,publicpolygonfeature:5:59757,country:us/state:tx/zip:78150,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,3.30341,,0,0,0,0,0,0,0,,,,0,0,0
SanAntonio,78243,ZIP Code 78243,publicpolygonfeature:5:59629,country:us/state:tx/zip:78243,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,259.8009,24322.0,0,0,0,0,0,0,0,0.0,100.0,10.978260869565217,0,0,232
SanFrancisco,94128,ZIP Code 94128,publicpolygonfeature:5:63581,country:us/state:ca/zip:94128,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,4.94831,,0,0,0,0,0,0,0,,,,0,0,0
SanFrancisco,94188,ZIP Code 94188,publicpolygonfeature:5:6701475,country:us/state:ca/zip:94188,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,256.59099,,0,0,0,0,0,0,0,,,,0,0,0
SanFrancisco,94575,ZIP Code 94575,publicpolygonfeature:5:63664,country:us/state:ca/zip:94575,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,5.9905,5534.0,17,11,2,1,0,0,0,11.41304347826087,37.743589743589745,15.517241379310343,6,0,975
SanFrancisco,94613,ZIP Code 94613,publicpolygonfeature:5:63691,country:us/state:ca/zip:94613,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-11.13294,8904.0,1,15,1,0,0,0,18,8.092485549132949,36.65254237288136,24.35251798561151,23,0,472
Indianapolis,46125,ZIP Code 46125,publicpolygonfeature:5:47625,country:us/state:in/zip:46125,0,0,0,0,0,0,0,3,0,0,0,0,,,0.0,0.0,3,0.6704,,0,0,0,0,0,0,6,0.0,50.0,,0,0,6
Indianapolis,46206,ZIP Code 46206,publicpolygonfeature:5:6694575,country:us/state:in/zip:46206,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,49.64459,,0,0,0,0,0,0,0,,,,0,0,0
Jacksonville,32203,ZIP Code 32203,publicpolygonfeature:5:6703033,country:us/state:fl/zip:32203,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-1.33932,,0,0,0,0,0,0,0,,,,0,0,0
Jacksonville,32214,ZIP Code 32214,publicpolygonfeature:5:6684281,country:us/state:fl/zip:32214,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Jacksonville,32228,ZIP Code 32228,publicpolygonfeature:5:43271,country:us/state:fl/zip:32228,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,88.56812,30563.0,0,0,0,0,0,0,0,,100.0,5.990990990990991,0,0,222
Philadelphia,8064,ZIP Code 08064,publicpolygonfeature:5:34949,country:us/state:nj/zip:08064,9,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,9,0.31471,,0,0,0,0,0,0,17,,0.0,,0,0,17
Philadelphia,8095,ZIP Code 08095,publicpolygonfeature:5:34982,country:us/state:nj/zip:08095,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.14375,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19109,ZIP Code 19109,publicpolygonfeature:5:37667,country:us/state:pa/zip:19109,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19112,ZIP Code 19112,publicpolygonfeature:5:37682,country:us/state:pa/zip:19112,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19113,ZIP Code 19113,publicpolygonfeature:5:37712,country:us/state:pa/zip:19113,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-84.25029,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19345,ZIP Code 19345,publicpolygonfeature:5:38677,country:us/state:pa/zip:19345,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,7.3988,6600.0,11,10,6,6,0,0,14,5.992509363295881,34.765625,12.697368421052632,14,0,768
Philadelphia,19367,ZIP Code 19367,publicpolygonfeature:5:38687,country:us/state:pa/zip:19367,3,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,3,10.08405,,0,0,0,0,18,0,0,0.0,50.0,,0,0,21
Philadelphia,19442,ZIP Code 19442,publicpolygonfeature:5:38702,country:us/state:pa/zip:19442,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,5.81827,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19710,ZIP Code 19710,publicpolygonfeature:5:38783,country:us/state:de/zip:19710,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,19.61775,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19716,ZIP Code 19716,publicpolygonfeature:5:38786,country:us/state:de/zip:19716,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.41092,,0,0,0,0,0,0,0,,,,0,0,0
Philadelphia,19717,ZIP Code 19717,publicpolygonfeature:5:38775,country:us/state:de/zip:19717,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,17.62153,4537.0,0,0,0,0,0,0,0,9.389430477167778,32.28959575878065,14.231894659839064,45,0,6036
Philadelphia,19735,ZIP Code 19735,publicpolygonfeature:5:38795,country:us/state:de/zip:19735,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,6.56791,,0,0,0,0,0,0,0,,,,0,0,0
