"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:57526","ZIP Code 80246","country:us/state:co/zip:80246","80246","3278","426","1739","67235","3.9179675543311907","5.0900062073246435","8305","3.61344","58448","884","598","666","244","540","404","9743","3.1554617626369206","85.59263719249957","23.45930998156439","485","523"
"publicpolygonfeature:5:57994","ZIP Code 80015","country:us/state:co/zip:80015","80015","2554","4511","2337","124702","3.876633112015421","0.5129926167417778","25904","14.36361","52854","1783","1396","966","1234","1534","1297","63804","3.6834957470634486","73.32130652743326","29.82958220152632","430","469"
"publicpolygonfeature:5:57998","ZIP Code 80045","country:us/state:co/zip:80045","80045","594","0","2042","49500","7.752808988764046","0","919","61.16958","47393","495","146","51","20","35","12","696","5.632183908045977","52.759248029108555","28.060747663551403","65","84"
"publicpolygonfeature:5:58158","ZIP Code 80212","country:us/state:co/zip:80212","80212","1365","1366","1799","124972","4.720427086260186","0","10735","13.9622","82860","985","966","194","496","304","408","17313","3.680489760221558","77.68786781349026","23.68606603245663","258","547"
"publicpolygonfeature:5:58168","ZIP Code 80214","country:us/state:co/zip:80214","80214","4218","1509","1627","75575","4.361370716510903","2.4755325273459987","13812","4.56295","48319","2132","2188","513","1381","1331","1301","17272","5.481507125959264","73.65249129955012","26.67436399217221","709","1482"
"publicpolygonfeature:5:58185","ZIP Code 80215","country:us/state:co/zip:80215","80215","2311","1095","1785","85190","3.6903225806451614","0.3988831272437176","9231","12.39424","53944","964","986","325","493","548","214","16087","6.459136987530277","66.43044306812767","23.968109929997407","288","511"
"publicpolygonfeature:5:59760","ZIP Code 80247","country:us/state:co/zip:80247","80247","5032","2132","1828","64498","6.3325644789264","0.9328968903436988","16030","14.44777","40471","2660","1629","2043","935","1860","1076","19425","5.578208177596557","71.65562913907286","26.617409204528744","796","1926"
"publicpolygonfeature:5:59764","ZIP Code 80249","country:us/state:co/zip:80249","80249","2097","3064","2211","100324","9.569254578282177","0.4807220641616796","14198","57.21244","35913","1546","1337","640","2292","3285","1550","30892","7.126096084969742","77.78097246182352","27.930734518566847","985","692"
"publicpolygonfeature:5:59775","ZIP Code 80260","country:us/state:co/zip:80260","80260","2807","2460","1642","61852","5.961342828077314","0.5085408788629547","12628","19.35013","27334","1946","4579","2412","2028","2056","619","21032","6.8844873314147055","68.6220746118792","30.936616875252323","337","658"
"publicpolygonfeature:5:59781","ZIP Code 80264","country:us/state:co/zip:80264","80264","0","0",,,"0","0","0",,,"0","0","0","0","0","0","0",,,,"0","0"
"publicpolygonfeature:5:59782","ZIP Code 80290","country:us/state:co/zip:80290","80290","109","0","2306","103428","0","0","375","127.41121","72033","0","0","46","12","26","0","390","2.320675105485232","100","15.459610027855152","0","73"
"publicpolygonfeature:5:59783","ZIP Code 80293","country:us/state:co/zip:80293","80293","0","0",,,"0","0","0",,,"0","0","0","0","0","0","0",,,,"0","0"
