"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","8","256",,"163125","52.702702702702695","1.6320474777448073","1187","2.2169","102464","36","54","23","20","27","10","1409","3.498542274052478","48.275862068965516","25.7451403887689","0","18"
"publicpolygonfeature:5:41336","ZIP Code 33576","country:us/state:fl/zip:33576","33576","31","627","998","76388","3.6764705882352944","0","3195","28.70013","61659","415","70","12","278","248","25","5151","5.374121537825547","42.31980405878237","28.135483870967743","10","103"
"publicpolygonfeature:5:41427","ZIP Code 33603","country:us/state:fl/zip:33603","33603","1810","1312","1518","74081","5.572675911658963","2.287581699346405","9581","-0.57644","51739","1806","926","565","1250","1366","544","13361","4.749465685110425","72.65881000287439","22.276693205365905","135","688"
"publicpolygonfeature:5:42725","ZIP Code 33503","country:us/state:fl/zip:33503","33503","0","0",,"138553","0","0","184","493.82423","27429","0","0","0","0","0","0","891","0","69.27175843694494",,"0","0"
"publicpolygonfeature:5:42730","ZIP Code 33510","country:us/state:fl/zip:33510","33510","2470","1622","1483","74245","4.184193048483507","0.46607265250171354","12107","8.91424","38793","1286","2370","1250","1620","1317","1131","21206","5.356166879212972","67.43625367767244","25.298175512665864","50","687"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","331","1042","1107","56387","0","2.0398808159523263","6047","6.58415","31017","777","768","462","576","710","183","7751","6.904487917146144","44.97929606625259","33.57142857142857","0","327"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","712","2535","1233","56579","11.87214611872146","2.2894436962602303","14713","15.06336","33387","1161","1492","1269","933","1378","1196","16590","4.004015168414009","40.79060311723515","31.235200693040717","22","251"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","1405","1827","1141","49316","10.08039579468151","1.2982005141388175","13596","9.79166","28859","1791","1660","1773","1365","2207","1254","13257","5.410387075788789","45.90612712159673","28.14977387603086","1","829"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","977","2865","2239","107349","11.541737649063034","0","15201","58.14862","47797","1199","1441","732","1589","1807","1155","32626","2.58327342439492","66.37758505670448","32.21335423644267","27","326"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","1579","1353","1979","104573","6.585983675766957","0.20917376363364712","10714","21.52306","43657","1331","801","379","656","1361","489","24884","5.670195585860398","71.4743042513232","32.306172839506175","0","390"
