Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Household Income (2020-2024),Per Capita Income (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Total Population (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),region_HighCost,region_Midwest,region_South,urban_Rural,urban_SemiRural,urban_Urban,poverty_rate_pct,rent,city,geoid,sample_weight
-0.07896483597793326,-0.06897682256218651,-0.0959044488521753,-0.05796805134372516,-0.026516050555302775,0.12656674243398547,0.01756029614980506,0.027718811902327098,0.13884505430977478,-0.021893992779511477,0.21580144406513946,-0.03461867757331585,-1.1457263528624864,-1.1327297577141027,0.9953216878775555,0.3937831495965144,0.8549516153743503,0.12388550776814206,0.006607529351816551,0.025154694511843205,0.02598352531667182,0.11634908879189386,0.2255137297702945,0.17148890077240186,0.13191933745516088,0.27178376056616976,0.054963231197743295,-0.029508770118178887,0.8103126205495104,0.09877285066393299,0.003996231484733478,-0.9473536781987172,-0.4947352370672933,1.4236606517968144,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,1.4424546335008799,1661.0,Orlando,34741,2.0
-0.06461347357182864,0.034623025117968956,-0.04419428368653132,-0.038393889657484116,-0.0816641560922158,-0.05565021752126629,-0.0886088568564628,-0.12545292328002808,-0.05368026045804434,-0.10350958606451266,-0.09721928842980834,-0.06255582554180465,1.7465637116904296,3.021206774193012,-0.9925954568439136,-0.25013965739030786,1.3429782149239167,-0.012038166715524741,-0.07344286866161052,-0.03167450918332631,-0.08725374989089396,-0.08226344151972932,-0.12996281103147048,-0.13452107719359543,-0.12985584094631913,-0.12985416777192063,-0.13300629794892516,-0.0740438458737228,-1.893358364063695,-0.10373806122736907,-0.10681090697876815,-0.9473536781987172,-0.4947352370672933,1.4236606517968144,-0.13767014415645012,1.449706298409561,-1.3901321996369742,-0.7066867860398446,1983.0,Nashville,37215,2.0
-0.09713551257275928,-0.12484906745887413,-0.12870116839303122,-0.14024943814624555,-0.12855358461337182,-0.11057911496382666,-0.00910318976501107,0.10559003671181816,0.19451814465958125,0.1532749969874015,-0.028763904709017792,-0.08484068154983636,1.4519501375390325,1.1184701289660532,-0.763422853060624,1.567991308658202,-0.23354971422494092,-0.5177827062144457,-0.04416477527479281,0.07602075930003105,-0.040216063279521874,-0.13481461685510043,-0.07030766659087556,-0.1100437882450538,-0.1170299724975552,-0.12170700219924464,-0.13023648573109078,-0.010696280359512799,-0.0981652034987816,-0.08799803041530474,-0.08375883089179854,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.9272779899122698,1867.0,Austin,78717,2.0
-0.09678830219196642,-0.10302142659544515,-0.10375151671777888,-0.06293149948559343,-0.00016049111703991844,0.1386266032790073,0.1299105299817803,-0.02187455410426762,-0.153179725420431,-0.1500426556687969,0.015263586554323885,0.032374881236692146,-0.8479256514143291,-1.1532518468650206,1.814726928335377,0.4505807581590227,-0.1346283399998776,-0.004524433597811456,-0.02211405621204759,-0.03799996435453749,0.02721161500909678,0.07274044539384429,0.14101479721673982,0.13499229789572328,0.18577205218413242,0.13634435558494637,0.17746447155923586,-0.011319780020085733,0.05287837909149203,0.11727144357708078,0.005044053125050278,-0.9473536781987172,-0.4947352370672933,1.4236606517968144,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,0.8623869080542171,1589.0,Orlando,32818,2.0
-0.08127957184988563,-0.12224278198264381,-0.12266496234256695,-0.12123453822246855,-0.1324798408995514,-0.10704595260688668,-0.10254658813011669,-0.04875994258732437,-0.10935335080785082,-0.11764004699146809,-0.13928272803827976,-0.10948838091838702,3.3087034032147664,1.439677470765688,-0.9409088727266799,0.8857926522906683,-1.0165348263427136,-0.5790195390567453,-0.11347529504264814,-0.015690948793901094,-0.10206179620734468,-0.14348114472028242,-0.14218435195800713,-0.14539987228183618,-0.14451397631633506,-0.1453395604916168,-0.13804232016316945,-0.08532703973126333,0.45121186752991777,-0.09887001046075124,-0.12270286852357296,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-1.4227087139481334,2404.0,Philadelphia,19425,6.0
-0.09522585547839858,-0.12484906745887413,-0.12414047937712488,-0.13654432896992136,-0.08951666866457494,-0.03920923535363886,0.03792150357566465,0.247086443827826,0.3606311095870271,0.6315180107738413,-0.07970649450721518,0.05011937157156978,0.6188518365201029,-0.42531318905868903,0.07820136330830758,1.0082683484569304,0.7251213500963333,-0.021810521510186254,0.031585335015811136,0.07752617996626371,0.0851570831850976,-0.10003810376551661,-0.05488047558524732,0.020238556158474294,-0.03720686575431632,0.07480725391898949,0.003973506278519768,0.1270369446598777,0.8070384361902248,-0.091892471028599,-0.08052804750082174,-0.9473536781987172,-0.4947352370672933,1.4236606517968144,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.9290459020105389,1765.0,SanAntonio,78254,2.0
-0.09632535501757594,-0.11621574681886117,-0.12427461728935743,-0.13864156057916147,-0.13825640187232133,-0.14313131747910043,-0.157752123740111,-0.16256761295882952,-0.1628901481558624,-0.15759514340561792,-0.1459114023734669,-0.13714754731505005,-0.19677317888062365,-1.2902642768882249,7.217300365782167,0.10986700723502324,-1.0165348263427136,-0.5790195390567453,-0.15262598175614892,-0.05328004438912162,-0.15322191455007292,-0.1469587960292408,-0.1352220806924801,-0.14706678443245372,-0.15128539754704895,-0.14921090867154085,-0.1523949834737657,-0.1551891016990457,-2.2711574621186252,-0.1090929170706487,-0.12846588754531535,-0.9473536781987172,2.021283153243401,-0.702414580846841,7.263739034540321,-0.6897948923151376,-1.3901321996369742,4.2027947366592375,984.0,Louisville,40209,18.0
-0.08764509549775461,-0.12191699629811502,-0.12910358212972886,-0.13773276021515743,-0.13329216978634717,-0.141529617210621,-0.14914708964942033,-0.1571048447809973,-0.1586175621522726,-0.15759514340561792,-0.14791637177114694,-0.14117828010652356,-0.7995316395661541,-0.7145463830294384,-1.0192596374836373,-0.4108279524900965,-1.0165348263427136,-0.5790195390567453,-0.14894002085087193,-0.04901510660384085,-0.1499572942119181,-0.1423219276172963,-0.13567287523485236,-0.14355749569431153,-0.15080741487193972,-0.14505065391102548,-0.1488697679237947,-0.15160290365133655,1.1169999677020528,-0.1090929170706487,-0.12890247989544734,-0.9473536781987172,-0.4947352370672933,1.4236606517968144,7.263739034540321,-0.6897948923151376,-1.3901321996369742,1.3389266781747975,531.0,Nashville,37095,27.0
-0.09962385363510806,-0.10025224827695042,-0.10770858512863879,-0.024691976477115383,-0.025748851051106768,-0.009813324543898145,0.02192341202677497,-0.1265240542952893,-0.06585065695311831,-0.14175928202196098,-0.06959981203319529,-0.06746683331072639,2.730938730277513,1.5885542335792668,0.3130982522353968,0.3136302017191532,-0.43342535555640127,-0.5790195390567453,-0.06269576304171472,-0.014426822116821652,-0.049269367695539044,-0.08336745780828754,-0.10521919948348232,-0.12250176326545852,-0.1030888111402031,-0.12072471982523407,-0.10593767854736205,-0.02551407229285299,1.533680122995948,0.08287055149298139,-0.09799174150610175,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.8387841425158074,3317.0,SanFrancisco,94588,6.0
-0.08075875627869634,-0.06962839393124409,0.017911569677134493,0.2726954657131325,-0.020829748347732366,-0.10751704092114535,-0.12090803411236507,-0.1515349635016389,-0.1572581029693122,-0.15759514340561792,-0.10482998859243059,-0.04902738904628437,0.0457560255000339,-0.4834896471427644,0.2695443011017628,0.29150662136732275,-0.059321881388868736,-0.5278455097387523,-0.05998549767018752,-0.059683648881355564,-0.050910934822097034,-0.08783872377694832,-0.06524875005980917,-0.08188174612146289,-0.08460681436931346,-0.018220665031424197,-0.0679157108298176,-0.04319996266482867,0.542590124238225,0.007253496251517633,-0.045338704080182535,1.0555719822626157,-0.4947352370672933,-0.702414580846841,-0.13767014415645012,-0.6897948923151376,0.7193560441669825,-0.43649242972044777,1477.0,Philadelphia,19154,2.0
