Model,Train_RMSE,Val_RMSE,Train_R2,Val_R2,Train_MAE,Val_MAE,Training_Time
Linear Regression,324.7635616401485,5794.765627794475,0.7494769037279385,-75.55806536816299,247.6861180686427,915.127487367822,0.0058767795562744
Ridge Regression,328.1283648608738,5486.0449110238405,0.7442587826894855,-67.61797804652768,248.8944254479719,880.2064617621055,0.0046730041503906
Random Forest,186.0324424889891,264.06271343308975,0.8802747046652334,0.7086820164059572,138.7962582154467,197.30371309580525,0.20636892318725586
XGBoost,100.26560428428054,241.12439820650093,0.9652213682646851,0.7570955643724193,74.68988112795131,181.89061681520894,0.32103395462036133
