"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:46422","ZIP Code 43074","country:us/state:oh/zip:43074","43074","4774","9125","221"
"publicpolygonfeature:5:46423","ZIP Code 43076","country:us/state:oh/zip:43076","43076","1092","4602","97"
"publicpolygonfeature:5:46424","ZIP Code 43077","country:us/state:oh/zip:43077","43077",,"132","64"
"publicpolygonfeature:5:46426","ZIP Code 43080","country:us/state:oh/zip:43080","43080","582","2314","77"
"publicpolygonfeature:5:46427","ZIP Code 43081","country:us/state:oh/zip:43081","43081","27088","35851","782"
"publicpolygonfeature:5:46428","ZIP Code 43082","country:us/state:oh/zip:43082","43082","21422","17852","400"
"publicpolygonfeature:5:46430","ZIP Code 43085","country:us/state:oh/zip:43085","43085","18851","13665","560"
"publicpolygonfeature:5:46432","ZIP Code 43102","country:us/state:oh/zip:43102","43102","465","1799","74"
"publicpolygonfeature:5:46433","ZIP Code 43105","country:us/state:oh/zip:43105","43105","929","4035","156"
"publicpolygonfeature:5:46435","ZIP Code 43107","country:us/state:oh/zip:43107","43107","442","1713","62"
"publicpolygonfeature:5:46436","ZIP Code 43109","country:us/state:oh/zip:43109","43109","420","38","45"
"publicpolygonfeature:5:46437","ZIP Code 43119","country:us/state:oh/zip:43119","43119","1635","16287","418"
"publicpolygonfeature:5:46438","ZIP Code 43110","country:us/state:oh/zip:43110","43110","9919","22856","853"
"publicpolygonfeature:5:46439","ZIP Code 43111","country:us/state:oh/zip:43111","43111","9","35","4"
"publicpolygonfeature:5:46440","ZIP Code 43112","country:us/state:oh/zip:43112","43112","1379","2369","33"
"publicpolygonfeature:5:46442","ZIP Code 43113","country:us/state:oh/zip:43113","43113","8476","11092","530"
"publicpolygonfeature:5:46443","ZIP Code 43115","country:us/state:oh/zip:43115","43115","97","773","34"
"publicpolygonfeature:5:46444","ZIP Code 43116","country:us/state:oh/zip:43116","43116","427","1414","21"
"publicpolygonfeature:5:46445","ZIP Code 43117","country:us/state:oh/zip:43117","43117",,"0","0"
"publicpolygonfeature:5:46446","ZIP Code 43123","country:us/state:oh/zip:43123","43123","28211","36362","1220"
"publicpolygonfeature:5:46447","ZIP Code 43125","country:us/state:oh/zip:43125","43125","22323","7696","354"
"publicpolygonfeature:5:46448","ZIP Code 43126","country:us/state:oh/zip:43126","43126","156","144","0"
