"feature id","feature label","shid","geoid","Total Employed (2023)","Total Employed (2020-2024)","Total Unemployed (2020-2024)"
"publicpolygonfeature:5:63594","ZIP Code 94404","country:us/state:ca/zip:94404","94404","26284","18647","889"
"publicpolygonfeature:5:63595","ZIP Code 94501","country:us/state:ca/zip:94501","94501","20851","32202","2040"
"publicpolygonfeature:5:63596","ZIP Code 94502","country:us/state:ca/zip:94502","94502","11737","6374","302"
"publicpolygonfeature:5:63598","ZIP Code 94509","country:us/state:ca/zip:94509","94509","12352","33087","2710"
"publicpolygonfeature:5:63599","ZIP Code 94505","country:us/state:ca/zip:94505","94505","1170","6896","647"
"publicpolygonfeature:5:63600","ZIP Code 94506","country:us/state:ca/zip:94506","94506","3616","12316","543"
"publicpolygonfeature:5:63601","ZIP Code 94507","country:us/state:ca/zip:94507","94507","2912","6477","240"
"publicpolygonfeature:5:63605","ZIP Code 94511","country:us/state:ca/zip:94511","94511","239","418","230"
"publicpolygonfeature:5:63607","ZIP Code 94518","country:us/state:ca/zip:94518","94518","4884","13501","725"
"publicpolygonfeature:5:63608","ZIP Code 94519","country:us/state:ca/zip:94519","94519","2129","9255","347"
"publicpolygonfeature:5:63609","ZIP Code 94929","country:us/state:ca/zip:94929","94929","54","114","0"
"publicpolygonfeature:5:63610","ZIP Code 94513","country:us/state:ca/zip:94513","94513","19262","31916","2047"
"publicpolygonfeature:5:63611","ZIP Code 94514","country:us/state:ca/zip:94514","94514","680","830","177"
"publicpolygonfeature:5:63612","ZIP Code 94566","country:us/state:ca/zip:94566","94566","16027","21740","905"
"publicpolygonfeature:5:63614","ZIP Code 94516","country:us/state:ca/zip:94516","94516","5","106","1"
"publicpolygonfeature:5:63615","ZIP Code 94517","country:us/state:ca/zip:94517","94517","1819","5682","442"
"publicpolygonfeature:5:63616","ZIP Code 94520","country:us/state:ca/zip:94520","94520","46364","19469","1181"
"publicpolygonfeature:5:63617","ZIP Code 94521","country:us/state:ca/zip:94521","94521","5659","21603","1394"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","13469","17949","908"
"publicpolygonfeature:5:63619","ZIP Code 94525","country:us/state:ca/zip:94525","94525","1164","1608","111"
"publicpolygonfeature:5:63621","ZIP Code 94526","country:us/state:ca/zip:94526","94526","9129","15052","914"
"publicpolygonfeature:5:63622","ZIP Code 94528","country:us/state:ca/zip:94528","94528","170","408","31"
"publicpolygonfeature:5:63623","ZIP Code 94530","country:us/state:ca/zip:94530","94530","6230","14013","924"
"publicpolygonfeature:5:63624","ZIP Code 94531","country:us/state:ca/zip:94531","94531","7748","23120","1792"
"publicpolygonfeature:5:63628","ZIP Code 94536","country:us/state:ca/zip:94536","94536","6845","36777","1957"
"publicpolygonfeature:5:63630","ZIP Code 94538","country:us/state:ca/zip:94538","94538","93523","36798","1667"
"publicpolygonfeature:5:63631","ZIP Code 94539","country:us/state:ca/zip:94539","94539","19562","26194","1320"
"publicpolygonfeature:5:63632","ZIP Code 94541","country:us/state:ca/zip:94541","94541","12202","34236","2083"
"publicpolygonfeature:5:63633","ZIP Code 94542","country:us/state:ca/zip:94542","94542","2216","7751","689"
"publicpolygonfeature:5:63634","ZIP Code 94544","country:us/state:ca/zip:94544","94544","18767","40060","2569"
"publicpolygonfeature:5:63635","ZIP Code 94545","country:us/state:ca/zip:94545","94545","33827","15873","1138"
"publicpolygonfeature:5:63636","ZIP Code 94546","country:us/state:ca/zip:94546","94546","8763","22787","868"
"publicpolygonfeature:5:63637","ZIP Code 94547","country:us/state:ca/zip:94547","94547","4695","13267","914"
"publicpolygonfeature:5:63638","ZIP Code 94548","country:us/state:ca/zip:94548","94548","60","373","63"
"publicpolygonfeature:5:63640","ZIP Code 94549","country:us/state:ca/zip:94549","94549","8904","13274","638"
"publicpolygonfeature:5:63641","ZIP Code 94551","country:us/state:ca/zip:94551","94551","30354","20458","895"
"publicpolygonfeature:5:63642","ZIP Code 94578","country:us/state:ca/zip:94578","94578","10428","21479","1288"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","25430","25282","782"
"publicpolygonfeature:5:63644","ZIP Code 94552","country:us/state:ca/zip:94552","94552","960","6964","309"
"publicpolygonfeature:5:63645","ZIP Code 94553","country:us/state:ca/zip:94553","94553","17214","24504","1551"
"publicpolygonfeature:5:63646","ZIP Code 94556","country:us/state:ca/zip:94556","94556","3857","7023","495"
"publicpolygonfeature:5:63649","ZIP Code 94560","country:us/state:ca/zip:94560","94560","27577","26991","1220"
"publicpolygonfeature:5:63650","ZIP Code 94561","country:us/state:ca/zip:94561","94561","3601","23579","1546"
"publicpolygonfeature:5:63651","ZIP Code 94563","country:us/state:ca/zip:94563","94563","3136","8808","310"
"publicpolygonfeature:5:63652","ZIP Code 94564","country:us/state:ca/zip:94564","94564","5145","9204","407"
"publicpolygonfeature:5:63653","ZIP Code 94565","country:us/state:ca/zip:94565","94565","12568","48573","4354"
"publicpolygonfeature:5:63655","ZIP Code 94568","country:us/state:ca/zip:94568","94568","22730","36538","1442"
"publicpolygonfeature:5:63656","ZIP Code 94569","country:us/state:ca/zip:94569","94569","51","111","11"
"publicpolygonfeature:5:63657","ZIP Code 94579","country:us/state:ca/zip:94579","94579","2224","10128","768"
"publicpolygonfeature:5:63659","ZIP Code 94572","country:us/state:ca/zip:94572","94572","1252","4141","506"
"publicpolygonfeature:5:63661","ZIP Code 94580","country:us/state:ca/zip:94580","94580","3718","15370","859"
"publicpolygonfeature:5:63662","ZIP Code 94582","country:us/state:ca/zip:94582","94582","2450","23754","1209"
"publicpolygonfeature:5:63664","ZIP Code 94575","country:us/state:ca/zip:94575","94575","77","326","42"
"publicpolygonfeature:5:63666","ZIP Code 94577","country:us/state:ca/zip:94577","94577","38477","24835","1216"
"publicpolygonfeature:5:63667","ZIP Code 94583","country:us/state:ca/zip:94583","94583","36442","20468","1171"
"publicpolygonfeature:5:63668","ZIP Code 94586","country:us/state:ca/zip:94586","94586","686","442","26"
"publicpolygonfeature:5:63669","ZIP Code 94587","country:us/state:ca/zip:94587","94587","22663","35282","1966"
"publicpolygonfeature:5:63671","ZIP Code 94595","country:us/state:ca/zip:94595","94595","2908","5082","317"
"publicpolygonfeature:5:63672","ZIP Code 94588","country:us/state:ca/zip:94588","94588","61022","17449","1094"
"publicpolygonfeature:5:63677","ZIP Code 94597","country:us/state:ca/zip:94597","94597","9694","12984","1031"
"publicpolygonfeature:5:63678","ZIP Code 94598","country:us/state:ca/zip:94598","94598","19695","12754","622"
"publicpolygonfeature:5:63680","ZIP Code 94601","country:us/state:ca/zip:94601","94601","10209","25082","1840"
"publicpolygonfeature:5:63681","ZIP Code 94602","country:us/state:ca/zip:94602","94602","3611","16890","1492"
"publicpolygonfeature:5:63682","ZIP Code 94603","country:us/state:ca/zip:94603","94603","4003","17002","872"
"publicpolygonfeature:5:63683","ZIP Code 94605","country:us/state:ca/zip:94605","94605","3593","22035","1214"
"publicpolygonfeature:5:63684","ZIP Code 94606","country:us/state:ca/zip:94606","94606","5139","22400","1749"
"publicpolygonfeature:5:63685","ZIP Code 94607","country:us/state:ca/zip:94607","94607","28767","16465","1323"
"publicpolygonfeature:5:63686","ZIP Code 94608","country:us/state:ca/zip:94608","94608","34469","21702","1692"
"publicpolygonfeature:5:63687","ZIP Code 94609","country:us/state:ca/zip:94609","94609","12431","14595","1033"
"publicpolygonfeature:5:63688","ZIP Code 94610","country:us/state:ca/zip:94610","94610","5572","20006","732"
"publicpolygonfeature:5:63689","ZIP Code 94611","country:us/state:ca/zip:94611","94611","13527","22042","1023"
"publicpolygonfeature:5:63690","ZIP Code 94612","country:us/state:ca/zip:94612","94612","43353","11078","835"
"publicpolygonfeature:5:63691","ZIP Code 94613","country:us/state:ca/zip:94613","94613","359","159","14"
"publicpolygonfeature:5:63692","ZIP Code 94618","country:us/state:ca/zip:94618","94618","6243","9378","443"
"publicpolygonfeature:5:63693","ZIP Code 94619","country:us/state:ca/zip:94619","94619","4635","13901","699"
"publicpolygonfeature:5:63694","ZIP Code 94621","country:us/state:ca/zip:94621","94621","26435","14476","1667"
"publicpolygonfeature:5:63695","ZIP Code 94702","country:us/state:ca/zip:94702","94702","3735","9102","436"
"publicpolygonfeature:5:63696","ZIP Code 94703","country:us/state:ca/zip:94703","94703","2484","11583","665"
"publicpolygonfeature:5:63697","ZIP Code 94704","country:us/state:ca/zip:94704","94704","11484","10763","942"
"publicpolygonfeature:5:63698","ZIP Code 94705","country:us/state:ca/zip:94705","94705","5823","7273","443"
"publicpolygonfeature:5:63699","ZIP Code 94706","country:us/state:ca/zip:94706","94706","3852","10573","330"
"publicpolygonfeature:5:63700","ZIP Code 94708","country:us/state:ca/zip:94708","94708","739","5878","267"
"publicpolygonfeature:5:63701","ZIP Code 94709","country:us/state:ca/zip:94709","94709","2891","6993","332"
"publicpolygonfeature:5:63702","ZIP Code 94710","country:us/state:ca/zip:94710","94710","18030","4566","176"
"publicpolygonfeature:5:63703","ZIP Code 94720","country:us/state:ca/zip:94720","94720","867","2013","236"
"publicpolygonfeature:5:63704","ZIP Code 94801","country:us/state:ca/zip:94801","94801","10717","15956","1686"
"publicpolygonfeature:5:63705","ZIP Code 94803","country:us/state:ca/zip:94803","94803","2054","14021","882"
"publicpolygonfeature:5:63706","ZIP Code 94804","country:us/state:ca/zip:94804","94804","13241","22585","1631"
"publicpolygonfeature:5:63707","ZIP Code 94805","country:us/state:ca/zip:94805","94805","1669","8359","705"
"publicpolygonfeature:5:63708","ZIP Code 94806","country:us/state:ca/zip:94806","94806","11191","29684","2900"
"publicpolygonfeature:5:63710","ZIP Code 94901","country:us/state:ca/zip:94901","94901","24497","20913","985"
"publicpolygonfeature:5:63712","ZIP Code 94903","country:us/state:ca/zip:94903","94903","15001","14713","996"
