"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","0","114","0","0","50","0","222","49","197","143","0","11","0","0","71","35","409","66","863","386","436","79","785","451","175","103","26","0","570","0","216","0","0","0","1835","268","762","173","847","0"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","2","7","0","0","5","0","14","0","0","7","0","0","114","0","2","33","82","0","49","74","16","0","12","72","27","2","6","0","138","4","5","2","0","0","49","24","157","34","111","0"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","0","2","2","0","5","2","2","0","0","9","0","2","0","0","0","20","3","0","41","2","11","0","2","30","8","19","17","0","5","9","4","2","4","0","51","34","25","23","20","0"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","7","38","0","7","65","37","307","72","145","144","52","76","119","0","109","507","626","181","665","552","168","65","449","987","291","497","211","0","546","133","272","50","68","0","1687","904","828","758","1131","0"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","0","0","12","0","0","0","48","0","29","41","32","0","0","0","26","65","201","0","184","56","259","0","54","116","140","49","78","0","147","0","3","12","0","0","203","175","447","202","201","0"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","0","191","206","3","118","153","420","81","792","425","221","212","219","0","23","1777","2007","494","2186","1605","665","157","2231","3433","1972","465","1040","18","1864","181","780","134","82","0","5205","4034","2622","2098","4114","0"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","0","36","44","56","186","32","211","67","335","365","123","67","16","0","75","176","548","147","479","460","149","117","487","1461","825","384","212","89","1088","122","214","17","97","0","2351","1239","833","199","898","89"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","18","8","172","98","168","48","497","75","752","301","38","265","54","0","0","406","729","234","1168","831","811","133","1127","3017","1262","328","692","0","1930","120","350","9","85","0","5291","2039","1704","430","1274","0"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","19","36","16","0","42","7","36","2","34","92","0","15","2","0","53","78","182","0","145","25","12","1","103","431","95","91","59","0","254","8","11","24","4","0","510","259","217","94","195","0"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","0","0","21","0","0","0","44","0","146","0","0","0","0","0","0","0","60","0","22","53","25","0","150","185","33","0","47","0","190","0","21","0","0","0","347","52","64","31","81","0"
