"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","51","317","706","226","559","254","1763","991","5348","1749","580","461","491","0","160","1187","1308","217","1615","936","1753","699","4903","4457","1799","739","998","36","10606","279","2219","202","190","0","11944","2987","4030","925","921","0"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","20","96","156","10","262","20","287","44","801","1233","134","206","63","0","81","338","728","86","1415","327","608","371","836","5308","2020","278","235","0","2211","286","644","47","144","0","6375","2490","2870","274","622","0"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","48","381","1386","373","1111","445","1914","885","4747","1537","438","567","260","19","133","1792","3267","641","4399","1518","2637","644","5043","7223","2939","1669","1616","10","10850","440","2449","173","180","19","18033","4313","6299","1866","3010","10"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","22","0","2","4","12","0","11","0","44","10","0","10","20","0","21","86","45","7","59","58","23","0","32","98","61","72","7","0","79","14","31","1","10","0","214","100","61","96","98","0"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","0","109","0","0","0","0","38","14","23","13","0","141","0","0","152","1188","393","29","330","223","109","30","523","496","452","118","266","0","176","0","57","105","0","0","880","925","702","1278","524","0"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","100","65","58","10","14","38","375","12","52","413","69","84","129","0","99","2157","694","81","1931","569","471","93","1000","2149","1173","948","849","0","517","257","387","168","90","0","2738","2243","2418","2878","1937","0"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","85","198","505","99","244","198","501","213","1393","501","193","101","262","55","87","445","696","99","811","298","615","73","747","1694","490","342","278","32","3291","128","776","197","156","0","3869","789","1119","299","612","19"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","0","136","121","0","8","0","221","26","611","230","9","31","28","0","60","108","227","69","142","59","119","31","190","414","93","68","139","0","957","0","444","20","0","0","745","178","554","68","174","0"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","28","128","305","73","180","260","283","131","422","422","15","257","187","0","80","2103","1051","118","1472","575","433","58","1041","1786","1037","1200","548","0","1199","233","798","171","290","0","3727","2044","1978","1740","2013","0"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","60","0","0","0","37","0","21","40","0","0","0","0","0","0","0","0","51","40","20","23","45","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","94","344","329","161","352","182","411","111","1773","852","234","248","278","9","150","1527","1608","294","3318","688","1099","385","2191","4528","1910","1020","819","358","3348","310","1269","271","171","9","7801","3609","4454","1750","2164","117"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","0","61","817","151","670","169","860","192","2297","780","114","221","178","0","234","1514","1419","267","1824","760","1123","382","2566","4640","1254","956","846","226","4337","270","1654","61","188","0","9055","2384","3230","1626","1550","166"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","0","0","0","0","0","0","0","0","87","42","0","57","0","0","0","225","161","0","229","125","41","0","157","276","86","0","72","0","153","0","33","0","0","0","345","343","168","117","399","0"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","0","0","0","0","0","0","7","0","17","13","0","0","0","0","133","0","3","50","34","54","0","9","19","95","0","13","5","0","30","0","7","0","0","0","241","26","72","18","58","0"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","6","105","191","123","110","78","474","92","780","392","71","202","67","0","64","555","487","76","479","236","248","93","826","1563","619","458","286","85","1803","71","627","67","123","0","3113","1150","815","397","524","76"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","5","411","236","10","238","132","573","139","1691","688","199","468","39","0","88","1742","1955","364","2537","1196","1975","244","1752","4130","1856","1631","1102","125","3123","339","1145","21","201","0","8571","2850","5432","1827","1892","125"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","14","53","15","0","17","0","24","0","85","14","0","12","8","0","0","104","113","0","57","83","13","14","107","343","164","79","62","0","199","0","43","0","0","0","636","188","124","100","91","0"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","18","273","486","103","229","74","701","192","1126","1092","22","369","175","0","300","4770","2951","490","5365","1914","1537","422","3464","8210","3118","2464","1504","257","3458","73","1026","175","128","0","12840","6453","7950","4816","4525","182"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","33","282","1004","427","804","235","1065","458","3546","955","355","384","107","0","20","1338","2267","501","2898","1461","1560","463","3307","7066","1984","1933","1207","72","6849","241","2084","185","296","0","12936","3817","5656","1301","2327","40"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","115","541","1286","333","1355","292","1929","728","6499","1642","203","663","247","0","398","3129","4024","577","4897","1783","2456","562","4586","8096","3248","1772","2054","179","11740","539","2869","407","278","0","19086","5175","7267","3043","3166","24"
"publicpolygonfeature:5:59984","ZIP Code 78642","country:us/state:tx/zip:78642","78642","64","228","268","63","200","0","639","116","878","586","20","217","203","0","29","1567","748","233","1319","393","601","348","1066","2016","676","473","132","26","2745","118","407","188","24","0","4171","1489","1570","1185","1186","26"
"publicpolygonfeature:5:59987","ZIP Code 78644","country:us/state:tx/zip:78644","78644","10","112","30","0","71","8","38","66","497","203","49","185","9","0","142","1301","644","151","769","559","457","83","578","1483","795","807","371","0","753","110","362","39","14","0","2615","1391","1759","1304","1071","0"
"publicpolygonfeature:5:59988","ZIP Code 78645","country:us/state:tx/zip:78645","78645","14","157","255","63","40","19","181","100","727","180","65","123","67","4","60","802","351","98","299","108","310","149","649","1042","288","378","377","29","1457","79","312","112","31","4","2506","717","834","617","237","29"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","0","23","0","0","13","0","0","66","44","19","33","27","0","0","84","175","327","12","624","339","22","0","449","771","382","53","182","0","155","0","14","33","23","0","917","1016","486","292","709","0"
"publicpolygonfeature:5:59991","ZIP Code 78650","country:us/state:tx/zip:78650","78650","30","11","19","0","0","0","14","0","37","14","2","0","4","0","26","183","64","43","89","49","34","6","24","132","21","34","24","0","74","20","26","11","0","0","171","67","200","207","84","0"
"publicpolygonfeature:5:59992","ZIP Code 78652","country:us/state:tx/zip:78652","78652","0","0","157","0","86","0","17","0","215","49","39","17","0","0","0","234","127","11","246","6","81","75","343","483","135","193","184","0","308","30","158","14","70","0","1214","171","589","57","87","0"
"publicpolygonfeature:5:59993","ZIP Code 78653","country:us/state:tx/zip:78653","78653","87","135","222","140","276","133","348","217","1297","581","180","145","98","0","195","2029","1616","390","1468","1070","726","268","1990","3258","1725","1595","551","23","2651","131","935","71","71","0","6630","2717","3185","2354","2018","0"
"publicpolygonfeature:5:59995","ZIP Code 78654","country:us/state:tx/zip:78654","78654","4","195","91","28","188","37","129","34","349","132","21","0","29","0","84","1448","425","86","1432","483","349","12","737","1459","1052","254","574","0","621","93","350","156","17","0","2914","1709","1575","1373","824","0"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","0","18","3","0","0","10","0","0","12","8","0","0","17","0","29","202","150","43","131","75","24","24","295","477","110","87","82","0","28","30","0","0","10","0","396","453","468","216","196","0"
"publicpolygonfeature:5:59997","ZIP Code 78660","country:us/state:tx/zip:78660","78660","0","255","1733","799","1340","636","1881","529","4583","2481","643","1850","409","25","313","2762","6245","774","5298","3363","2779","730","6303","11285","3631","4779","2333","255","12030","801","3684","232","392","25","23865","6839","8963","3614","7381","188"
"publicpolygonfeature:5:59998","ZIP Code 78661","country:us/state:tx/zip:78661","78661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","108","0","93","59","3","25","10","44","15","0","0","0","0","0","0","0","0","0","47","31","157","44","96","0"
"publicpolygonfeature:5:59999","ZIP Code 78662","country:us/state:tx/zip:78662","78662","20","0","0","0","9","25","72","0","119","54","0","0","0","0","26","278","105","54","117","241","103","33","57","215","26","29","35","0","143","63","93","0","0","0","303","195","131","294","396","0"
"publicpolygonfeature:5:60002","ZIP Code 78664","country:us/state:tx/zip:78664","78664","36","226","581","151","679","173","588","351","2755","1174","481","354","443","0","59","1987","3010","491","3417","1259","1175","653","3610","5680","2865","1542","1682","45","5012","717","1875","284","104","0","10651","4593","5840","2231","4160","0"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","23","240","208","40","425","170","469","138","988","1253","508","239","315","22","282","2888","2353","973","6466","3196","1136","373","3643","9637","7759","1562","1694","144","2745","680","1333","168","101","11","13176","10353","9035","3463","6005","74"
"publicpolygonfeature:5:60004","ZIP Code 78669","country:us/state:tx/zip:78669","78669","0","129","222","173","154","90","352","100","444","244","13","79","135","0","40","375","257","57","426","68","482","103","564","676","357","89","243","0","1543","73","363","0","156","0","1879","544","913","293","108","0"
"publicpolygonfeature:5:60005","ZIP Code 78676","country:us/state:tx/zip:78676","78676","84","23","95","55","55","22","173","33","295","184","128","77","9","0","55","386","410","47","444","240","391","100","873","1160","268","169","398","0","872","41","216","57","47","0","2051","740","1033","577","540","0"
"publicpolygonfeature:5:60007","ZIP Code 78681","country:us/state:tx/zip:78681","78681","39","146","823","132","524","465","1218","415","3072","1086","258","519","210","0","19","1450","1845","409","2617","1372","1272","601","2723","4534","2116","893","792","57","6568","394","1664","97","184","0","10353","2690","4212","1610","1778","57"
"publicpolygonfeature:5:60008","ZIP Code 78717","country:us/state:tx/zip:78717","78717","0","219","637","109","349","161","1020","249","2802","881","210","283","129","0","136","449","1537","206","1705","575","886","268","3363","3360","1019","356","412","0","5631","226","1063","70","59","0","8522","1346","3207","429","768","0"
"publicpolygonfeature:5:60009","ZIP Code 78719","country:us/state:tx/zip:78719","78719","0","0","21","0","0","0","18","0","0","0","0","12","35","0","31","181","93","9","40","104","23","0","78","26","31","4","52","0","30","0","21","35","0","0","147","26","62","215","222","0"
"publicpolygonfeature:5:60010","ZIP Code 78721","country:us/state:tx/zip:78721","78721","38","117","117","48","199","30","248","126","811","223","118","94","85","0","0","432","208","12","470","129","89","111","841","1046","466","101","127","10","1865","18","267","104","0","0","2047","896","458","352","289","0"
