"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","0","0","0","0","0","0","0","48","0","36","14","0","0","0","0","0","0","5","83","0","0","0","43","51","7","0","0","0","48","50","0","0","0","0","56","0","133","0","0","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","34","0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","54","544","217","113","294","140","738","114","1117","594","130","115","164","16","157","1756","913","251","1198","522","1363","178","1607","3621","1160","1100","1250","76","2914","267","1055","28","70","16","7321","2165","3070","1650","905","41"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","0","80","13","3","54","0","101","0","68","82","5","5","9","0","50","223","345","191","832","220","158","11","363","615","246","322","224","5","290","14","95","21","0","0","1241","655","980","282","642","5"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","54","17","279","129","118","41","810","0","1315","303","19","189","82","0","75","707","338","97","1031","171","1308","26","957","1831","622","596","200","5","2559","439","307","29","22","0","4375","841","1885","349","514","0"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","0","0","0","0","0","0","22","0","0","0","0","10","0","0","109","42","23","0","104","14","10","0","59","97","66","53","77","0","32","0","0","0","0","0","74","232","56","143","149","0"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","8","5","0","0","7","0","0","0","43","10","0","2","0","0","0","0","0","0","0","17","24","6","35","26","0"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","28","51","17","0","137","0","57","0","282","25","0","0","215","0","429","414","223","77","357","244","202","88","409","891","447","158","140","0","409","17","107","255","24","0","1490","749","804","516","520","0"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","16","0","26","34","8","9","98","0","124","62","31","5","1","0","92","299","184","15","132","141","68","80","263","342","171","25","51","0","256","16","134","0","8","0","739","221","244","421","238","0"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","72","187","65","15","179","23","258","45","97","166","44","87","30","0","357","798","367","215","926","395","262","82","835","1478","454","431","233","45","675","56","337","77","123","0","2515","1049","1596","738","967","13"
