"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","0","3","5","0","9","0","5","0","3","0","0","11","0","0","14","90","182","0","112","82","53","0","68","165","24","35","19","0","19","0","14","3","0","0","249","82","127","234","152","0"
"publicpolygonfeature:5:45542","ZIP Code 40056","country:us/state:ky/zip:40056","40056","0","15","29","8","12","0","114","11","39","59","3","5","0","0","13","62","187","28","97","78","182","49","141","372","152","67","83","0","196","0","86","10","3","0","737","211","295","65","203","0"
"publicpolygonfeature:5:45544","ZIP Code 40067","country:us/state:ky/zip:40067","40067","10","0","14","12","17","17","97","45","58","117","0","0","14","0","69","443","309","44","267","208","152","18","206","601","194","106","119","36","287","13","71","17","13","0","1236","271","695","295","275","0"
"publicpolygonfeature:5:45551","ZIP Code 40218","country:us/state:ky/zip:40218","40218","0","38","80","2","228","48","609","19","417","364","9","40","180","0","19","641","1748","420","1800","1744","782","139","1044","3650","1659","473","1170","47","1240","257","313","162","62","0","4446","3457","2513","1411","3470","39"
"publicpolygonfeature:5:45667","ZIP Code 40003","country:us/state:ky/zip:40003","40003","0","0","0","0","0","0","13","0","72","12","0","0","0","0","0","36","146","0","146","38","50","0","38","222","50","51","9","0","35","0","62","0","0","0","366","84","158","61","117","0"
"publicpolygonfeature:5:45669","ZIP Code 40007","country:us/state:ky/zip:40007","40007","0","0","0","0","9","0","0","0","0","0","0","0","0","0","15","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","15","0","0","8","0","0"
"publicpolygonfeature:5:45670","ZIP Code 40004","country:us/state:ky/zip:40004","40004","5","15","59","51","85","0","145","0","151","184","8","110","28","0","113","788","3295","367","1597","837","478","94","768","3389","1080","602","505","72","449","54","275","25","38","0","4637","2634","2205","833","3640","36"
"publicpolygonfeature:5:45671","ZIP Code 40010","country:us/state:ky/zip:40010","40010","0","0","0","0","24","11","0","0","33","0","0","0","0","0","13","35","59","0","66","0","79","0","26","96","19","10","19","0","68","0","0","0","0","0","174","87","67","35","59","0"
"publicpolygonfeature:5:45672","ZIP Code 40008","country:us/state:ky/zip:40008","40008","24","8","0","8","0","21","0","0","13","22","0","0","10","0","11","123","446","19","207","124","60","3","205","389","104","37","77","0","54","10","30","12","0","0","534","236","357","232","446","0"
"publicpolygonfeature:5:45674","ZIP Code 40011","country:us/state:ky/zip:40011","40011","0","8","0","0","4","0","15","0","10","4","0","3","0","0","53","108","179","5","203","65","102","0","31","208","43","84","34","0","16","0","16","8","4","0","255","199","342","144","175","0"
