"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","20","38","189","229","251","419","588","165","1214","655","227","247","236","0","35","1453","934","1011","3113","2175","1991","487","3706","6328","2680","2019","1407","36","3105","205","948","60","160","0","13153","5083","5252","1592","2282","13"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","0","40","163","150","210","63","331","98","725","124","140","80","29","0","83","521","502","337","1534","1179","1381","464","1518","2597","861","1042","550","134","1420","100","559","29","45","0","6363","1931","2770","365","1140","134"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","161","227","285","221","283","442","679","273","1626","645","485","112","122","0","91","947","758","497","2198","1568","1265","552","2431","4569","1452","999","691","42","3943","390","874","52","302","0","9633","2294","4589","568","935","41"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","72","126","287","283","478","249","963","51","1109","604","319","57","158","62","21","882","683","399","1700","1544","1806","213","1949","2845","1826","251","649","29","2559","519","1466","84","128","62","6347","2450","3537","829","1634","0"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","0","88","36","10","418","111","228","61","466","362","256","20","132","0","30","1679","695","680","3128","2266","1040","300","2327","4680","4387","550","1285","14","963","481","484","78","182","0","5509","6818","4852","2256","3612","14"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","0","33","94","24","142","26","229","50","392","352","65","74","217","0","60","1094","551","395","2882","1727","771","107","2132","5137","2685","586","793","0","799","150","416","0","333","0","4889","5912","3915","1319","2885","0"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","11","305","286","125","135","136","331","34","728","629","133","78","290","0","139","2309","897","472","2439","2134","1157","576","2867","5391","1993","696","1465","0","1745","391","556","327","202","0","7414","4989","5588","2348","2196","0"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","2","202","90","55","59","218","237","200","695","269","149","284","229","0","46","1005","1132","706","1176","1650","791","258","1970","2207","1336","452","365","72","1402","490","479","34","284","0","5311","2317","2972","663","1903","0"
"publicpolygonfeature:5:39860","ZIP Code 33167","country:us/state:fl/zip:33167","33167","0","50","20","11","0","11","0","0","248","78","55","18","114","30","22","1188","628","223","848","1298","430","140","792","2100","1252","651","438","29","256","159","109","50","61","0","1963","2601","1886","1435","2146","8"
"publicpolygonfeature:5:39890","ZIP Code 33168","country:us/state:fl/zip:33168","33168","0","114","0","88","52","36","89","19","254","137","13","0","12","0","9","484","440","111","1371","1078","233","40","803","2091","1302","478","617","0","321","206","184","67","36","0","1955","3045","1272","844","1941","0"
