city,geoid,Median Home Rent (2020-2024),predicted_rent,residual,residual_pct,affordability_category
Denver,80828,893.0,1113.4949951171875,-220.4949951171875,-19.802064318572167,Highly Affordable
Denver,80111,2093.0,2311.340789794922,-218.34078979492188,-9.446499224992893,Highly Affordable
Miami,33401,1776.0,1994.104637145996,-218.1046371459961,-10.937472040491917,Highly Affordable
SanFrancisco,94516,1292.0,1510.098876953125,-218.098876953125,-14.44268850746884,Highly Affordable
Miami,33066,1724.0,1937.7098217010496,-213.7098217010498,-11.028989960604175,Highly Affordable
Tampa,34669,1330.0,1542.0966033935547,-212.0966033935547,-13.753781891926392,Highly Affordable
Denver,80002,1824.0,2035.875946044922,-211.87594604492188,-10.407114758467054,Highly Affordable
Jacksonville,32205,1263.0,1473.040557861328,-210.04055786132812,-14.25897995410805,Highly Affordable
SanFrancisco,94561,1952.0,2161.203125,-209.203125,-9.679938113174808,Highly Affordable
Orlando,32805,1204.0,1413.201202392578,-209.20120239257812,-14.8033558164539,Highly Affordable
Denver,80421,1962.0,2168.8414306640625,-206.8414306640625,-9.536954972348125,Highly Affordable
Miami,33143,1928.0,2133.5178833007812,-205.51788330078125,-9.63281746590392,Highly Affordable
Orlando,32726,1141.0,1344.6748962402344,-203.6748962402344,-15.146776132261982,Highly Affordable
Nashville,37012,749.0,952.1705322265624,-203.1705322265625,-21.33762024240207,Highly Affordable
Tampa,34614,978.0,1180.4862670898438,-202.48626708984375,-17.15278463925011,Highly Affordable
Orlando,34748,1294.0,1493.9713745117188,-199.97137451171875,-13.385221291611177,Highly Affordable
Tampa,33629,1891.0,2087.9183959960938,-196.91839599609375,-9.43132626130002,Highly Affordable
Philadelphia,18074,1250.0,1445.9623889923096,-195.96238899230957,-13.552384936435011,Highly Affordable
Denver,80212,1799.0,1990.4361038208008,-191.4361038208008,-9.617796997016079,Highly Affordable
Denver,80808,959.0,1147.7528686523438,-188.75286865234375,-16.445427740378605,Highly Affordable
Philadelphia,18960,1362.0,1550.368667602539,-188.36866760253903,-12.149927403643213,Highly Affordable
Tampa,33534,1452.0,1638.120042800903,-186.12004280090332,-11.361807311915316,Highly Affordable
Denver,80016,2195.0,2378.004943847656,-183.00494384765625,-7.69573437267758,Highly Affordable
Orlando,34715,2050.0,2232.7261352539062,-182.72613525390625,-8.18399231185273,Highly Affordable
Orlando,32720,1368.0,1550.3539123535156,-182.3539123535156,-11.762082896071977,Highly Affordable
Denver,80023,2124.0,2306.231170654297,-182.23117065429688,-7.901687089009226,Highly Affordable
Denver,80109,2304.0,2485.76904296875,-181.76904296875,-7.312386622679294,Highly Affordable
Nashville,37145,729.0,909.3406677246094,-180.34066772460935,-19.832024908317955,Highly Affordable
Indianapolis,46035,821.0,1001.2560272216796,-180.2560272216797,-18.0029904760584,Highly Affordable
Philadelphia,19440,1442.0,1620.3542175292969,-178.35421752929688,-11.00711286457167,Highly Affordable
Philadelphia,18036,1342.0,1519.867259979248,-177.86725997924805,-11.702815414398533,Highly Affordable
SanFrancisco,94580,2274.0,2450.9359703063965,-176.93597030639648,-7.2191184286335055,Highly Affordable
Miami,33156,1951.0,2127.045623779297,-176.04562377929688,-8.276532567576155,Highly Affordable
SanFrancisco,94556,2906.0,3078.060546875,-172.060546875,-5.5899013113853275,Highly Affordable
Denver,80260,1642.0,1812.1204833984375,-170.1204833984375,-9.387923427662756,Highly Affordable
Orlando,34705,1147.0,1316.4358520507812,-169.43585205078125,-12.870802005796882,Highly Affordable
Tampa,33558,1672.0,1841.206024169922,-169.20602416992188,-9.189956036897373,Highly Affordable
Denver,80232,1732.0,1900.5760345458984,-168.57603454589844,-8.869733779747255,Highly Affordable
SanFrancisco,94577,2242.0,2409.8737030029297,-167.8737030029297,-6.9660788776500295,Highly Affordable
Tampa,33541,1233.0,1400.4846649169922,-167.4846649169922,-11.959050256856553,Highly Affordable
Philadelphia,19709,1599.0,1765.314208984375,-166.314208984375,-9.421224172894371,Highly Affordable
Orlando,32829,1970.0,2135.254425048828,-165.25442504882812,-7.739331814991984,Highly Affordable
Philadelphia,8084,1190.0,1353.8424758911133,-163.84247589111328,-12.102033937387764,Highly Affordable
Miami,33330,2641.0,2803.008544921875,-162.008544921875,-5.7798091702353505,Highly Affordable
Miami,33027,1832.0,1993.6645278930664,-161.6645278930664,-8.10891329164169,Highly Affordable
Denver,80228,1916.0,2076.5677032470703,-160.5677032470703,-7.73236061583714,Highly Affordable
Philadelphia,19362,1144.0,1302.9250946044922,-158.9250946044922,-12.197561875399638,Highly Affordable
Charlotte,28677,887.0,1045.6582641601562,-158.65826416015625,-15.173051234629334,Highly Affordable
Jacksonville,32034,1605.0,1762.774887084961,-157.77488708496094,-8.950370704785099,Highly Affordable
Orlando,34772,2016.0,2172.8612060546875,-156.8612060546875,-7.2191084095750355,Highly Affordable
Miami,33060,1452.0,1608.047882080078,-156.04788208007812,-9.704181313197191,Highly Affordable
Jacksonville,27260,1513.0,1667.2926330566406,-154.29263305664062,-9.254082336690745,Highly Affordable
Denver,80126,2550.0,2703.0964965820312,-153.09649658203125,-5.663745144711493,Highly Affordable
SanFrancisco,94904,2712.0,2864.169891357422,-152.16989135742188,-5.312879372714295,Highly Affordable
Orlando,32779,1981.0,2132.2706298828125,-151.2706298828125,-7.094344768568433,Highly Affordable
Tampa,34691,1224.0,1375.0518188476562,-151.05181884765625,-10.98517283328589,Highly Affordable
Jacksonville,32068,1391.0,1541.1487655639648,-150.14876556396484,-9.742652294116441,Highly Affordable
Charlotte,29058,768.0,916.83349609375,-148.83349609375,-16.23342697751208,Highly Affordable
Tampa,33525,1099.0,1247.4871826171875,-148.4871826171875,-11.902902465552089,Highly Affordable
Nashville,37087,1196.0,1343.5861644744873,-147.5861644744873,-10.98449570089256,Highly Affordable
SanFrancisco,94124,1336.0,1481.6376342773438,-145.63763427734375,-9.829504253135232,Highly Affordable
Philadelphia,21903,916.0,1061.1804504394531,-145.18045043945312,-13.681033266239629,Highly Affordable
Denver,80438,1444.0,1588.7496337890625,-144.7496337890625,-9.110915320486605,Highly Affordable
Philadelphia,19015,1222.0,1365.4342041015625,-143.4342041015625,-10.504658786978336,Highly Affordable
Philadelphia,19013,1099.0,1241.1438293457031,-142.14382934570312,-11.45264762913396,Highly Affordable
Denver,80835,1042.0,1183.1466674804688,-141.14666748046875,-11.929769263606431,Highly Affordable
Tampa,33702,1465.0,1605.9166069030762,-140.91660690307617,-8.77483963347426,Highly Affordable
Philadelphia,19805,1215.0,1355.6668395996094,-140.66683959960938,-10.376210104921851,Highly Affordable
Philadelphia,19525,1202.0,1342.212417602539,-140.21241760253906,-10.446365699177973,Highly Affordable
Orlando,32703,1676.0,1815.6161651611328,-139.6161651611328,-7.689740146631825,Highly Affordable
Orlando,32833,1507.0,1646.2745971679688,-139.27459716796875,-8.459985801126871,Highly Affordable
Philadelphia,19151,1189.0,1327.8320770263672,-138.8320770263672,-10.455544750604059,Highly Affordable
Miami,33167,1425.0,1562.1282958984375,-137.1282958984375,-8.778299212586118,Highly Affordable
Miami,33020,1536.0,1672.2918243408203,-136.2918243408203,-8.15000243121702,Highly Affordable
Philadelphia,8083,1185.0,1321.2909545898438,-136.29095458984375,-10.314984305039104,Highly Affordable
SanFrancisco,94618,2580.0,2715.589813232422,-135.58981323242188,-4.99301524006774,Highly Affordable
Denver,19740,1874.0,2008.5433959960935,-134.54339599609375,-6.698555593287038,Highly Affordable
